streak_dipper v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.1 MB
streak_dipper v4 126 games, 91614 moves, e=0.909, loss: 8.7, -, 37.7% elo% vs. random_no_suicide, avg. reward: -12.816, 1.165 sec/game, 2.4 min. total, 447.5 MB
streak_dipper v4 127 games, 92501 moves, e=0.908, loss: 8.9, -, 36.1% elo% vs. random_no_suicide, avg. reward: -12.785, 1.178 sec/game, 2.4 min. total, 448.0 MB
streak_dipper v4 128 games, 93262 moves, e=0.908, loss: 8.7, -, 34.6% elo% vs. random_no_suicide, avg. reward: -12.770, 1.186 sec/game, 2.4 min. total, 448.0 MB
streak_dipper v4 129 games, 94026 moves, e=0.907, loss: 8.7, -, 33.1% elo% vs. random_no_suicide, avg. reward: -12.756, 1.193 sec/game, 2.4 min. total, 448.0 MB
streak_dipper v4 130 games, 94917 moves, e=0.906, loss: 8.3, -, 31.8% elo% vs. random_no_suicide, avg. reward: -12.735, 1.227 sec/game, 2.5 min. total, 447.9 MB
streak_dipper v4 131 games, 95835 moves, e=0.905, loss: 8.1, -, 30.5% elo% vs. random_no_suicide, avg. reward: -12.702, 1.233 sec/game, 2.5 min. total, 448.7 MB
streak_dipper v4 132 games, 96640 moves, e=0.904, loss: 7.9, -, 29.4% elo% vs. random_no_suicide, avg. reward: -12.682, 1.251 sec/game, 2.5 min. total, 447.9 MB
streak_dipper v4 133 games, 97511 moves, e=0.903, loss: 7.8, -, 28.3% elo% vs. random_no_suicide, avg. reward: -12.653, 1.226 sec/game, 2.5 min. total, 449.9 MB
streak_dipper v4 134 games, 98247 moves, e=0.903, loss: 8.1, +, 31.0% elo% vs. random_no_suicide, avg. reward: -12.647, 1.232 sec/game, 2.6 min. total, 449.9 MB
streak_dipper v4 135 games, 99040 moves, e=0.902, loss: 8.2, -, 29.8% elo% vs. random_no_suicide, avg. reward: -12.624, 1.237 sec/game, 2.6 min. total, 449.0 MB
streak_dipper v4 136 games, 99843 moves, e=0.901, loss: 8.1, -, 28.7% elo% vs. random_no_suicide, avg. reward: -12.589, 1.255 sec/game, 2.6 min. total, 448.7 MB
streak_dipper v4 137 games, 100548 moves, e=0.900, loss: 7.9, -, 27.6% elo% vs. random_no_suicide, avg. reward: -12.605, 1.241 sec/game, 2.6 min. total, 448.9 MB
streak_dipper v4 138 games, 101300 moves, e=0.900, loss: 7.8, -, 26.6% elo% vs. random_no_suicide, avg. reward: -12.594, 1.258 sec/game, 2.6 min. total, 449.2 MB
streak_dipper v4 139 games, 102146 moves, e=0.899, loss: 7.7, +, 29.3% elo% vs. random_no_suicide, avg. reward: -12.576, 1.266 sec/game, 2.7 min. total, 451.3 MB
streak_dipper v4 140 games, 102902 moves, e=0.898, loss: 7.8, +, 32.1% elo% vs. random_no_suicide, avg. reward: -12.579, 1.263 sec/game, 2.7 min. total, 450.1 MB
streak_dipper v4 141 games, 103679 moves, e=0.897, loss: 6.6, +, 34.9% elo% vs. random_no_suicide, avg. reward: -12.551, 1.253 sec/game, 2.7 min. total, 450.1 MB
streak_dipper v4 142 games, 104367 moves, e=0.897, loss: 6.5, -, 33.4% elo% vs. random_no_suicide, avg. reward: -12.568, 1.261 sec/game, 2.7 min. total, 451.2 MB
streak_dipper v4 143 games, 105177 moves, e=0.896, loss: 6.5, -, 32.1% elo% vs. random_no_suicide, avg. reward: -12.540, 1.261 sec/game, 2.7 min. total, 449.5 MB
