bullfrog_excavator v1 88 games, 64153 moves, e=0.936, loss: nan, -, 36.0% elo% vs. v0, avg. reward: -9.672, 0.326 sec/game, 0.4 min. total, 553.6 MB
bullfrog_excavator v1 89 games, 64845 moves, e=0.936, loss: nan, -, 34.4% elo% vs. v0, avg. reward: -9.675, 0.326 sec/game, 0.4 min. total, 553.6 MB
bullfrog_excavator v1 90 games, 65587 moves, e=0.935, loss: nan, +, 37.2% elo% vs. v0, avg. reward: -9.672, 0.325 sec/game, 0.4 min. total, 555.2 MB
bullfrog_excavator v1 91 games, 66397 moves, e=0.934, loss: nan, ., 37.8% elo% vs. v0, avg. reward: -9.661, 0.328 sec/game, 0.4 min. total, 557.2 MB
bullfrog_excavator v1 92 games, 67068 moves, e=0.934, loss: nan, +, 40.5% elo% vs. v0, avg. reward: -9.673, 0.327 sec/game, 0.4 min. total, 559.1 MB
bullfrog_excavator v1 93 games, 67726 moves, e=0.933, loss: nan, +, 43.2% elo% vs. v0, avg. reward: -9.687, 0.328 sec/game, 0.4 min. total, 561.0 MB
bullfrog_excavator v1 94 games, 68476 moves, e=0.932, loss: nan, +, 45.7% elo% vs. v0, avg. reward: -9.688, 0.326 sec/game, 0.4 min. total, 562.6 MB
bullfrog_excavator v1 95 games, 69268 moves, e=0.931, loss: nan, -, 43.7% elo% vs. v0, avg. reward: -9.676, 0.330 sec/game, 0.4 min. total, 564.5 MB
bullfrog_excavator v1 96 games, 70018 moves, e=0.931, loss: nan, -, 41.7% elo% vs. v0, avg. reward: -9.673, 0.331 sec/game, 0.4 min. total, 566.7 MB
bullfrog_excavator v1 97 games, 70756 moves, e=0.930, loss: nan, -, 39.8% elo% vs. v0, avg. reward: -9.671, 0.334 sec/game, 0.5 min. total, 568.8 MB
bullfrog_excavator v1 98 games, 71564 moves, e=0.929, loss: nan, -, 38.1% elo% vs. v0, avg. reward: -9.659, 0.334 sec/game, 0.5 min. total, 571.9 MB
bullfrog_excavator v1 99 games, 72370 moves, e=0.928, loss: nan, -, 36.5% elo% vs. v0, avg. reward: -9.646, 0.337 sec/game, 0.5 min. total, 575.7 MB
bullfrog_excavator v1 100 games, 72967 moves, e=0.928, loss: nan, -, 34.9% elo% vs. v0, avg. reward: -9.668, 0.332 sec/game, 0.5 min. total, 580.0 MB
bullfrog_excavator v2 101 games, 73963 moves, e=0.927, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -9.632, 0.339 sec/game, 0.5 min. total, 585.9 MB
bullfrog_excavator v2 102 games, 74697 moves, e=0.926, loss: nan, -, 49.9% elo% vs. v0, avg. reward: -9.620, 0.341 sec/game, 0.5 min. total, 589.9 MB
bullfrog_excavator v2 103 games, 75486 moves, e=0.925, loss: nan, -, 47.6% elo% vs. v0, avg. reward: -9.620, 0.346 sec/game, 0.5 min. total, 589.9 MB
bullfrog_excavator v2 104 games, 76284 moves, e=0.924, loss: nan, +, 50.0% elo% vs. v0, avg. reward: -9.611, 0.350 sec/game, 0.5 min. total, 591.6 MB
