demeaning_prong v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.9 MB
demeaning_prong v3 78 games, 54265 moves, e=0.946, loss: 2.1, +, 28.3% elo% vs. random_no_suicide, avg. reward: -8.990, 1.432 sec/game, 1.5 min. total, 471.9 MB
demeaning_prong v3 79 games, 54976 moves, e=0.946, loss: 1.9, +, 31.0% elo% vs. random_no_suicide, avg. reward: -8.988, 1.439 sec/game, 1.5 min. total, 472.0 MB
demeaning_prong v3 80 games, 55702 moves, e=0.945, loss: 2.1, -, 29.8% elo% vs. random_no_suicide, avg. reward: -8.981, 1.432 sec/game, 1.5 min. total, 470.7 MB
demeaning_prong v3 81 games, 56390 moves, e=0.944, loss: 2.2, +, 32.6% elo% vs. random_no_suicide, avg. reward: -8.984, 1.412 sec/game, 1.5 min. total, 472.1 MB
demeaning_prong v3 82 games, 57082 moves, e=0.943, loss: 2.6, -, 31.3% elo% vs. random_no_suicide, avg. reward: -8.985, 1.399 sec/game, 1.6 min. total, 474.1 MB
demeaning_prong v3 83 games, 57772 moves, e=0.943, loss: 2.6, -, 30.1% elo% vs. random_no_suicide, avg. reward: -8.986, 1.430 sec/game, 1.6 min. total, 475.1 MB
demeaning_prong v3 84 games, 58452 moves, e=0.942, loss: 2.7, -, 28.9% elo% vs. random_no_suicide, avg. reward: -8.991, 1.420 sec/game, 1.6 min. total, 477.4 MB
demeaning_prong v3 85 games, 59027 moves, e=0.942, loss: 2.6, -, 27.8% elo% vs. random_no_suicide, avg. reward: -9.014, 1.411 sec/game, 1.6 min. total, 472.7 MB
demeaning_prong v3 86 games, 59632 moves, e=0.941, loss: 2.6, -, 26.8% elo% vs. random_no_suicide, avg. reward: -9.031, 1.377 sec/game, 1.7 min. total, 473.1 MB
demeaning_prong v3 87 games, 60391 moves, e=0.940, loss: 2.6, -, 25.9% elo% vs. random_no_suicide, avg. reward: -9.017, 1.362 sec/game, 1.7 min. total, 473.0 MB
demeaning_prong v3 88 games, 61276 moves, e=0.939, loss: 2.7, -, 25.0% elo% vs. random_no_suicide, avg. reward: -8.994, 1.364 sec/game, 1.7 min. total, 473.0 MB
demeaning_prong v3 89 games, 61951 moves, e=0.939, loss: 2.6, +, 27.6% elo% vs. random_no_suicide, avg. reward: -8.994, 1.357 sec/game, 1.7 min. total, 474.5 MB
demeaning_prong v3 90 games, 62727 moves, e=0.938, loss: 2.7, +, 30.4% elo% vs. random_no_suicide, avg. reward: -8.979, 1.363 sec/game, 1.8 min. total, 473.1 MB
demeaning_prong v3 91 games, 63481 moves, e=0.937, loss: 2.5, -, 29.2% elo% vs. random_no_suicide, avg. reward: -8.970, 1.366 sec/game, 1.8 min. total, 473.0 MB
demeaning_prong v3 92 games, 64186 moves, e=0.936, loss: 2.6, -, 28.1% elo% vs. random_no_suicide, avg. reward: -8.967, 1.377 sec/game, 1.8 min. total, 473.1 MB
demeaning_prong v3 93 games, 64911 moves, e=0.936, loss: 2.5, -, 27.1% elo% vs. random_no_suicide, avg. reward: -8.960, 1.389 sec/game, 1.8 min. total, 473.0 MB
demeaning_prong v3 94 games, 65682 moves, e=0.935, loss: 2.4, +, 29.8% elo% vs. random_no_suicide, avg. reward: -8.948, 1.400 sec/game, 1.8 min. total, 474.4 MB
demeaning_prong v3 95 games, 66572 moves, e=0.934, loss: 2.5, -, 28.7% elo% vs. random_no_suicide, avg. reward: -8.927, 1.412 sec/game, 1.9 min. total, 473.0 MB
demeaning_prong v3 96 games, 67314 moves, e=0.933, loss: 2.6, -, 27.6% elo% vs. random_no_suicide, avg. reward: -8.921, 1.407 sec/game, 1.9 min. total, 473.8 MB
demeaning_prong v3 97 games, 68119 moves, e=0.933, loss: 2.7, -, 26.6% elo% vs. random_no_suicide, avg. reward: -8.906, 1.423 sec/game, 1.9 min. total, 474.1 MB
demeaning_prong v3 98 games, 68855 moves, e=0.932, loss: 2.6, -, 25.6% elo% vs. random_no_suicide, avg. reward: -8.901, 1.411 sec/game, 1.9 min. total, 478.9 MB
demeaning_prong v3 99 games, 69467 moves, e=0.931, loss: 2.6, -, 24.8% elo% vs. random_no_suicide, avg. reward: -8.913, 1.399 sec/game, 2.0 min. total, 478.9 MB
demeaning_prong v3 100 games, 70214 moves, e=0.930, loss: 3.2, +, 27.4% elo% vs. random_no_suicide, avg. reward: -8.905, 1.397 sec/game, 2.0 min. total, 474.5 MB
demeaning_prong v4 101 games, 70870 moves, e=0.930, loss: 3.2, -, 47.7% elo% vs. random_no_suicide, avg. reward: -8.914, 1.390 sec/game, 2.0 min. total, 474.5 MB
demeaning_prong v4 102 games, 71607 moves, e=0.929, loss: 3.0, -, 45.5% elo% vs. random_no_suicide, avg. reward: -8.897, 1.398 sec/game, 2.0 min. total, 474.4 MB
demeaning_prong v4 103 games, 72276 moves, e=0.928, loss: 2.8, -, 43.4% elo% vs. random_no_suicide, avg. reward: -8.899, 1.366 sec/game, 2.1 min. total, 475.9 MB
demeaning_prong v4 104 games, 73179 moves, e=0.928, loss: 2.8, -, 41.5% elo% vs. random_no_suicide, avg. reward: -8.883, 1.389 sec/game, 2.1 min. total, 475.9 MB
demeaning_prong v4 105 games, 73948 moves, e=0.927, loss: 3.1, -, 39.6% elo% vs. random_no_suicide, avg. reward: -8.865, 1.403 sec/game, 2.1 min. total, 476.1 MB
demeaning_prong v4 106 games, 74685 moves, e=0.926, loss: 3.2, -, 37.9% elo% vs. random_no_suicide, avg. reward: -8.845, 1.423 sec/game, 2.1 min. total, 476.2 MB
demeaning_prong v4 107 games, 75348 moves, e=0.925, loss: 3.2, -, 36.3% elo% vs. random_no_suicide, avg. reward: -8.847, 1.417 sec/game, 2.1 min. total, 476.5 MB
demeaning_prong v4 108 games, 76260 moves, e=0.925, loss: 3.4, -, 34.8% elo% vs. random_no_suicide, avg. reward: -8.812, 1.418 sec/game, 2.2 min. total, 476.3 MB
demeaning_prong v4 109 games, 77020 moves, e=0.924, loss: 3.0, ., 35.4% elo% vs. random_no_suicide, avg. reward: -8.818, 1.430 sec/game, 2.2 min. total, 477.7 MB
demeaning_prong v4 110 games, 77702 moves, e=0.923, loss: 2.6, -, 33.9% elo% vs. random_no_suicide, avg. reward: -8.802, 1.423 sec/game, 2.2 min. total, 477.0 MB
demeaning_prong v4 111 games, 78527 moves, e=0.922, loss: 2.9, -, 32.5% elo% vs. random_no_suicide, avg. reward: -8.758, 1.432 sec/game, 2.3 min. total, 480.9 MB
demeaning_prong v4 112 games, 79149 moves, e=0.922, loss: 2.6, -, 31.2% elo% vs. random_no_suicide, avg. reward: -8.767, 1.423 sec/game, 2.3 min. total, 479.3 MB
demeaning_prong v4 113 games, 80020 moves, e=0.921, loss: 2.4, -, 30.0% elo% vs. random_no_suicide, avg. reward: -8.754, 1.437 sec/game, 2.3 min. total, 479.6 MB
demeaning_prong v4 114 games, 80822 moves, e=0.920, loss: 2.5, -, 28.9% elo% vs. random_no_suicide, avg. reward: -8.728, 1.436 sec/game, 2.3 min. total, 479.4 MB
demeaning_prong v4 115 games, 81656 moves, e=0.919, loss: 2.2, -, 27.8% elo% vs. random_no_suicide, avg. reward: -8.720, 1.426 sec/game, 2.3 min. total, 480.1 MB
demeaning_prong v4 116 games, 82395 moves, e=0.918, loss: 2.1, -, 26.8% elo% vs. random_no_suicide, avg. reward: -8.701, 1.439 sec/game, 2.4 min. total, 480.2 MB
demeaning_prong v4 117 games, 83182 moves, e=0.918, loss: 2.3, +, 29.5% elo% vs. random_no_suicide, avg. reward: -8.682, 1.419 sec/game, 2.4 min. total, 481.0 MB
demeaning_prong v4 118 games, 83961 moves, e=0.917, loss: 1.8, -, 28.4% elo% vs. random_no_suicide, avg. reward: -8.678, 1.429 sec/game, 2.4 min. total, 482.6 MB
demeaning_prong v4 119 games, 84712 moves, e=0.916, loss: 2.3, -, 27.3% elo% vs. random_no_suicide, avg. reward: -8.668, 1.443 sec/game, 2.4 min. total, 482.4 MB
demeaning_prong v4 120 games, 85408 moves, e=0.915, loss: 2.4, -, 26.3% elo% vs. random_no_suicide, avg. reward: -8.675, 1.445 sec/game, 2.5 min. total, 486.9 MB
demeaning_prong v4 121 games, 86005 moves, e=0.915, loss: 2.7, -, 25.4% elo% vs. random_no_suicide, avg. reward: -8.692, 1.437 sec/game, 2.5 min. total, 482.3 MB
demeaning_prong v4 122 games, 86834 moves, e=0.914, loss: 2.9, -, 24.5% elo% vs. random_no_suicide, avg. reward: -8.668, 1.449 sec/game, 2.5 min. total, 482.6 MB
demeaning_prong v4 123 games, 87457 moves, e=0.913, loss: 2.7, -, 23.7% elo% vs. random_no_suicide, avg. reward: -8.692, 1.450 sec/game, 2.5 min. total, 487.1 MB
demeaning_prong v4 124 games, 88249 moves, e=0.913, loss: 3.0, -, 22.9% elo% vs. random_no_suicide, avg. reward: -8.667, 1.443 sec/game, 2.6 min. total, 483.1 MB
demeaning_prong v4 125 games, 88895 moves, e=0.912, loss: 3.0, -, 22.2% elo% vs. random_no_suicide, avg. reward: -8.685, 1.434 sec/game, 2.6 min. total, 483.2 MB
demeaning_prong v4 126 games, 89555 moves, e=0.911, loss: 2.8, -, 21.5% elo% vs. random_no_suicide, avg. reward: -8.694, 1.431 sec/game, 2.6 min. total, 484.7 MB
demeaning_prong v4 127 games, 90245 moves, e=0.911, loss: 2.5, -, 20.8% elo% vs. random_no_suicide, avg. reward: -8.708, 1.438 sec/game, 2.6 min. total, 483.3 MB
demeaning_prong v4 128 games, 91038 moves, e=0.910, loss: 2.2, -, 20.2% elo% vs. random_no_suicide, avg. reward: -8.683, 1.427 sec/game, 2.7 min. total, 483.3 MB
demeaning_prong v4 129 games, 91783 moves, e=0.909, loss: 2.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: -8.678, 1.426 sec/game, 2.7 min. total, 483.5 MB
