transpire_herself v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
transpire_herself v4 134 games, 98701 moves, e=0.902, loss: 5.0, -, 28.0% elo% vs. random_no_suicide, avg. reward: -9.475, 1.455 sec/game, 2.8 min. total, 491.6 MB
transpire_herself v4 135 games, 99544 moves, e=0.901, loss: 5.1, +, 30.7% elo% vs. random_no_suicide, avg. reward: -9.445, 1.449 sec/game, 2.8 min. total, 487.2 MB
transpire_herself v4 136 games, 100466 moves, e=0.901, loss: 5.0, +, 33.5% elo% vs. random_no_suicide, avg. reward: -9.409, 1.470 sec/game, 2.9 min. total, 488.5 MB
transpire_herself v4 137 games, 101128 moves, e=0.900, loss: 5.0, +, 36.3% elo% vs. random_no_suicide, avg. reward: -9.425, 1.457 sec/game, 2.9 min. total, 487.3 MB
transpire_herself v4 138 games, 101961 moves, e=0.899, loss: 4.9, -, 34.8% elo% vs. random_no_suicide, avg. reward: -9.415, 1.470 sec/game, 2.9 min. total, 486.9 MB
transpire_herself v4 139 games, 102813 moves, e=0.898, loss: 4.8, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.394, 1.479 sec/game, 2.9 min. total, 486.9 MB
transpire_herself v4 140 games, 103681 moves, e=0.897, loss: 4.7, ., 34.0% elo% vs. random_no_suicide, avg. reward: -9.367, 1.490 sec/game, 3.0 min. total, 489.1 MB
transpire_herself v4 141 games, 104518 moves, e=0.897, loss: 4.7, +, 36.8% elo% vs. random_no_suicide, avg. reward: -9.360, 1.492 sec/game, 3.0 min. total, 489.5 MB
transpire_herself v4 142 games, 105258 moves, e=0.896, loss: 4.6, +, 39.5% elo% vs. random_no_suicide, avg. reward: -9.358, 1.490 sec/game, 3.0 min. total, 489.5 MB
transpire_herself v4 143 games, 106056 moves, e=0.895, loss: 4.4, -, 37.8% elo% vs. random_no_suicide, avg. reward: -9.325, 1.485 sec/game, 3.1 min. total, 489.4 MB
transpire_herself v4 144 games, 106795 moves, e=0.894, loss: 4.4, -, 36.2% elo% vs. random_no_suicide, avg. reward: -9.332, 1.494 sec/game, 3.1 min. total, 494.5 MB
transpire_herself v4 145 games, 107577 moves, e=0.893, loss: 4.3, -, 34.7% elo% vs. random_no_suicide, avg. reward: -9.326, 1.494 sec/game, 3.1 min. total, 494.5 MB
transpire_herself v4 146 games, 108416 moves, e=0.893, loss: 4.4, ., 35.3% elo% vs. random_no_suicide, avg. reward: -9.316, 1.494 sec/game, 3.1 min. total, 490.6 MB
transpire_herself v4 147 games, 109058 moves, e=0.892, loss: 4.4, ., 35.9% elo% vs. random_no_suicide, avg. reward: -9.333, 1.483 sec/game, 3.1 min. total, 491.1 MB
