nutcase_devalue v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.5 MB
nutcase_devalue v3 91 games, 63224 moves, e=0.994, loss: 2.4, -, 15.1% elo% vs. random_no_suicide, avg. reward: -8.952, 1.255 sec/game, 1.6 min. total, 479.4 MB
nutcase_devalue v3 92 games, 63929 moves, e=0.994, loss: 2.6, -, 14.7% elo% vs. random_no_suicide, avg. reward: -8.950, 1.257 sec/game, 1.6 min. total, 479.3 MB
nutcase_devalue v3 93 games, 64697 moves, e=0.994, loss: 2.6, -, 14.4% elo% vs. random_no_suicide, avg. reward: -8.939, 1.267 sec/game, 1.7 min. total, 479.8 MB
nutcase_devalue v3 94 games, 65525 moves, e=0.994, loss: 2.9, +, 16.4% elo% vs. random_no_suicide, avg. reward: -8.924, 1.268 sec/game, 1.7 min. total, 481.0 MB
nutcase_devalue v3 95 games, 66241 moves, e=0.993, loss: 2.8, -, 16.0% elo% vs. random_no_suicide, avg. reward: -8.919, 1.270 sec/game, 1.7 min. total, 480.4 MB
nutcase_devalue v3 96 games, 66994 moves, e=0.993, loss: 2.8, -, 15.6% elo% vs. random_no_suicide, avg. reward: -8.911, 1.281 sec/game, 1.7 min. total, 484.7 MB
nutcase_devalue v3 97 games, 67710 moves, e=0.993, loss: 3.0, -, 15.2% elo% vs. random_no_suicide, avg. reward: -8.909, 1.292 sec/game, 1.8 min. total, 485.5 MB
nutcase_devalue v3 98 games, 68411 moves, e=0.993, loss: 2.7, -, 14.9% elo% vs. random_no_suicide, avg. reward: -8.910, 1.292 sec/game, 1.8 min. total, 480.5 MB
nutcase_devalue v3 99 games, 69135 moves, e=0.993, loss: 2.8, -, 14.5% elo% vs. random_no_suicide, avg. reward: -8.907, 1.301 sec/game, 1.8 min. total, 484.8 MB
nutcase_devalue v3 100 games, 69779 moves, e=0.993, loss: 3.0, -, 14.2% elo% vs. random_no_suicide, avg. reward: -8.915, 1.294 sec/game, 1.8 min. total, 480.7 MB
nutcase_devalue v4 101 games, 70436 moves, e=0.993, loss: 2.8, -, 47.7% elo% vs. random_no_suicide, avg. reward: -8.922, 1.271 sec/game, 1.8 min. total, 480.7 MB
nutcase_devalue v4 102 games, 71185 moves, e=0.993, loss: 2.8, -, 45.5% elo% vs. random_no_suicide, avg. reward: -8.917, 1.281 sec/game, 1.9 min. total, 480.9 MB
nutcase_devalue v4 103 games, 71822 moves, e=0.993, loss: 2.7, -, 43.4% elo% vs. random_no_suicide, avg. reward: -8.922, 1.271 sec/game, 1.9 min. total, 483.9 MB
nutcase_devalue v4 104 games, 72444 moves, e=0.993, loss: 2.8, -, 41.5% elo% vs. random_no_suicide, avg. reward: -8.936, 1.250 sec/game, 1.9 min. total, 481.5 MB
nutcase_devalue v4 105 games, 73135 moves, e=0.993, loss: 2.8, -, 39.6% elo% vs. random_no_suicide, avg. reward: -8.918, 1.268 sec/game, 1.9 min. total, 482.0 MB
nutcase_devalue v4 106 games, 73842 moves, e=0.993, loss: 2.5, -, 37.9% elo% vs. random_no_suicide, avg. reward: -8.904, 1.259 sec/game, 1.9 min. total, 482.1 MB
nutcase_devalue v4 107 games, 74370 moves, e=0.993, loss: 2.2, -, 36.3% elo% vs. random_no_suicide, avg. reward: -8.941, 1.247 sec/game, 2.0 min. total, 481.8 MB
nutcase_devalue v4 108 games, 75183 moves, e=0.993, loss: 2.5, -, 34.8% elo% vs. random_no_suicide, avg. reward: -8.922, 1.247 sec/game, 2.0 min. total, 486.9 MB
nutcase_devalue v4 109 games, 76004 moves, e=0.992, loss: 2.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: -8.892, 1.261 sec/game, 2.0 min. total, 486.9 MB
nutcase_devalue v4 110 games, 76605 moves, e=0.992, loss: 2.5, -, 32.0% elo% vs. random_no_suicide, avg. reward: -8.915, 1.261 sec/game, 2.0 min. total, 486.9 MB
nutcase_devalue v4 111 games, 77315 moves, e=0.992, loss: 2.4, -, 30.7% elo% vs. random_no_suicide, avg. reward: -8.910, 1.261 sec/game, 2.0 min. total, 484.8 MB
nutcase_devalue v4 112 games, 77919 moves, e=0.992, loss: 2.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: -8.916, 1.245 sec/game, 2.1 min. total, 482.7 MB
nutcase_devalue v4 113 games, 78719 moves, e=0.992, loss: 2.2, -, 28.4% elo% vs. random_no_suicide, avg. reward: -8.899, 1.246 sec/game, 2.1 min. total, 483.2 MB
