nemeses_unhappy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.6 MB
nemeses_unhappy v4 124 games, 91287 moves, e=0.910, loss: 4.6, +, 23.8% elo% vs. random_no_suicide, avg. reward: -11.233, 2.146 sec/game, 3.6 min. total, 487.3 MB
nemeses_unhappy v4 125 games, 92031 moves, e=0.909, loss: 4.6, -, 23.0% elo% vs. random_no_suicide, avg. reward: -11.230, 2.128 sec/game, 3.7 min. total, 490.4 MB
nemeses_unhappy v4 126 games, 92668 moves, e=0.908, loss: 4.9, -, 22.2% elo% vs. random_no_suicide, avg. reward: -11.257, 2.107 sec/game, 3.7 min. total, 490.4 MB
nemeses_unhappy v4 127 games, 93342 moves, e=0.908, loss: 4.7, -, 21.5% elo% vs. random_no_suicide, avg. reward: -11.274, 2.099 sec/game, 3.7 min. total, 489.4 MB
nemeses_unhappy v4 128 games, 93998 moves, e=0.907, loss: 4.8, -, 20.9% elo% vs. random_no_suicide, avg. reward: -11.291, 2.042 sec/game, 3.8 min. total, 489.5 MB
nemeses_unhappy v4 129 games, 94782 moves, e=0.906, loss: 4.7, -, 20.2% elo% vs. random_no_suicide, avg. reward: -11.284, 2.026 sec/game, 3.8 min. total, 492.5 MB
nemeses_unhappy v4 130 games, 95493 moves, e=0.905, loss: 5.0, -, 19.7% elo% vs. random_no_suicide, avg. reward: -11.279, 2.020 sec/game, 3.8 min. total, 489.3 MB
nemeses_unhappy v4 131 games, 96422 moves, e=0.905, loss: 5.1, -, 19.1% elo% vs. random_no_suicide, avg. reward: -11.266, 2.045 sec/game, 3.9 min. total, 489.5 MB
nemeses_unhappy v4 132 games, 97110 moves, e=0.904, loss: 5.1, -, 18.5% elo% vs. random_no_suicide, avg. reward: -11.268, 2.055 sec/game, 3.9 min. total, 489.7 MB
nemeses_unhappy v4 133 games, 98034 moves, e=0.903, loss: 5.4, -, 18.0% elo% vs. random_no_suicide, avg. reward: -11.258, 2.091 sec/game, 4.0 min. total, 493.3 MB
