primal_author v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
primal_author v4 123 games, 89617 moves, e=0.911, loss: 3.0, -, 21.6% elo% vs. random_no_suicide, avg. reward: -9.784, 1.399 sec/game, 2.5 min. total, 488.6 MB
primal_author v4 124 games, 90432 moves, e=0.910, loss: 3.3, +, 24.2% elo% vs. random_no_suicide, avg. reward: -9.765, 1.410 sec/game, 2.5 min. total, 490.1 MB
primal_author v4 125 games, 91149 moves, e=0.910, loss: 3.6, -, 23.4% elo% vs. random_no_suicide, avg. reward: -9.765, 1.408 sec/game, 2.6 min. total, 488.8 MB
primal_author v4 126 games, 91856 moves, e=0.909, loss: 3.5, -, 22.6% elo% vs. random_no_suicide, avg. reward: -9.765, 1.398 sec/game, 2.6 min. total, 489.0 MB
primal_author v4 127 games, 92596 moves, e=0.908, loss: 3.6, -, 21.9% elo% vs. random_no_suicide, avg. reward: -9.764, 1.386 sec/game, 2.6 min. total, 488.9 MB
primal_author v4 128 games, 93267 moves, e=0.908, loss: 3.5, +, 24.5% elo% vs. random_no_suicide, avg. reward: -9.783, 1.385 sec/game, 2.6 min. total, 490.5 MB
primal_author v4 129 games, 94109 moves, e=0.907, loss: 3.2, -, 23.6% elo% vs. random_no_suicide, avg. reward: -9.765, 1.408 sec/game, 2.6 min. total, 496.1 MB
primal_author v4 130 games, 94771 moves, e=0.906, loss: 3.5, -, 22.9% elo% vs. random_no_suicide, avg. reward: -9.767, 1.397 sec/game, 2.7 min. total, 496.1 MB
primal_author v4 131 games, 95605 moves, e=0.905, loss: 3.5, -, 22.1% elo% vs. random_no_suicide, avg. reward: -9.761, 1.410 sec/game, 2.7 min. total, 496.2 MB
primal_author v4 132 games, 96361 moves, e=0.905, loss: 3.2, -, 21.4% elo% vs. random_no_suicide, avg. reward: -9.739, 1.424 sec/game, 2.7 min. total, 491.6 MB
primal_author v4 133 games, 97190 moves, e=0.904, loss: 3.3, -, 20.8% elo% vs. random_no_suicide, avg. reward: -9.724, 1.421 sec/game, 2.7 min. total, 496.5 MB
primal_author v4 134 games, 97988 moves, e=0.903, loss: 2.8, -, 20.1% elo% vs. random_no_suicide, avg. reward: -9.713, 1.423 sec/game, 2.8 min. total, 492.2 MB
primal_author v4 135 games, 98794 moves, e=0.902, loss: 3.0, -, 19.6% elo% vs. random_no_suicide, avg. reward: -9.710, 1.434 sec/game, 2.8 min. total, 497.4 MB
primal_author v4 136 games, 99509 moves, e=0.901, loss: 3.0, -, 19.0% elo% vs. random_no_suicide, avg. reward: -9.728, 1.434 sec/game, 2.8 min. total, 497.1 MB
primal_author v4 137 games, 100279 moves, e=0.901, loss: 2.9, -, 18.5% elo% vs. random_no_suicide, avg. reward: -9.728, 1.421 sec/game, 2.8 min. total, 497.4 MB
primal_author v4 138 games, 100918 moves, e=0.900, loss: 3.0, -, 18.0% elo% vs. random_no_suicide, avg. reward: -9.717, 1.410 sec/game, 2.9 min. total, 492.4 MB
