slashed_kooky v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 305.0 MB
slashed_kooky v4 116 games, 83666 moves, e=0.917, loss: 6.3, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.751, 1.718 sec/game, 2.8 min. total, 455.6 MB
slashed_kooky v4 117 games, 84521 moves, e=0.916, loss: 6.8, -, 24.5% elo% vs. random_no_suicide, avg. reward: -9.737, 1.748 sec/game, 2.9 min. total, 455.0 MB
slashed_kooky v4 118 games, 85220 moves, e=0.916, loss: 6.4, -, 23.7% elo% vs. random_no_suicide, avg. reward: -9.734, 1.731 sec/game, 2.9 min. total, 455.6 MB
slashed_kooky v4 119 games, 85994 moves, e=0.915, loss: 6.5, -, 22.9% elo% vs. random_no_suicide, avg. reward: -9.718, 1.733 sec/game, 2.9 min. total, 455.8 MB
slashed_kooky v4 120 games, 86723 moves, e=0.914, loss: 6.3, -, 22.2% elo% vs. random_no_suicide, avg. reward: -9.714, 1.729 sec/game, 2.9 min. total, 455.8 MB
slashed_kooky v4 121 games, 87436 moves, e=0.913, loss: 6.4, -, 21.5% elo% vs. random_no_suicide, avg. reward: -9.717, 1.757 sec/game, 3.0 min. total, 455.9 MB
slashed_kooky v4 122 games, 88240 moves, e=0.913, loss: 6.7, -, 20.8% elo% vs. random_no_suicide, avg. reward: -9.710, 1.773 sec/game, 3.0 min. total, 456.2 MB
slashed_kooky v4 123 games, 88945 moves, e=0.912, loss: 6.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: -9.705, 1.764 sec/game, 3.0 min. total, 459.5 MB
slashed_kooky v4 124 games, 89744 moves, e=0.911, loss: 6.7, -, 19.6% elo% vs. random_no_suicide, avg. reward: -9.685, 1.783 sec/game, 3.1 min. total, 457.4 MB
slashed_kooky v4 125 games, 90534 moves, e=0.910, loss: 6.6, -, 19.1% elo% vs. random_no_suicide, avg. reward: -9.680, 1.788 sec/game, 3.1 min. total, 457.4 MB
slashed_kooky v4 126 games, 91369 moves, e=0.910, loss: 7.0, -, 18.5% elo% vs. random_no_suicide, avg. reward: -9.659, 1.804 sec/game, 3.1 min. total, 456.9 MB
slashed_kooky v4 127 games, 92121 moves, e=0.909, loss: 6.5, -, 18.0% elo% vs. random_no_suicide, avg. reward: -9.656, 1.825 sec/game, 3.2 min. total, 457.3 MB
slashed_kooky v4 128 games, 92880 moves, e=0.908, loss: 6.8, -, 17.5% elo% vs. random_no_suicide, avg. reward: -9.646, 1.829 sec/game, 3.2 min. total, 457.7 MB
slashed_kooky v4 129 games, 93586 moves, e=0.907, loss: 6.3, -, 17.1% elo% vs. random_no_suicide, avg. reward: -9.649, 1.832 sec/game, 3.2 min. total, 457.8 MB
slashed_kooky v4 130 games, 94382 moves, e=0.907, loss: 6.5, -, 16.6% elo% vs. random_no_suicide, avg. reward: -9.622, 1.821 sec/game, 3.3 min. total, 458.0 MB
slashed_kooky v4 131 games, 95164 moves, e=0.906, loss: 6.8, -, 16.2% elo% vs. random_no_suicide, avg. reward: -9.623, 1.835 sec/game, 3.3 min. total, 458.0 MB
slashed_kooky v4 132 games, 95982 moves, e=0.905, loss: 7.0, -, 15.8% elo% vs. random_no_suicide, avg. reward: -9.629, 1.858 sec/game, 3.3 min. total, 458.0 MB
slashed_kooky v4 133 games, 96732 moves, e=0.904, loss: 6.8, -, 15.4% elo% vs. random_no_suicide, avg. reward: -9.630, 1.866 sec/game, 3.4 min. total, 459.3 MB
slashed_kooky v4 134 games, 97395 moves, e=0.904, loss: 6.9, -, 15.1% elo% vs. random_no_suicide, avg. reward: -9.637, 1.862 sec/game, 3.4 min. total, 459.0 MB
slashed_kooky v4 135 games, 98264 moves, e=0.903, loss: 6.3, -, 14.7% elo% vs. random_no_suicide, avg. reward: -9.618, 1.884 sec/game, 3.4 min. total, 459.1 MB
slashed_kooky v4 136 games, 99060 moves, e=0.902, loss: 6.7, -, 14.4% elo% vs. random_no_suicide, avg. reward: -9.622, 1.903 sec/game, 3.5 min. total, 459.4 MB
slashed_kooky v4 137 games, 99807 moves, e=0.901, loss: 6.1, -, 14.0% elo% vs. random_no_suicide, avg. reward: -9.621, 1.894 sec/game, 3.5 min. total, 459.3 MB
slashed_kooky v4 138 games, 100601 moves, e=0.900, loss: 6.4, -, 13.7% elo% vs. random_no_suicide, avg. reward: -9.619, 1.918 sec/game, 3.5 min. total, 459.5 MB
slashed_kooky v4 139 games, 101321 moves, e=0.900, loss: 5.9, -, 13.4% elo% vs. random_no_suicide, avg. reward: -9.617, 1.923 sec/game, 3.6 min. total, 459.4 MB
slashed_kooky v4 140 games, 102016 moves, e=0.899, loss: 5.6, ., 14.2% elo% vs. random_no_suicide, avg. reward: -9.615, 1.927 sec/game, 3.6 min. total, 460.4 MB
slashed_kooky v4 141 games, 102760 moves, e=0.898, loss: 5.7, -, 13.9% elo% vs. random_no_suicide, avg. reward: -9.611, 1.919 sec/game, 3.6 min. total, 459.2 MB
slashed_kooky v4 142 games, 103483 moves, e=0.898, loss: 5.7, -, 13.6% elo% vs. random_no_suicide, avg. reward: -9.623, 1.910 sec/game, 3.6 min. total, 459.4 MB
slashed_kooky v4 143 games, 104263 moves, e=0.897, loss: 6.1, -, 13.3% elo% vs. random_no_suicide, avg. reward: -9.613, 1.923 sec/game, 3.7 min. total, 460.3 MB
slashed_kooky v4 144 games, 105031 moves, e=0.896, loss: 6.6, -, 13.0% elo% vs. random_no_suicide, avg. reward: -9.594, 1.907 sec/game, 3.7 min. total, 460.9 MB
slashed_kooky v4 145 games, 105717 moves, e=0.895, loss: 6.0, -, 12.8% elo% vs. random_no_suicide, avg. reward: -9.610, 1.891 sec/game, 3.7 min. total, 462.8 MB
slashed_kooky v4 146 games, 106464 moves, e=0.895, loss: 5.9, -, 12.5% elo% vs. random_no_suicide, avg. reward: -9.603, 1.879 sec/game, 3.8 min. total, 461.7 MB
