sinless_impurity v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.5 MB
sinless_impurity v3 99 games, 73386 moves, e=0.927, loss: 41859.6, -, 8.4% elo% vs. random_no_suicide, avg. reward: 24.403, 1.758 sec/game, 2.5 min. total, 497.2 MB
sinless_impurity v3 100 games, 74145 moves, e=0.927, loss: 43142.1, -, 8.3% elo% vs. random_no_suicide, avg. reward: 24.461, 1.757 sec/game, 2.5 min. total, 497.1 MB
sinless_impurity v4 101 games, 75037 moves, e=0.926, loss: 44425.2, -, 47.7% elo% vs. random_no_suicide, avg. reward: 24.183, 1.777 sec/game, 2.6 min. total, 497.3 MB
sinless_impurity v4 102 games, 75708 moves, e=0.925, loss: 43393.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: 24.352, 1.749 sec/game, 2.6 min. total, 497.8 MB
sinless_impurity v4 103 games, 76370 moves, e=0.924, loss: 45922.0, -, 43.4% elo% vs. random_no_suicide, avg. reward: 24.321, 1.750 sec/game, 2.6 min. total, 498.3 MB
sinless_impurity v4 104 games, 77133 moves, e=0.924, loss: 44072.6, -, 41.5% elo% vs. random_no_suicide, avg. reward: 24.312, 1.751 sec/game, 2.6 min. total, 498.6 MB
sinless_impurity v4 105 games, 77846 moves, e=0.923, loss: 51909.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: 24.105, 1.763 sec/game, 2.7 min. total, 498.8 MB
sinless_impurity v4 106 games, 78594 moves, e=0.922, loss: 47672.2, -, 37.9% elo% vs. random_no_suicide, avg. reward: 24.346, 1.762 sec/game, 2.7 min. total, 498.6 MB
sinless_impurity v4 107 games, 79480 moves, e=0.921, loss: 50219.6, -, 36.3% elo% vs. random_no_suicide, avg. reward: 24.456, 1.769 sec/game, 2.7 min. total, 498.5 MB
sinless_impurity v4 108 games, 80103 moves, e=0.921, loss: 46455.2, -, 34.8% elo% vs. random_no_suicide, avg. reward: 23.767, 1.755 sec/game, 2.8 min. total, 499.0 MB
sinless_impurity v4 109 games, 80844 moves, e=0.920, loss: 43336.5, -, 33.3% elo% vs. random_no_suicide, avg. reward: 23.774, 1.754 sec/game, 2.8 min. total, 498.5 MB
sinless_impurity v4 110 games, 81644 moves, e=0.919, loss: 41781.9, -, 32.0% elo% vs. random_no_suicide, avg. reward: 23.214, 1.754 sec/game, 2.8 min. total, 499.1 MB
sinless_impurity v4 111 games, 82385 moves, e=0.918, loss: 41684.4, -, 30.7% elo% vs. random_no_suicide, avg. reward: 24.017, 1.770 sec/game, 2.9 min. total, 499.0 MB
sinless_impurity v4 112 games, 83173 moves, e=0.918, loss: 43514.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: 23.840, 1.773 sec/game, 2.9 min. total, 499.1 MB
sinless_impurity v4 113 games, 83846 moves, e=0.917, loss: 40625.2, -, 28.4% elo% vs. random_no_suicide, avg. reward: 23.867, 1.759 sec/game, 2.9 min. total, 499.0 MB
sinless_impurity v4 114 games, 84634 moves, e=0.916, loss: 42553.5, -, 27.3% elo% vs. random_no_suicide, avg. reward: 23.832, 1.767 sec/game, 2.9 min. total, 499.3 MB
sinless_impurity v4 115 games, 85402 moves, e=0.915, loss: 43367.4, -, 26.4% elo% vs. random_no_suicide, avg. reward: 24.241, 1.784 sec/game, 3.0 min. total, 500.3 MB
sinless_impurity v4 116 games, 86126 moves, e=0.915, loss: 40276.3, -, 25.4% elo% vs. random_no_suicide, avg. reward: 24.111, 1.791 sec/game, 3.0 min. total, 500.2 MB
sinless_impurity v4 117 games, 86987 moves, e=0.914, loss: 32059.6, -, 24.5% elo% vs. random_no_suicide, avg. reward: 24.714, 1.819 sec/game, 3.0 min. total, 500.3 MB
sinless_impurity v4 118 games, 87789 moves, e=0.913, loss: 34206.7, -, 23.7% elo% vs. random_no_suicide, avg. reward: 25.093, 1.844 sec/game, 3.1 min. total, 500.1 MB
sinless_impurity v4 119 games, 88550 moves, e=0.912, loss: 40361.6, -, 22.9% elo% vs. random_no_suicide, avg. reward: 25.094, 1.856 sec/game, 3.1 min. total, 500.5 MB
sinless_impurity v4 120 games, 89327 moves, e=0.912, loss: 39913.1, -, 22.2% elo% vs. random_no_suicide, avg. reward: 25.104, 1.864 sec/game, 3.1 min. total, 500.6 MB
sinless_impurity v4 121 games, 90155 moves, e=0.911, loss: 34236.8, -, 21.5% elo% vs. random_no_suicide, avg. reward: 25.168, 1.869 sec/game, 3.2 min. total, 500.8 MB
sinless_impurity v4 122 games, 90898 moves, e=0.910, loss: 33748.7, -, 20.8% elo% vs. random_no_suicide, avg. reward: 25.038, 1.897 sec/game, 3.2 min. total, 501.3 MB
sinless_impurity v4 123 games, 91674 moves, e=0.909, loss: 42044.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: 25.128, 1.940 sec/game, 3.3 min. total, 501.3 MB
sinless_impurity v4 124 games, 92471 moves, e=0.908, loss: 49229.4, -, 19.6% elo% vs. random_no_suicide, avg. reward: 25.638, 1.966 sec/game, 3.3 min. total, 502.5 MB
sinless_impurity v4 125 games, 93229 moves, e=0.908, loss: 40730.8, -, 19.1% elo% vs. random_no_suicide, avg. reward: 25.596, 1.991 sec/game, 3.3 min. total, 502.6 MB
sinless_impurity v4 126 games, 94026 moves, e=0.907, loss: 35611.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: 25.208, 2.014 sec/game, 3.4 min. total, 502.9 MB
sinless_impurity v4 127 games, 94812 moves, e=0.906, loss: 34308.1, -, 18.0% elo% vs. random_no_suicide, avg. reward: 25.196, 2.022 sec/game, 3.4 min. total, 503.2 MB
sinless_impurity v4 128 games, 95506 moves, e=0.905, loss: 38534.0, -, 17.5% elo% vs. random_no_suicide, avg. reward: 25.629, 2.058 sec/game, 3.4 min. total, 503.0 MB
sinless_impurity v4 129 games, 96385 moves, e=0.905, loss: 44804.8, -, 17.1% elo% vs. random_no_suicide, avg. reward: 25.510, 2.094 sec/game, 3.5 min. total, 503.1 MB
sinless_impurity v4 130 games, 97125 moves, e=0.904, loss: 51518.8, -, 16.6% elo% vs. random_no_suicide, avg. reward: 25.914, 2.094 sec/game, 3.5 min. total, 503.1 MB
sinless_impurity v4 131 games, 97961 moves, e=0.903, loss: 53893.2, -, 16.2% elo% vs. random_no_suicide, avg. reward: 26.293, 2.124 sec/game, 3.6 min. total, 503.0 MB
sinless_impurity v4 132 games, 98665 moves, e=0.902, loss: 51118.0, -, 15.8% elo% vs. random_no_suicide, avg. reward: 26.132, 2.122 sec/game, 3.6 min. total, 503.0 MB
sinless_impurity v4 133 games, 99390 moves, e=0.902, loss: 47633.4, -, 15.4% elo% vs. random_no_suicide, avg. reward: 26.217, 2.142 sec/game, 3.6 min. total, 504.1 MB
sinless_impurity v4 134 games, 100081 moves, e=0.901, loss: 41683.5, -, 15.1% elo% vs. random_no_suicide, avg. reward: 25.985, 2.146 sec/game, 3.7 min. total, 505.4 MB
sinless_impurity v4 135 games, 100940 moves, e=0.900, loss: 46208.0, -, 14.7% elo% vs. random_no_suicide, avg. reward: 26.356, 2.188 sec/game, 3.7 min. total, 505.4 MB
sinless_impurity v4 136 games, 101716 moves, e=0.899, loss: 53343.9, -, 14.4% elo% vs. random_no_suicide, avg. reward: 26.066, 2.214 sec/game, 3.7 min. total, 505.5 MB
sinless_impurity v4 137 games, 102473 moves, e=0.899, loss: 54368.7, -, 14.0% elo% vs. random_no_suicide, avg. reward: 26.322, 2.202 sec/game, 3.8 min. total, 505.5 MB
sinless_impurity v4 138 games, 103172 moves, e=0.898, loss: 48018.2, -, 13.7% elo% vs. random_no_suicide, avg. reward: 26.036, 2.186 sec/game, 3.8 min. total, 505.6 MB
sinless_impurity v4 139 games, 103985 moves, e=0.897, loss: 44905.2, -, 13.4% elo% vs. random_no_suicide, avg. reward: 26.254, 2.183 sec/game, 3.8 min. total, 505.8 MB
sinless_impurity v4 140 games, 104672 moves, e=0.896, loss: 44185.6, -, 13.1% elo% vs. random_no_suicide, avg. reward: 25.748, 2.167 sec/game, 3.9 min. total, 505.7 MB
sinless_impurity v4 141 games, 105423 moves, e=0.896, loss: 43124.2, -, 12.9% elo% vs. random_no_suicide, avg. reward: 25.314, 2.154 sec/game, 3.9 min. total, 506.0 MB
sinless_impurity v4 142 games, 106157 moves, e=0.895, loss: 42523.3, -, 12.6% elo% vs. random_no_suicide, avg. reward: 25.013, 2.148 sec/game, 3.9 min. total, 506.2 MB
sinless_impurity v4 143 games, 106958 moves, e=0.894, loss: 39589.4, -, 12.4% elo% vs. random_no_suicide, avg. reward: 25.649, 2.127 sec/game, 4.0 min. total, 506.8 MB
sinless_impurity v4 144 games, 107707 moves, e=0.893, loss: 38670.6, -, 12.1% elo% vs. random_no_suicide, avg. reward: 25.649, 2.104 sec/game, 4.0 min. total, 506.3 MB
