bullfight_antiviral v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
bullfight_antiviral v4 103 games, 73991 moves, e=0.927, loss: 2.7, -, 43.4% elo% vs. random_no_suicide, avg. reward: -6.389, 1.514 sec/game, 2.2 min. total, 448.9 MB
bullfight_antiviral v4 104 games, 74717 moves, e=0.926, loss: 2.5, +, 46.0% elo% vs. random_no_suicide, avg. reward: -6.389, 1.514 sec/game, 2.2 min. total, 448.8 MB
bullfight_antiviral v4 105 games, 75403 moves, e=0.925, loss: 2.7, +, 48.5% elo% vs. random_no_suicide, avg. reward: -6.390, 1.514 sec/game, 2.2 min. total, 449.8 MB
bullfight_antiviral v4 106 games, 76233 moves, e=0.925, loss: 2.7, +, 50.9% elo% vs. random_no_suicide, avg. reward: -6.381, 1.520 sec/game, 2.2 min. total, 449.3 MB
bullfight_antiviral v4 107 games, 76967 moves, e=0.924, loss: 2.7, +, 53.1% elo% vs. random_no_suicide, avg. reward: -6.377, 1.514 sec/game, 2.3 min. total, 449.7 MB
bullfight_antiviral v4 108 games, 77683 moves, e=0.923, loss: 2.7, +, 55.3% elo% vs. random_no_suicide, avg. reward: -6.368, 1.516 sec/game, 2.3 min. total, 450.2 MB
bullfight_antiviral v4 109 games, 78423 moves, e=0.922, loss: 2.7, +, 57.3% elo% vs. random_no_suicide, avg. reward: -6.362, 1.528 sec/game, 2.3 min. total, 449.7 MB
bullfight_antiviral v4 110 games, 79091 moves, e=0.922, loss: 2.8, -, 54.7% elo% vs. random_no_suicide, avg. reward: -6.371, 1.498 sec/game, 2.3 min. total, 450.3 MB
bullfight_antiviral v4 111 games, 79934 moves, e=0.921, loss: 3.0, -, 52.2% elo% vs. random_no_suicide, avg. reward: -6.362, 1.506 sec/game, 2.4 min. total, 450.3 MB
bullfight_antiviral v4 112 games, 80645 moves, e=0.920, loss: 3.0, +, 54.4% elo% vs. random_no_suicide, avg. reward: -6.361, 1.493 sec/game, 2.4 min. total, 450.0 MB
bullfight_antiviral v4 113 games, 81366 moves, e=0.919, loss: 3.0, -, 51.9% elo% vs. random_no_suicide, avg. reward: -6.357, 1.492 sec/game, 2.4 min. total, 450.0 MB
bullfight_antiviral v4 114 games, 82157 moves, e=0.919, loss: 3.2, ., 51.8% elo% vs. random_no_suicide, avg. reward: -6.353, 1.484 sec/game, 2.4 min. total, 450.5 MB
bullfight_antiviral v4 115 games, 83049 moves, e=0.918, loss: 3.1, +, 54.0% elo% vs. random_no_suicide, avg. reward: -6.336, 1.497 sec/game, 2.5 min. total, 450.7 MB
bullfight_antiviral v4 116 games, 83892 moves, e=0.917, loss: 3.1, +, 56.1% elo% vs. random_no_suicide, avg. reward: -6.323, 1.523 sec/game, 2.5 min. total, 450.9 MB
bullfight_antiviral v4 117 games, 84758 moves, e=0.916, loss: 3.0, ., 55.8% elo% vs. random_no_suicide, avg. reward: -6.315, 1.544 sec/game, 2.5 min. total, 452.8 MB
bullfight_antiviral v4 118 games, 85469 moves, e=0.915, loss: 3.0, +, 57.8% elo% vs. random_no_suicide, avg. reward: -6.308, 1.537 sec/game, 2.6 min. total, 452.6 MB
