water_affection v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.9 MB
water_affection v4 136 games, 99099 moves, e=0.902, loss: 3.3, ., 28.7% elo% vs. v2, avg. reward: -9.691, 1.713 sec/game, 3.4 min. total, 437.0 MB
water_affection v4 137 games, 99920 moves, e=0.901, loss: 3.0, -, 27.6% elo% vs. v2, avg. reward: -9.684, 1.715 sec/game, 3.4 min. total, 437.7 MB
water_affection v4 138 games, 100705 moves, e=0.900, loss: 3.0, -, 26.6% elo% vs. v2, avg. reward: -9.674, 1.730 sec/game, 3.4 min. total, 437.9 MB
water_affection v4 139 games, 101473 moves, e=0.900, loss: 3.0, -, 25.7% elo% vs. v2, avg. reward: -9.666, 1.721 sec/game, 3.4 min. total, 437.8 MB
water_affection v4 140 games, 102260 moves, e=0.899, loss: 2.9, -, 24.8% elo% vs. v2, avg. reward: -9.664, 1.730 sec/game, 3.5 min. total, 440.0 MB
water_affection v4 141 games, 103056 moves, e=0.898, loss: 3.3, +, 27.4% elo% vs. v2, avg. reward: -9.660, 1.749 sec/game, 3.5 min. total, 442.0 MB
water_affection v4 142 games, 103890 moves, e=0.897, loss: 3.0, +, 30.2% elo% vs. v2, avg. reward: -9.638, 1.759 sec/game, 3.5 min. total, 443.8 MB
water_affection v4 143 games, 104685 moves, e=0.896, loss: 3.4, +, 33.0% elo% vs. v2, avg. reward: -9.615, 1.760 sec/game, 3.6 min. total, 444.1 MB
water_affection v4 144 games, 105463 moves, e=0.896, loss: 3.3, +, 35.7% elo% vs. v2, avg. reward: -9.602, 1.776 sec/game, 3.6 min. total, 444.0 MB
water_affection v4 145 games, 106082 moves, e=0.895, loss: 3.0, +, 38.5% elo% vs. v2, avg. reward: -9.627, 1.764 sec/game, 3.6 min. total, 442.1 MB
water_affection v4 146 games, 106935 moves, e=0.894, loss: 2.8, +, 41.2% elo% vs. v2, avg. reward: -9.616, 1.774 sec/game, 3.6 min. total, 443.7 MB
water_affection v4 147 games, 107692 moves, e=0.893, loss: 2.8, +, 43.9% elo% vs. v2, avg. reward: -9.601, 1.788 sec/game, 3.7 min. total, 446.0 MB
water_affection v4 148 games, 108543 moves, e=0.893, loss: 2.6, +, 46.4% elo% vs. v2, avg. reward: -9.585, 1.764 sec/game, 3.7 min. total, 445.8 MB
water_affection v4 149 games, 109279 moves, e=0.892, loss: 2.8, +, 48.9% elo% vs. v2, avg. reward: -9.573, 1.772 sec/game, 3.7 min. total, 447.9 MB
water_affection v4 150 games, 110031 moves, e=0.891, loss: 3.0, +, 51.2% elo% vs. v2, avg. reward: -9.565, 1.773 sec/game, 3.8 min. total, 446.3 MB
water_affection v4 151 games, 110820 moves, e=0.890, loss: 3.1, +, 53.5% elo% vs. v2, avg. reward: -9.555, 1.773 sec/game, 3.8 min. total, 446.5 MB
water_affection v4 152 games, 111722 moves, e=0.889, loss: 2.5, +, 55.6% elo% vs. v2, avg. reward: -9.526, 1.774 sec/game, 3.8 min. total, 448.1 MB
water_affection v4 153 games, 112420 moves, e=0.889, loss: 3.1, +, 57.6% elo% vs. v2, avg. reward: -9.520, 1.772 sec/game, 3.9 min. total, 446.3 MB
water_affection v4 154 games, 113321 moves, e=0.888, loss: 2.9, +, 59.5% elo% vs. v2, avg. reward: -9.498, 1.772 sec/game, 3.9 min. total, 445.2 MB
water_affection v4 155 games, 114239 moves, e=0.887, loss: 3.3, +, 61.3% elo% vs. v2, avg. reward: -9.464, 1.777 sec/game, 3.9 min. total, 446.1 MB
water_affection v4 156 games, 114957 moves, e=0.886, loss: 3.3, -, 58.6% elo% vs. v2, avg. reward: -9.465, 1.780 sec/game, 3.9 min. total, 446.0 MB
water_affection v4 157 games, 115773 moves, e=0.885, loss: 3.3, +, 60.4% elo% vs. v2, avg. reward: -9.443, 1.786 sec/game, 4.0 min. total, 448.0 MB
water_affection v4 158 games, 116416 moves, e=0.885, loss: 3.1, +, 62.2% elo% vs. v2, avg. reward: -9.461, 1.772 sec/game, 4.0 min. total, 449.9 MB
