banner_lazy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.3 MB
banner_lazy v5 122 games, 90035 moves, e=0.911, loss: 0.9, -, 20.8% elo% vs. simple_bot, avg. reward: 0.140, 1.871 sec/game, 3.3 min. total, 496.9 MB
banner_lazy v5 123 games, 90796 moves, e=0.910, loss: 0.9, -, 20.2% elo% vs. simple_bot, avg. reward: 0.141, 1.858 sec/game, 3.4 min. total, 497.1 MB
banner_lazy v5 124 games, 91642 moves, e=0.909, loss: 1.0, -, 19.6% elo% vs. simple_bot, avg. reward: 0.141, 1.876 sec/game, 3.4 min. total, 497.0 MB
banner_lazy v5 125 games, 92432 moves, e=0.908, loss: 0.9, -, 19.1% elo% vs. simple_bot, avg. reward: 0.143, 1.890 sec/game, 3.4 min. total, 497.0 MB
banner_lazy v5 126 games, 93284 moves, e=0.908, loss: 0.9, -, 18.5% elo% vs. simple_bot, avg. reward: 0.142, 1.920 sec/game, 3.5 min. total, 497.2 MB
banner_lazy v5 127 games, 94035 moves, e=0.907, loss: 0.9, -, 18.0% elo% vs. simple_bot, avg. reward: 0.144, 1.911 sec/game, 3.5 min. total, 497.3 MB
banner_lazy v5 128 games, 94971 moves, e=0.906, loss: 1.0, -, 17.5% elo% vs. simple_bot, avg. reward: 0.144, 1.928 sec/game, 3.5 min. total, 497.1 MB
banner_lazy v5 129 games, 95788 moves, e=0.905, loss: 1.0, -, 17.1% elo% vs. simple_bot, avg. reward: 0.144, 1.941 sec/game, 3.6 min. total, 497.3 MB
banner_lazy v5 130 games, 96504 moves, e=0.904, loss: 1.0, -, 16.6% elo% vs. simple_bot, avg. reward: 0.144, 1.931 sec/game, 3.6 min. total, 497.7 MB
banner_lazy v5 131 games, 97203 moves, e=0.904, loss: 1.0, -, 16.2% elo% vs. simple_bot, avg. reward: 0.146, 1.914 sec/game, 3.6 min. total, 497.9 MB
banner_lazy v5 132 games, 97886 moves, e=0.903, loss: 1.0, -, 15.8% elo% vs. simple_bot, avg. reward: 0.148, 1.902 sec/game, 3.6 min. total, 497.7 MB
banner_lazy v5 133 games, 98752 moves, e=0.902, loss: 1.0, -, 15.4% elo% vs. simple_bot, avg. reward: 0.148, 1.902 sec/game, 3.7 min. total, 497.7 MB
banner_lazy v5 134 games, 99552 moves, e=0.901, loss: 0.9, -, 15.1% elo% vs. simple_bot, avg. reward: 0.149, 1.910 sec/game, 3.7 min. total, 498.1 MB
banner_lazy v5 135 games, 100397 moves, e=0.901, loss: 1.0, -, 14.7% elo% vs. simple_bot, avg. reward: 0.150, 1.921 sec/game, 3.7 min. total, 497.9 MB
banner_lazy v5 136 games, 101314 moves, e=0.900, loss: 1.1, -, 14.4% elo% vs. simple_bot, avg. reward: 0.150, 1.936 sec/game, 3.8 min. total, 498.1 MB
banner_lazy v5 137 games, 102148 moves, e=0.899, loss: 1.1, -, 14.0% elo% vs. simple_bot, avg. reward: 0.149, 1.948 sec/game, 3.8 min. total, 498.9 MB
banner_lazy v5 138 games, 102913 moves, e=0.898, loss: 1.1, -, 13.7% elo% vs. simple_bot, avg. reward: 0.151, 1.964 sec/game, 3.8 min. total, 501.4 MB
banner_lazy v5 139 games, 103736 moves, e=0.897, loss: 1.2, -, 13.4% elo% vs. simple_bot, avg. reward: 0.153, 1.967 sec/game, 3.9 min. total, 501.5 MB
banner_lazy v5 140 games, 104559 moves, e=0.896, loss: 1.2, -, 13.1% elo% vs. simple_bot, avg. reward: 0.155, 1.965 sec/game, 3.9 min. total, 501.4 MB
banner_lazy v5 141 games, 105296 moves, e=0.896, loss: 1.3, -, 12.9% elo% vs. simple_bot, avg. reward: 0.156, 1.971 sec/game, 3.9 min. total, 501.5 MB
