twistable_tiptoeing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.8 MB
twistable_tiptoeing v2 129 games, 92681 moves, e=0.908, loss: 5.6, +, 52.1% elo% vs. v0, avg. reward: 0.434, 1.819 sec/game, 6.8 min. total, 430.2 MB
twistable_tiptoeing v2 130 games, 93524 moves, e=0.907, loss: 5.2, +, 54.3% elo% vs. v0, avg. reward: 0.437, 1.833 sec/game, 6.8 min. total, 430.5 MB
twistable_tiptoeing v2 131 games, 94267 moves, e=0.907, loss: 5.2, -, 51.8% elo% vs. v0, avg. reward: 0.437, 1.850 sec/game, 6.8 min. total, 431.2 MB
twistable_tiptoeing v2 132 games, 95087 moves, e=0.906, loss: 4.9, +, 54.0% elo% vs. v0, avg. reward: 0.438, 1.855 sec/game, 6.9 min. total, 433.9 MB
twistable_tiptoeing v2 133 games, 95896 moves, e=0.905, loss: 4.9, +, 56.1% elo% vs. v0, avg. reward: 0.440, 1.880 sec/game, 6.9 min. total, 432.0 MB
twistable_tiptoeing v2 134 games, 96560 moves, e=0.904, loss: 5.2, -, 53.5% elo% vs. v0, avg. reward: 0.437, 1.879 sec/game, 6.9 min. total, 431.9 MB
twistable_tiptoeing v2 135 games, 97264 moves, e=0.904, loss: 4.9, +, 55.6% elo% vs. v0, avg. reward: 0.441, 1.888 sec/game, 7.0 min. total, 432.4 MB
twistable_tiptoeing v2 136 games, 98048 moves, e=0.903, loss: 5.1, -, 53.1% elo% vs. v0, avg. reward: 0.439, 1.937 sec/game, 7.0 min. total, 434.4 MB
twistable_tiptoeing v2 137 games, 98750 moves, e=0.902, loss: 5.2, -, 50.7% elo% vs. v0, avg. reward: 0.439, 1.933 sec/game, 7.0 min. total, 434.0 MB
twistable_tiptoeing v2 138 games, 99435 moves, e=0.902, loss: 5.1, +, 52.9% elo% vs. v0, avg. reward: 0.442, 1.921 sec/game, 7.1 min. total, 432.5 MB
twistable_tiptoeing v2 139 games, 100151 moves, e=0.901, loss: 5.1, -, 50.5% elo% vs. v0, avg. reward: 0.443, 1.919 sec/game, 7.1 min. total, 433.1 MB
twistable_tiptoeing v2 140 games, 100991 moves, e=0.900, loss: 5.1, +, 52.8% elo% vs. v0, avg. reward: 0.442, 1.924 sec/game, 7.1 min. total, 434.8 MB
