frenzy_eggnog v2 160 games, 66931 moves, e=0.934, loss: nan, -, 18.3% elo% vs. random_bot, avg. reward: -13.274, 0.246 sec/game, 0.7 min. total, 543.7 MB
frenzy_eggnog v2 162 games, 67623 moves, e=0.933, loss: nan, -, 17.8% elo% vs. random_bot, avg. reward: -13.339, 0.245 sec/game, 0.7 min. total, 544.5 MB
frenzy_eggnog v2 164 games, 68325 moves, e=0.932, loss: nan, -, 17.3% elo% vs. random_bot, avg. reward: -13.381, 0.247 sec/game, 0.7 min. total, 545.6 MB
frenzy_eggnog v2 166 games, 69004 moves, e=0.932, loss: nan, -, 16.8% elo% vs. random_bot, avg. reward: -13.485, 0.247 sec/game, 0.7 min. total, 547.3 MB
frenzy_eggnog v2 168 games, 69727 moves, e=0.931, loss: nan, -, 16.4% elo% vs. random_bot, avg. reward: -13.529, 0.248 sec/game, 0.7 min. total, 549.1 MB
frenzy_eggnog v2 170 games, 70413 moves, e=0.930, loss: nan, -, 16.0% elo% vs. random_bot, avg. reward: -13.582, 0.248 sec/game, 0.7 min. total, 550.9 MB
frenzy_eggnog v2 172 games, 71113 moves, e=0.930, loss: nan, -, 15.6% elo% vs. random_bot, avg. reward: -13.626, 0.248 sec/game, 0.7 min. total, 553.2 MB
frenzy_eggnog v2 174 games, 71771 moves, e=0.929, loss: nan, ., 16.5% elo% vs. random_bot, avg. reward: -13.686, 0.248 sec/game, 0.7 min. total, 555.9 MB
frenzy_eggnog v2 176 games, 72466 moves, e=0.928, loss: nan, -, 16.1% elo% vs. random_bot, avg. reward: -13.723, 0.248 sec/game, 0.7 min. total, 558.8 MB
frenzy_eggnog v2 178 games, 73181 moves, e=0.928, loss: nan, -, 15.7% elo% vs. random_bot, avg. reward: -13.773, 0.250 sec/game, 0.7 min. total, 562.9 MB
frenzy_eggnog v2 180 games, 73967 moves, e=0.927, loss: nan, -, 15.3% elo% vs. random_bot, avg. reward: -13.801, 0.254 sec/game, 0.7 min. total, 566.5 MB
frenzy_eggnog v2 182 games, 74636 moves, e=0.926, loss: nan, -, 14.9% elo% vs. random_bot, avg. reward: -13.882, 0.254 sec/game, 0.8 min. total, 567.0 MB
frenzy_eggnog v2 184 games, 75297 moves, e=0.925, loss: nan, -, 14.6% elo% vs. random_bot, avg. reward: -13.974, 0.253 sec/game, 0.8 min. total, 568.0 MB
frenzy_eggnog v2 186 games, 76040 moves, e=0.925, loss: nan, -, 14.2% elo% vs. random_bot, avg. reward: -13.976, 0.257 sec/game, 0.8 min. total, 569.6 MB
frenzy_eggnog v2 188 games, 76714 moves, e=0.924, loss: nan, -, 13.9% elo% vs. random_bot, avg. reward: -14.033, 0.257 sec/game, 0.8 min. total, 571.4 MB
frenzy_eggnog v2 190 games, 77451 moves, e=0.923, loss: nan, -, 13.6% elo% vs. random_bot, avg. reward: -14.042, 0.258 sec/game, 0.8 min. total, 573.1 MB
frenzy_eggnog v2 192 games, 78123 moves, e=0.923, loss: nan, -, 13.3% elo% vs. random_bot, avg. reward: -14.093, 0.259 sec/game, 0.8 min. total, 575.0 MB
frenzy_eggnog v2 194 games, 78849 moves, e=0.922, loss: nan, -, 13.0% elo% vs. random_bot, avg. reward: -14.155, 0.259 sec/game, 0.8 min. total, 577.4 MB
frenzy_eggnog v2 196 games, 79632 moves, e=0.921, loss: nan, -, 12.8% elo% vs. random_bot, avg. reward: -14.166, 0.261 sec/game, 0.8 min. total, 580.7 MB
frenzy_eggnog v2 198 games, 80302 moves, e=0.921, loss: nan, -, 12.5% elo% vs. random_bot, avg. reward: -14.205, 0.258 sec/game, 0.8 min. total, 583.8 MB
frenzy_eggnog v2 200 games, 80978 moves, e=0.920, loss: nan, -, 12.3% elo% vs. random_bot, avg. reward: -14.271, 0.249 sec/game, 0.8 min. total, 587.6 MB
frenzy_eggnog v3 202 games, 81659 moves, e=0.919, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -14.295, 0.257 sec/game, 0.8 min. total, 590.3 MB
frenzy_eggnog v3 204 games, 82356 moves, e=0.918, loss: nan, ., 47.8% elo% vs. random_bot, avg. reward: -14.338, 0.258 sec/game, 0.8 min. total, 590.9 MB
