moocher_shakable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.0 MB
moocher_shakable v4 133 games, 98017 moves, e=0.903, loss: 5.2, -, 28.6% elo% vs. random_no_suicide, avg. reward: -9.537, 2.705 sec/game, 4.9 min. total, 418.9 MB
moocher_shakable v4 134 games, 98768 moves, e=0.902, loss: 5.5, -, 27.5% elo% vs. random_no_suicide, avg. reward: -9.516, 2.684 sec/game, 4.9 min. total, 419.0 MB
moocher_shakable v4 135 games, 99584 moves, e=0.901, loss: 5.3, +, 30.3% elo% vs. random_no_suicide, avg. reward: -9.512, 2.743 sec/game, 5.0 min. total, 419.1 MB
moocher_shakable v4 136 games, 100388 moves, e=0.901, loss: 5.3, +, 33.0% elo% vs. random_no_suicide, avg. reward: -9.506, 2.737 sec/game, 5.0 min. total, 418.8 MB
moocher_shakable v4 137 games, 101180 moves, e=0.900, loss: 5.4, +, 35.8% elo% vs. random_no_suicide, avg. reward: -9.497, 2.763 sec/game, 5.1 min. total, 421.4 MB
moocher_shakable v4 138 games, 101993 moves, e=0.899, loss: 5.3, +, 38.6% elo% vs. random_no_suicide, avg. reward: -9.492, 2.774 sec/game, 5.1 min. total, 419.0 MB
moocher_shakable v4 139 games, 102756 moves, e=0.898, loss: 5.2, +, 41.3% elo% vs. random_no_suicide, avg. reward: -9.496, 2.775 sec/game, 5.2 min. total, 420.4 MB
moocher_shakable v4 140 games, 103662 moves, e=0.897, loss: 5.2, +, 44.0% elo% vs. random_no_suicide, avg. reward: -9.482, 2.796 sec/game, 5.2 min. total, 421.4 MB
moocher_shakable v4 141 games, 104409 moves, e=0.897, loss: 5.3, +, 46.5% elo% vs. random_no_suicide, avg. reward: -9.486, 2.771 sec/game, 5.2 min. total, 421.3 MB
moocher_shakable v4 142 games, 105195 moves, e=0.896, loss: 5.4, -, 44.4% elo% vs. random_no_suicide, avg. reward: -9.465, 2.756 sec/game, 5.3 min. total, 421.5 MB
moocher_shakable v4 143 games, 106014 moves, e=0.895, loss: 5.5, +, 46.9% elo% vs. random_no_suicide, avg. reward: -9.443, 2.797 sec/game, 5.3 min. total, 421.8 MB
moocher_shakable v4 144 games, 106786 moves, e=0.894, loss: 5.3, +, 49.4% elo% vs. random_no_suicide, avg. reward: -9.432, 2.803 sec/game, 5.4 min. total, 422.2 MB
moocher_shakable v4 145 games, 107544 moves, e=0.894, loss: 5.2, -, 47.1% elo% vs. random_no_suicide, avg. reward: -9.395, 2.807 sec/game, 5.4 min. total, 422.0 MB
