marrow_each v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 319.3 MB
marrow_each v3 123 games, 91494 moves, e=0.909, loss: 5.1, +, 57.8% elo% vs. v1, avg. reward: -9.349, 2.559 sec/game, 4.4 min. total, 481.2 MB
marrow_each v3 124 games, 92339 moves, e=0.909, loss: 5.0, +, 59.7% elo% vs. v1, avg. reward: -9.328, 2.572 sec/game, 4.4 min. total, 481.3 MB
marrow_each v3 125 games, 93023 moves, e=0.908, loss: 5.0, +, 61.5% elo% vs. v1, avg. reward: -9.329, 2.551 sec/game, 4.4 min. total, 480.1 MB
marrow_each v3 126 games, 93755 moves, e=0.907, loss: 4.9, +, 63.1% elo% vs. v1, avg. reward: -9.332, 2.560 sec/game, 4.5 min. total, 484.2 MB
marrow_each v3 127 games, 94480 moves, e=0.906, loss: 5.0, +, 64.7% elo% vs. v1, avg. reward: -9.336, 2.564 sec/game, 4.5 min. total, 482.5 MB
marrow_each v3 128 games, 95446 moves, e=0.906, loss: 5.1, +, 66.2% elo% vs. v1, avg. reward: -9.305, 2.580 sec/game, 4.6 min. total, 482.3 MB
marrow_each v3 129 games, 96301 moves, e=0.905, loss: 5.3, +, 67.6% elo% vs. v1, avg. reward: -9.277, 2.574 sec/game, 4.6 min. total, 484.2 MB
marrow_each v3 130 games, 97166 moves, e=0.904, loss: 4.9, +, 68.9% elo% vs. v1, avg. reward: -9.254, 2.592 sec/game, 4.7 min. total, 482.3 MB
marrow_each v3 131 games, 98050 moves, e=0.903, loss: 4.9, +, 70.1% elo% vs. v1, avg. reward: -9.228, 2.622 sec/game, 4.7 min. total, 484.5 MB
marrow_each v4 132 games, 98899 moves, e=0.902, loss: 4.8, -, 49.9% elo% vs. v3, avg. reward: -9.206, 2.578 sec/game, 4.7 min. total, 496.0 MB
marrow_each v4 133 games, 99774 moves, e=0.901, loss: 4.7, -, 47.6% elo% vs. v3, avg. reward: -9.191, 2.594 sec/game, 4.8 min. total, 497.3 MB
marrow_each v4 134 games, 100653 moves, e=0.900, loss: 4.6, -, 45.4% elo% vs. v3, avg. reward: -9.179, 2.606 sec/game, 4.8 min. total, 497.5 MB
marrow_each v4 135 games, 101467 moves, e=0.900, loss: 4.6, -, 43.4% elo% vs. v3, avg. reward: -9.169, 2.608 sec/game, 4.9 min. total, 495.6 MB
marrow_each v4 136 games, 102285 moves, e=0.899, loss: 4.6, -, 41.4% elo% vs. v3, avg. reward: -9.147, 2.623 sec/game, 4.9 min. total, 497.6 MB
marrow_each v4 137 games, 103087 moves, e=0.898, loss: 4.5, +, 44.0% elo% vs. v3, avg. reward: -9.134, 2.617 sec/game, 5.0 min. total, 498.7 MB
marrow_each v4 138 games, 103839 moves, e=0.897, loss: 4.6, +, 46.6% elo% vs. v3, avg. reward: -9.132, 2.620 sec/game, 5.0 min. total, 498.8 MB
marrow_each v4 139 games, 104529 moves, e=0.897, loss: 4.5, +, 49.1% elo% vs. v3, avg. reward: -9.125, 2.595 sec/game, 5.0 min. total, 497.2 MB
marrow_each v4 140 games, 105433 moves, e=0.896, loss: 4.4, -, 46.8% elo% vs. v3, avg. reward: -9.091, 2.607 sec/game, 5.1 min. total, 497.0 MB
marrow_each v4 141 games, 106130 moves, e=0.895, loss: 4.4, -, 44.7% elo% vs. v3, avg. reward: -9.088, 2.608 sec/game, 5.1 min. total, 499.2 MB
marrow_each v4 142 games, 106947 moves, e=0.894, loss: 4.4, -, 42.6% elo% vs. v3, avg. reward: -9.088, 2.607 sec/game, 5.2 min. total, 499.3 MB
marrow_each v4 143 games, 107695 moves, e=0.893, loss: 4.3, -, 40.7% elo% vs. v3, avg. reward: -9.071, 2.577 sec/game, 5.2 min. total, 499.6 MB
marrow_each v4 144 games, 108471 moves, e=0.893, loss: 4.3, -, 38.9% elo% vs. v3, avg. reward: -9.057, 2.565 sec/game, 5.3 min. total, 499.7 MB
marrow_each v4 145 games, 109263 moves, e=0.892, loss: 4.6, -, 37.2% elo% vs. v3, avg. reward: -9.044, 2.588 sec/game, 5.3 min. total, 501.2 MB
marrow_each v4 146 games, 110163 moves, e=0.891, loss: 4.7, -, 35.6% elo% vs. v3, avg. reward: -9.010, 2.616 sec/game, 5.3 min. total, 501.4 MB
marrow_each v4 147 games, 110907 moves, e=0.890, loss: 4.8, +, 38.4% elo% vs. v3, avg. reward: -9.020, 2.611 sec/game, 5.4 min. total, 501.4 MB
marrow_each v4 148 games, 111681 moves, e=0.889, loss: 4.7, +, 41.1% elo% vs. v3, avg. reward: -8.993, 2.593 sec/game, 5.4 min. total, 501.5 MB
marrow_each v4 149 games, 112446 moves, e=0.889, loss: 4.6, ., 41.5% elo% vs. v3, avg. reward: -8.991, 2.577 sec/game, 5.5 min. total, 502.9 MB
marrow_each v4 150 games, 113285 moves, e=0.888, loss: 4.3, -, 39.7% elo% vs. v3, avg. reward: -8.982, 2.587 sec/game, 5.5 min. total, 505.6 MB
marrow_each v4 151 games, 113988 moves, e=0.887, loss: 4.5, -, 37.9% elo% vs. v3, avg. reward: -8.996, 2.560 sec/game, 5.5 min. total, 504.4 MB
marrow_each v4 152 games, 114731 moves, e=0.886, loss: 4.6, -, 36.3% elo% vs. v3, avg. reward: -9.003, 2.563 sec/game, 5.6 min. total, 506.1 MB
marrow_each v4 153 games, 115503 moves, e=0.886, loss: 4.3, -, 34.8% elo% vs. v3, avg. reward: -9.003, 2.545 sec/game, 5.6 min. total, 504.5 MB
marrow_each v4 154 games, 116210 moves, e=0.885, loss: 4.2, +, 37.6% elo% vs. v3, avg. reward: -9.008, 2.504 sec/game, 5.7 min. total, 506.1 MB
marrow_each v4 155 games, 117153 moves, e=0.884, loss: 4.2, +, 40.3% elo% vs. v3, avg. reward: -8.991, 2.533 sec/game, 5.7 min. total, 506.9 MB
marrow_each v4 156 games, 117919 moves, e=0.883, loss: 4.4, -, 38.5% elo% vs. v3, avg. reward: -8.991, 2.512 sec/game, 5.8 min. total, 508.2 MB
