fit_relearn v2 288 games, 115588 moves, e=0.886, loss: 5.7, +, 55.1% elo% vs. random_bot, avg. reward: -13.558, 4.131 sec/game, 3.3 min. total, 702.2 MB
fit_relearn v2 290 games, 116594 moves, e=0.885, loss: 5.5, +, 57.2% elo% vs. random_bot, avg. reward: -13.456, 3.984 sec/game, 3.4 min. total, 702.3 MB
fit_relearn v2 292 games, 117622 moves, e=0.884, loss: 5.4, +, 59.1% elo% vs. random_bot, avg. reward: -13.333, 3.945 sec/game, 3.5 min. total, 702.4 MB
fit_relearn v2 294 games, 118629 moves, e=0.883, loss: 5.4, +, 60.9% elo% vs. random_bot, avg. reward: -13.259, 3.764 sec/game, 3.6 min. total, 703.0 MB
fit_relearn v2 296 games, 119759 moves, e=0.881, loss: 5.1, +, 62.6% elo% vs. random_bot, avg. reward: -13.158, 3.983 sec/game, 3.8 min. total, 703.6 MB
fit_relearn v2 298 games, 120886 moves, e=0.880, loss: 5.2, +, 64.2% elo% vs. random_bot, avg. reward: -13.042, 3.693 sec/game, 3.9 min. total, 704.1 MB
fit_relearn v2 300 games, 122099 moves, e=0.879, loss: 5.1, +, 65.7% elo% vs. random_bot, avg. reward: -12.874, 3.719 sec/game, 4.0 min. total, 704.7 MB
fit_relearn v3 302 games, 123165 moves, e=0.878, loss: 4.9, +, 52.3% elo% vs. random_bot, avg. reward: -12.788, 3.671 sec/game, 4.1 min. total, 704.7 MB
fit_relearn v3 304 games, 124131 moves, e=0.877, loss: 4.9, +, 54.5% elo% vs. random_bot, avg. reward: -12.709, 3.615 sec/game, 4.2 min. total, 704.4 MB
fit_relearn v3 306 games, 125122 moves, e=0.876, loss: 4.8, +, 56.6% elo% vs. random_bot, avg. reward: -12.610, 3.536 sec/game, 4.3 min. total, 704.9 MB
fit_relearn v3 308 games, 126218 moves, e=0.875, loss: 4.7, +, 58.5% elo% vs. random_bot, avg. reward: -12.498, 3.495 sec/game, 4.4 min. total, 707.5 MB
fit_relearn v3 310 games, 127294 moves, e=0.874, loss: 4.6, +, 60.4% elo% vs. random_bot, avg. reward: -12.394, 3.531 sec/game, 4.6 min. total, 708.3 MB
fit_relearn v3 312 games, 128430 moves, e=0.873, loss: 4.5, +, 62.1% elo% vs. random_bot, avg. reward: -12.271, 3.554 sec/game, 4.7 min. total, 709.3 MB
