pulsate_salute v2 114 games, 81796 moves, e=0.919, loss: nan, +, 46.9% elo% vs. v0, avg. reward: -10.037, 0.347 sec/game, 0.5 min. total, 608.6 MB
pulsate_salute v2 115 games, 82634 moves, e=0.918, loss: nan, -, 44.7% elo% vs. v0, avg. reward: -10.001, 0.351 sec/game, 0.5 min. total, 610.9 MB
pulsate_salute v2 116 games, 83378 moves, e=0.917, loss: nan, -, 42.7% elo% vs. v0, avg. reward: -9.976, 0.351 sec/game, 0.5 min. total, 612.5 MB
pulsate_salute v2 117 games, 84099 moves, e=0.917, loss: nan, +, 45.3% elo% vs. v0, avg. reward: -9.956, 0.353 sec/game, 0.5 min. total, 614.2 MB
pulsate_salute v2 118 games, 84764 moves, e=0.916, loss: nan, +, 47.8% elo% vs. v0, avg. reward: -9.954, 0.353 sec/game, 0.6 min. total, 615.6 MB
pulsate_salute v2 119 games, 85468 moves, e=0.915, loss: nan, -, 45.6% elo% vs. v0, avg. reward: -9.944, 0.349 sec/game, 0.6 min. total, 618.1 MB
pulsate_salute v2 120 games, 86177 moves, e=0.915, loss: nan, -, 43.5% elo% vs. v0, avg. reward: -9.940, 0.352 sec/game, 0.6 min. total, 620.4 MB
pulsate_salute v2 121 games, 86886 moves, e=0.914, loss: nan, -, 41.6% elo% vs. v0, avg. reward: -9.952, 0.351 sec/game, 0.6 min. total, 623.9 MB
pulsate_salute v2 122 games, 87641 moves, e=0.913, loss: nan, +, 44.2% elo% vs. v0, avg. reward: -9.935, 0.348 sec/game, 0.6 min. total, 627.7 MB
pulsate_salute v2 123 games, 88384 moves, e=0.912, loss: nan, +, 46.8% elo% vs. v0, avg. reward: -9.931, 0.350 sec/game, 0.6 min. total, 632.7 MB
pulsate_salute v2 124 games, 89087 moves, e=0.912, loss: nan, +, 49.2% elo% vs. v0, avg. reward: -9.932, 0.351 sec/game, 0.6 min. total, 635.8 MB
pulsate_salute v2 125 games, 89955 moves, e=0.911, loss: nan, +, 51.5% elo% vs. v0, avg. reward: -9.917, 0.355 sec/game, 0.6 min. total, 636.6 MB
pulsate_salute v2 126 games, 90698 moves, e=0.910, loss: nan, +, 53.8% elo% vs. v0, avg. reward: -9.923, 0.357 sec/game, 0.6 min. total, 638.3 MB
pulsate_salute v2 127 games, 91352 moves, e=0.910, loss: nan, +, 55.9% elo% vs. v0, avg. reward: -9.935, 0.358 sec/game, 0.6 min. total, 639.8 MB
pulsate_salute v2 128 games, 92132 moves, e=0.909, loss: nan, +, 57.9% elo% vs. v0, avg. reward: -9.925, 0.359 sec/game, 0.6 min. total, 642.2 MB
pulsate_salute v2 129 games, 92839 moves, e=0.908, loss: nan, +, 59.7% elo% vs. v0, avg. reward: -9.942, 0.358 sec/game, 0.6 min. total, 643.7 MB
pulsate_salute v2 130 games, 93536 moves, e=0.907, loss: nan, +, 61.5% elo% vs. v0, avg. reward: -9.948, 0.359 sec/game, 0.6 min. total, 645.8 MB
pulsate_salute v2 131 games, 94318 moves, e=0.907, loss: nan, -, 58.8% elo% vs. v0, avg. reward: -9.933, 0.360 sec/game, 0.6 min. total, 647.6 MB
pulsate_salute v2 132 games, 95050 moves, e=0.906, loss: nan, +, 60.6% elo% vs. v0, avg. reward: -9.899, 0.359 sec/game, 0.6 min. total, 649.9 MB
pulsate_salute v2 133 games, 95857 moves, e=0.905, loss: nan, ., 60.2% elo% vs. v0, avg. reward: -9.889, 0.359 sec/game, 0.6 min. total, 653.8 MB
