zoology_jogging v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
zoology_jogging v6 430 games, 348780 moves, e=0.655, loss: 24958192.7, -, 16.6% elo% vs. random_no_suicide, avg. reward: 1550.414, 2.130 sec/game, 12.3 min. total, 537.6 MB
zoology_jogging v6 431 games, 349608 moves, e=0.654, loss: 25556476.1, -, 16.2% elo% vs. random_no_suicide, avg. reward: 1555.268, 2.127 sec/game, 12.4 min. total, 538.4 MB
zoology_jogging v6 432 games, 350647 moves, e=0.653, loss: 25377711.6, -, 15.8% elo% vs. random_no_suicide, avg. reward: 1578.430, 2.130 sec/game, 12.4 min. total, 539.6 MB
zoology_jogging v6 433 games, 351443 moves, e=0.652, loss: 26661214.8, -, 15.4% elo% vs. random_no_suicide, avg. reward: 1578.830, 2.124 sec/game, 12.4 min. total, 540.0 MB
zoology_jogging v6 434 games, 352264 moves, e=0.651, loss: 27569036.5, -, 15.1% elo% vs. random_no_suicide, avg. reward: 1566.903, 2.126 sec/game, 12.5 min. total, 540.3 MB
zoology_jogging v6 435 games, 353275 moves, e=0.650, loss: 26038231.3, -, 14.7% elo% vs. random_no_suicide, avg. reward: 1543.482, 2.106 sec/game, 12.5 min. total, 540.1 MB
zoology_jogging v6 436 games, 354146 moves, e=0.649, loss: 25800932.1, -, 14.4% elo% vs. random_no_suicide, avg. reward: 1548.691, 2.107 sec/game, 12.5 min. total, 540.4 MB
zoology_jogging v6 437 games, 355117 moves, e=0.648, loss: 23936699.1, -, 14.0% elo% vs. random_no_suicide, avg. reward: 1542.368, 2.106 sec/game, 12.6 min. total, 540.4 MB
zoology_jogging v6 438 games, 356088 moves, e=0.647, loss: 23533369.6, -, 13.7% elo% vs. random_no_suicide, avg. reward: 1556.518, 2.086 sec/game, 12.6 min. total, 540.4 MB
zoology_jogging v6 439 games, 356999 moves, e=0.647, loss: 22886425.7, -, 13.4% elo% vs. random_no_suicide, avg. reward: 1546.435, 2.094 sec/game, 12.6 min. total, 540.6 MB
zoology_jogging v6 440 games, 357946 moves, e=0.646, loss: 22151444.2, -, 13.1% elo% vs. random_no_suicide, avg. reward: 1525.089, 2.089 sec/game, 12.7 min. total, 541.1 MB
zoology_jogging v6 441 games, 358869 moves, e=0.645, loss: 22158619.3, -, 12.9% elo% vs. random_no_suicide, avg. reward: 1527.546, 2.091 sec/game, 12.7 min. total, 543.1 MB
zoology_jogging v6 442 games, 359881 moves, e=0.644, loss: 21503552.5, -, 12.6% elo% vs. random_no_suicide, avg. reward: 1518.886, 2.113 sec/game, 12.7 min. total, 543.1 MB
zoology_jogging v6 443 games, 361003 moves, e=0.643, loss: 21060321.2, -, 12.4% elo% vs. random_no_suicide, avg. reward: 1493.422, 2.130 sec/game, 12.8 min. total, 542.6 MB
zoology_jogging v6 444 games, 361877 moves, e=0.642, loss: 20925420.7, -, 12.1% elo% vs. random_no_suicide, avg. reward: 1497.437, 2.125 sec/game, 12.8 min. total, 543.1 MB
zoology_jogging v6 445 games, 362807 moves, e=0.641, loss: 19425253.5, -, 11.9% elo% vs. random_no_suicide, avg. reward: 1490.970, 2.109 sec/game, 12.8 min. total, 543.1 MB
zoology_jogging v6 446 games, 363739 moves, e=0.640, loss: 19120645.4, -, 11.7% elo% vs. random_no_suicide, avg. reward: 1494.679, 2.111 sec/game, 12.9 min. total, 542.8 MB
zoology_jogging v6 447 games, 364754 moves, e=0.639, loss: 19539417.9, -, 11.4% elo% vs. random_no_suicide, avg. reward: 1471.083, 2.122 sec/game, 12.9 min. total, 543.2 MB
zoology_jogging v6 448 games, 365583 moves, e=0.638, loss: 18559447.6, -, 11.2% elo% vs. random_no_suicide, avg. reward: 1476.970, 2.102 sec/game, 13.0 min. total, 543.3 MB
zoology_jogging v6 449 games, 366568 moves, e=0.637, loss: 18739901.9, -, 11.0% elo% vs. random_no_suicide, avg. reward: 1487.854, 2.109 sec/game, 13.0 min. total, 543.2 MB
zoology_jogging v6 450 games, 367556 moves, e=0.636, loss: 18942969.6, -, 10.8% elo% vs. random_no_suicide, avg. reward: 1500.032, 2.117 sec/game, 13.0 min. total, 545.2 MB
zoology_jogging v6 451 games, 368573 moves, e=0.635, loss: 18615443.9, -, 10.6% elo% vs. random_no_suicide, avg. reward: 1493.452, 2.131 sec/game, 13.1 min. total, 546.5 MB
zoology_jogging v6 452 games, 369575 moves, e=0.634, loss: 18528586.3, -, 10.4% elo% vs. random_no_suicide, avg. reward: 1499.703, 2.130 sec/game, 13.1 min. total, 546.8 MB
zoology_jogging v6 453 games, 370503 moves, e=0.633, loss: 18841928.8, -, 10.3% elo% vs. random_no_suicide, avg. reward: 1508.400, 2.138 sec/game, 13.1 min. total, 547.0 MB
zoology_jogging v6 454 games, 371575 moves, e=0.632, loss: 17841877.0, -, 10.1% elo% vs. random_no_suicide, avg. reward: 1497.575, 2.155 sec/game, 13.2 min. total, 547.3 MB
zoology_jogging v6 455 games, 372420 moves, e=0.631, loss: 17777382.9, -, 9.9% elo% vs. random_no_suicide, avg. reward: 1491.116, 2.150 sec/game, 13.2 min. total, 546.9 MB
zoology_jogging v6 456 games, 373320 moves, e=0.630, loss: 17827257.6, -, 9.8% elo% vs. random_no_suicide, avg. reward: 1481.087, 2.151 sec/game, 13.2 min. total, 547.5 MB
zoology_jogging v6 457 games, 374118 moves, e=0.630, loss: 17706580.8, -, 9.6% elo% vs. random_no_suicide, avg. reward: 1475.626, 2.130 sec/game, 13.3 min. total, 547.6 MB
zoology_jogging v6 458 games, 375011 moves, e=0.629, loss: 18523423.1, -, 9.5% elo% vs. random_no_suicide, avg. reward: 1479.398, 2.128 sec/game, 13.3 min. total, 547.5 MB
zoology_jogging v6 459 games, 375766 moves, e=0.628, loss: 18179208.6, -, 9.3% elo% vs. random_no_suicide, avg. reward: 1484.089, 2.109 sec/game, 13.3 min. total, 547.6 MB
zoology_jogging v6 460 games, 376789 moves, e=0.627, loss: 17156268.9, -, 9.2% elo% vs. random_no_suicide, avg. reward: 1469.285, 2.122 sec/game, 13.4 min. total, 549.6 MB
zoology_jogging v6 461 games, 377653 moves, e=0.626, loss: 16185350.9, -, 9.0% elo% vs. random_no_suicide, avg. reward: 1463.454, 2.131 sec/game, 13.4 min. total, 549.7 MB
zoology_jogging v6 462 games, 378652 moves, e=0.625, loss: 15249264.2, -, 8.9% elo% vs. random_no_suicide, avg. reward: 1466.504, 2.122 sec/game, 13.4 min. total, 549.9 MB
zoology_jogging v6 463 games, 379596 moves, e=0.624, loss: 15625631.4, -, 8.8% elo% vs. random_no_suicide, avg. reward: 1447.834, 2.100 sec/game, 13.5 min. total, 550.1 MB
zoology_jogging v6 464 games, 380404 moves, e=0.623, loss: 15904476.6, -, 8.6% elo% vs. random_no_suicide, avg. reward: 1442.020, 2.093 sec/game, 13.5 min. total, 550.0 MB
zoology_jogging v6 465 games, 381492 moves, e=0.622, loss: 15244703.6, -, 8.5% elo% vs. random_no_suicide, avg. reward: 1417.084, 2.118 sec/game, 13.6 min. total, 550.2 MB
zoology_jogging v6 466 games, 382457 moves, e=0.621, loss: 15747920.4, -, 8.4% elo% vs. random_no_suicide, avg. reward: 1426.009, 2.120 sec/game, 13.6 min. total, 549.6 MB
zoology_jogging v6 467 games, 383502 moves, e=0.620, loss: 16176505.7, -, 8.3% elo% vs. random_no_suicide, avg. reward: 1431.669, 2.135 sec/game, 13.6 min. total, 550.1 MB
zoology_jogging v6 468 games, 384537 moves, e=0.619, loss: 16589334.0, -, 8.1% elo% vs. random_no_suicide, avg. reward: 1441.074, 2.151 sec/game, 13.7 min. total, 550.8 MB
zoology_jogging v6 469 games, 385550 moves, e=0.618, loss: 17438200.4, -, 8.0% elo% vs. random_no_suicide, avg. reward: 1435.462, 2.162 sec/game, 13.7 min. total, 552.2 MB
zoology_jogging v6 470 games, 386495 moves, e=0.617, loss: 17964253.5, -, 7.9% elo% vs. random_no_suicide, avg. reward: 1440.605, 2.151 sec/game, 13.7 min. total, 552.0 MB
zoology_jogging v6 471 games, 387406 moves, e=0.616, loss: 18918048.2, -, 7.8% elo% vs. random_no_suicide, avg. reward: 1435.491, 2.143 sec/game, 13.8 min. total, 552.1 MB
zoology_jogging v6 472 games, 388539 moves, e=0.615, loss: 20310473.0, -, 7.7% elo% vs. random_no_suicide, avg. reward: 1452.793, 2.160 sec/game, 13.8 min. total, 551.7 MB
zoology_jogging v6 473 games, 389582 moves, e=0.614, loss: 21055387.9, -, 7.6% elo% vs. random_no_suicide, avg. reward: 1462.852, 2.170 sec/game, 13.9 min. total, 552.2 MB
zoology_jogging v6 474 games, 390577 moves, e=0.613, loss: 21447698.0, -, 7.5% elo% vs. random_no_suicide, avg. reward: 1468.990, 2.167 sec/game, 13.9 min. total, 552.2 MB
zoology_jogging v6 475 games, 391501 moves, e=0.612, loss: 21603087.0, -, 7.4% elo% vs. random_no_suicide, avg. reward: 1497.548, 2.176 sec/game, 13.9 min. total, 552.0 MB
zoology_jogging v6 476 games, 392516 moves, e=0.611, loss: 20590659.6, -, 7.3% elo% vs. random_no_suicide, avg. reward: 1513.100, 2.188 sec/game, 14.0 min. total, 552.0 MB
zoology_jogging v6 477 games, 393583 moves, e=0.610, loss: 21270866.4, -, 7.2% elo% vs. random_no_suicide, avg. reward: 1506.521, 2.214 sec/game, 14.0 min. total, 552.9 MB
zoology_jogging v6 478 games, 394446 moves, e=0.609, loss: 21645192.6, -, 7.2% elo% vs. random_no_suicide, avg. reward: 1492.963, 2.213 sec/game, 14.0 min. total, 553.6 MB
zoology_jogging v6 479 games, 395410 moves, e=0.609, loss: 22252227.9, -, 7.1% elo% vs. random_no_suicide, avg. reward: 1499.972, 2.235 sec/game, 14.1 min. total, 554.3 MB
zoology_jogging v6 480 games, 396241 moves, e=0.608, loss: 22124313.1, -, 7.0% elo% vs. random_no_suicide, avg. reward: 1502.777, 2.210 sec/game, 14.1 min. total, 554.2 MB
zoology_jogging v6 481 games, 397322 moves, e=0.607, loss: 22235736.7, -, 6.9% elo% vs. random_no_suicide, avg. reward: 1499.517, 2.225 sec/game, 14.2 min. total, 554.2 MB
zoology_jogging v6 482 games, 398415 moves, e=0.606, loss: 21983514.6, -, 6.8% elo% vs. random_no_suicide, avg. reward: 1506.663, 2.227 sec/game, 14.2 min. total, 554.2 MB
zoology_jogging v6 483 games, 399341 moves, e=0.605, loss: 21961263.9, -, 6.7% elo% vs. random_no_suicide, avg. reward: 1514.106, 2.229 sec/game, 14.2 min. total, 554.4 MB
zoology_jogging v6 484 games, 400303 moves, e=0.604, loss: 21586364.0, -, 6.7% elo% vs. random_no_suicide, avg. reward: 1518.349, 2.247 sec/game, 14.3 min. total, 554.6 MB
zoology_jogging v6 485 games, 401314 moves, e=0.603, loss: 21573985.2, -, 6.6% elo% vs. random_no_suicide, avg. reward: 1516.907, 2.236 sec/game, 14.3 min. total, 554.3 MB
zoology_jogging v6 486 games, 402222 moves, e=0.602, loss: 22046163.3, -, 6.5% elo% vs. random_no_suicide, avg. reward: 1515.022, 2.235 sec/game, 14.3 min. total, 556.4 MB
zoology_jogging v6 487 games, 403170 moves, e=0.601, loss: 20915887.4, -, 6.4% elo% vs. random_no_suicide, avg. reward: 1497.284, 2.210 sec/game, 14.4 min. total, 557.7 MB
zoology_jogging v6 488 games, 404251 moves, e=0.600, loss: 20787573.7, -, 6.4% elo% vs. random_no_suicide, avg. reward: 1511.679, 2.221 sec/game, 14.4 min. total, 558.1 MB
zoology_jogging v6 489 games, 405235 moves, e=0.599, loss: 20536649.1, -, 6.3% elo% vs. random_no_suicide, avg. reward: 1493.928, 2.209 sec/game, 14.4 min. total, 558.7 MB
zoology_jogging v6 490 games, 406181 moves, e=0.598, loss: 19994745.8, -, 6.2% elo% vs. random_no_suicide, avg. reward: 1473.809, 2.219 sec/game, 14.5 min. total, 558.3 MB
zoology_jogging v6 491 games, 407154 moves, e=0.597, loss: 19554327.1, -, 6.2% elo% vs. random_no_suicide, avg. reward: 1492.125, 2.218 sec/game, 14.5 min. total, 558.8 MB
zoology_jogging v6 492 games, 408082 moves, e=0.596, loss: 21226746.4, -, 6.1% elo% vs. random_no_suicide, avg. reward: 1488.088, 2.198 sec/game, 14.6 min. total, 559.2 MB
zoology_jogging v6 493 games, 409274 moves, e=0.595, loss: 21630455.4, -, 6.0% elo% vs. random_no_suicide, avg. reward: 1500.616, 2.212 sec/game, 14.6 min. total, 558.8 MB
zoology_jogging v6 494 games, 410388 moves, e=0.594, loss: 21472219.2, -, 6.0% elo% vs. random_no_suicide, avg. reward: 1486.851, 2.224 sec/game, 14.6 min. total, 559.2 MB
zoology_jogging v6 495 games, 411257 moves, e=0.593, loss: 21216074.3, -, 5.9% elo% vs. random_no_suicide, avg. reward: 1477.439, 2.210 sec/game, 14.7 min. total, 559.1 MB
zoology_jogging v6 496 games, 412315 moves, e=0.592, loss: 20425809.6, -, 5.8% elo% vs. random_no_suicide, avg. reward: 1489.050, 2.225 sec/game, 14.7 min. total, 560.9 MB
zoology_jogging v6 497 games, 413337 moves, e=0.591, loss: 20910046.2, -, 5.8% elo% vs. random_no_suicide, avg. reward: 1496.711, 2.226 sec/game, 14.7 min. total, 561.2 MB
zoology_jogging v6 498 games, 414277 moves, e=0.590, loss: 21065354.3, -, 5.7% elo% vs. random_no_suicide, avg. reward: 1493.914, 2.231 sec/game, 14.8 min. total, 561.6 MB
zoology_jogging v6 499 games, 415253 moves, e=0.589, loss: 21755121.8, -, 5.7% elo% vs. random_no_suicide, avg. reward: 1485.376, 2.232 sec/game, 14.8 min. total, 561.7 MB
zoology_jogging v6 500 games, 416257 moves, e=0.588, loss: 21288604.7, -, 5.6% elo% vs. random_no_suicide, avg. reward: 1456.339, 2.256 sec/game, 14.9 min. total, 561.8 MB
zoology_jogging v7 501 games, 417229 moves, e=0.587, loss: 22162938.8, -, 47.7% elo% vs. random_no_suicide, avg. reward: 1464.481, 2.244 sec/game, 14.9 min. total, 561.8 MB
zoology_jogging v7 502 games, 418151 moves, e=0.586, loss: 23181922.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: 1489.682, 2.231 sec/game, 14.9 min. total, 562.5 MB
zoology_jogging v7 503 games, 419117 moves, e=0.585, loss: 24119808.2, -, 43.4% elo% vs. random_no_suicide, avg. reward: 1487.593, 2.244 sec/game, 15.0 min. total, 561.9 MB
zoology_jogging v7 504 games, 420119 moves, e=0.584, loss: 23353894.7, -, 41.5% elo% vs. random_no_suicide, avg. reward: 1476.548, 2.246 sec/game, 15.0 min. total, 562.7 MB
zoology_jogging v7 505 games, 421064 moves, e=0.583, loss: 23625137.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: 1492.676, 2.234 sec/game, 15.0 min. total, 563.5 MB
zoology_jogging v7 506 games, 422032 moves, e=0.582, loss: 25515666.0, -, 37.9% elo% vs. random_no_suicide, avg. reward: 1499.387, 2.245 sec/game, 15.1 min. total, 563.4 MB
zoology_jogging v7 507 games, 423116 moves, e=0.581, loss: 25212825.9, -, 36.3% elo% vs. random_no_suicide, avg. reward: 1482.152, 2.258 sec/game, 15.1 min. total, 563.7 MB
zoology_jogging v7 508 games, 424037 moves, e=0.580, loss: 24307546.8, -, 34.8% elo% vs. random_no_suicide, avg. reward: 1478.448, 2.238 sec/game, 15.2 min. total, 564.4 MB
zoology_jogging v7 509 games, 425013 moves, e=0.579, loss: 24038089.3, -, 33.3% elo% vs. random_no_suicide, avg. reward: 1446.348, 2.246 sec/game, 15.2 min. total, 564.3 MB
zoology_jogging v7 510 games, 426059 moves, e=0.578, loss: 24357041.8, -, 32.0% elo% vs. random_no_suicide, avg. reward: 1452.990, 2.254 sec/game, 15.2 min. total, 564.6 MB
zoology_jogging v7 511 games, 427021 moves, e=0.577, loss: 24885472.6, -, 30.7% elo% vs. random_no_suicide, avg. reward: 1457.083, 2.264 sec/game, 15.3 min. total, 564.2 MB
zoology_jogging v7 512 games, 428072 moves, e=0.576, loss: 24939912.4, -, 29.5% elo% vs. random_no_suicide, avg. reward: 1461.233, 2.266 sec/game, 15.3 min. total, 564.2 MB
zoology_jogging v7 513 games, 429161 moves, e=0.575, loss: 25305088.6, -, 28.4% elo% vs. random_no_suicide, avg. reward: 1477.039, 2.257 sec/game, 15.3 min. total, 565.2 MB
zoology_jogging v7 514 games, 430159 moves, e=0.574, loss: 25561891.4, -, 27.3% elo% vs. random_no_suicide, avg. reward: 1494.324, 2.246 sec/game, 15.4 min. total, 566.5 MB
zoology_jogging v7 515 games, 431095 moves, e=0.573, loss: 25427036.4, -, 26.4% elo% vs. random_no_suicide, avg. reward: 1485.609, 2.260 sec/game, 15.4 min. total, 566.4 MB
zoology_jogging v7 516 games, 432097 moves, e=0.572, loss: 25652863.4, -, 25.4% elo% vs. random_no_suicide, avg. reward: 1476.469, 2.244 sec/game, 15.5 min. total, 566.9 MB
zoology_jogging v7 517 games, 433245 moves, e=0.571, loss: 25617589.0, -, 24.5% elo% vs. random_no_suicide, avg. reward: 1472.029, 2.256 sec/game, 15.5 min. total, 567.1 MB
zoology_jogging v7 518 games, 434084 moves, e=0.570, loss: 25728907.6, -, 23.7% elo% vs. random_no_suicide, avg. reward: 1473.327, 2.251 sec/game, 15.5 min. total, 567.0 MB
zoology_jogging v7 519 games, 435184 moves, e=0.569, loss: 25567093.7, -, 22.9% elo% vs. random_no_suicide, avg. reward: 1481.187, 2.253 sec/game, 15.6 min. total, 566.8 MB
zoology_jogging v7 520 games, 436041 moves, e=0.568, loss: 26191978.3, -, 22.2% elo% vs. random_no_suicide, avg. reward: 1471.105, 2.241 sec/game, 15.6 min. total, 567.2 MB
zoology_jogging v7 521 games, 437095 moves, e=0.567, loss: 26245821.2, -, 21.5% elo% vs. random_no_suicide, avg. reward: 1473.217, 2.246 sec/game, 15.6 min. total, 567.4 MB
zoology_jogging v7 522 games, 438193 moves, e=0.566, loss: 24736048.8, -, 20.8% elo% vs. random_no_suicide, avg. reward: 1489.181, 2.269 sec/game, 15.7 min. total, 567.7 MB
zoology_jogging v7 523 games, 439244 moves, e=0.565, loss: 24683626.5, -, 20.2% elo% vs. random_no_suicide, avg. reward: 1466.069, 2.268 sec/game, 15.7 min. total, 568.9 MB
zoology_jogging v7 524 games, 440268 moves, e=0.564, loss: 24697114.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: 1476.585, 2.275 sec/game, 15.8 min. total, 568.9 MB
zoology_jogging v7 525 games, 441201 moves, e=0.563, loss: 23626419.5, -, 19.1% elo% vs. random_no_suicide, avg. reward: 1464.443, 2.275 sec/game, 15.8 min. total, 569.4 MB
zoology_jogging v7 526 games, 442215 moves, e=0.562, loss: 25479632.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: 1468.221, 2.276 sec/game, 15.8 min. total, 569.7 MB
zoology_jogging v7 527 games, 443130 moves, e=0.561, loss: 25400444.5, -, 18.0% elo% vs. random_no_suicide, avg. reward: 1450.372, 2.264 sec/game, 15.9 min. total, 569.8 MB
zoology_jogging v7 528 games, 444166 moves, e=0.560, loss: 25522032.1, -, 17.5% elo% vs. random_no_suicide, avg. reward: 1444.589, 2.285 sec/game, 15.9 min. total, 570.0 MB
zoology_jogging v7 529 games, 445248 moves, e=0.559, loss: 25016290.2, -, 17.1% elo% vs. random_no_suicide, avg. reward: 1449.930, 2.288 sec/game, 16.0 min. total, 569.8 MB
zoology_jogging v7 530 games, 446183 moves, e=0.558, loss: 23471809.3, -, 16.6% elo% vs. random_no_suicide, avg. reward: 1447.845, 2.272 sec/game, 16.0 min. total, 570.0 MB
zoology_jogging v7 531 games, 447215 moves, e=0.557, loss: 23143685.1, -, 16.2% elo% vs. random_no_suicide, avg. reward: 1437.848, 2.274 sec/game, 16.0 min. total, 571.4 MB
zoology_jogging v7 532 games, 448198 moves, e=0.556, loss: 21823210.4, -, 15.8% elo% vs. random_no_suicide, avg. reward: 1416.820, 2.273 sec/game, 16.1 min. total, 573.1 MB
zoology_jogging v7 533 games, 449247 moves, e=0.555, loss: 21680274.0, -, 15.4% elo% vs. random_no_suicide, avg. reward: 1419.786, 2.276 sec/game, 16.1 min. total, 573.2 MB
zoology_jogging v7 534 games, 450381 moves, e=0.554, loss: 21049986.6, -, 15.1% elo% vs. random_no_suicide, avg. reward: 1418.220, 2.288 sec/game, 16.1 min. total, 573.5 MB
zoology_jogging v7 535 games, 451456 moves, e=0.553, loss: 19952333.6, -, 14.7% elo% vs. random_no_suicide, avg. reward: 1431.509, 2.304 sec/game, 16.2 min. total, 573.8 MB
zoology_jogging v7 536 games, 452450 moves, e=0.552, loss: 19712362.2, -, 14.4% elo% vs. random_no_suicide, avg. reward: 1449.836, 2.295 sec/game, 16.2 min. total, 574.1 MB
zoology_jogging v7 537 games, 453393 moves, e=0.551, loss: 19855117.6, -, 14.0% elo% vs. random_no_suicide, avg. reward: 1457.041, 2.291 sec/game, 16.3 min. total, 574.2 MB
zoology_jogging v7 538 games, 454284 moves, e=0.550, loss: 20893093.3, -, 13.7% elo% vs. random_no_suicide, avg. reward: 1438.562, 2.295 sec/game, 16.3 min. total, 573.8 MB
zoology_jogging v7 539 games, 455158 moves, e=0.549, loss: 20101218.4, -, 13.4% elo% vs. random_no_suicide, avg. reward: 1436.460, 2.273 sec/game, 16.3 min. total, 574.4 MB
zoology_jogging v7 540 games, 456115 moves, e=0.548, loss: 20288160.4, -, 13.1% elo% vs. random_no_suicide, avg. reward: 1425.178, 2.288 sec/game, 16.4 min. total, 574.4 MB
zoology_jogging v7 541 games, 457142 moves, e=0.547, loss: 20671540.5, -, 12.9% elo% vs. random_no_suicide, avg. reward: 1441.021, 2.285 sec/game, 16.4 min. total, 575.7 MB
zoology_jogging v7 542 games, 458081 moves, e=0.546, loss: 20250690.9, -, 12.6% elo% vs. random_no_suicide, avg. reward: 1453.049, 2.272 sec/game, 16.4 min. total, 576.0 MB
zoology_jogging v7 543 games, 459071 moves, e=0.546, loss: 21042651.4, -, 12.4% elo% vs. random_no_suicide, avg. reward: 1458.216, 2.271 sec/game, 16.5 min. total, 576.5 MB
zoology_jogging v7 544 games, 460018 moves, e=0.545, loss: 21506126.5, -, 12.1% elo% vs. random_no_suicide, avg. reward: 1449.833, 2.255 sec/game, 16.5 min. total, 576.5 MB
zoology_jogging v7 545 games, 460987 moves, e=0.544, loss: 21324193.6, -, 11.9% elo% vs. random_no_suicide, avg. reward: 1442.682, 2.266 sec/game, 16.6 min. total, 576.5 MB
zoology_jogging v7 546 games, 461924 moves, e=0.543, loss: 20907319.9, -, 11.7% elo% vs. random_no_suicide, avg. reward: 1443.305, 2.255 sec/game, 16.6 min. total, 576.5 MB
zoology_jogging v7 547 games, 462989 moves, e=0.542, loss: 20109276.4, -, 11.4% elo% vs. random_no_suicide, avg. reward: 1463.691, 2.280 sec/game, 16.6 min. total, 576.6 MB
zoology_jogging v7 548 games, 463915 moves, e=0.541, loss: 18932650.8, -, 11.2% elo% vs. random_no_suicide, avg. reward: 1444.992, 2.265 sec/game, 16.7 min. total, 576.8 MB
zoology_jogging v7 549 games, 464808 moves, e=0.540, loss: 19355032.0, -, 11.0% elo% vs. random_no_suicide, avg. reward: 1435.091, 2.258 sec/game, 16.7 min. total, 576.5 MB
zoology_jogging v7 550 games, 466059 moves, e=0.539, loss: 19599844.4, -, 10.8% elo% vs. random_no_suicide, avg. reward: 1454.777, 2.302 sec/game, 16.8 min. total, 578.9 MB
zoology_jogging v7 551 games, 467080 moves, e=0.538, loss: 20127133.0, -, 10.6% elo% vs. random_no_suicide, avg. reward: 1458.856, 2.306 sec/game, 16.8 min. total, 580.4 MB
zoology_jogging v7 552 games, 468041 moves, e=0.537, loss: 19979044.4, -, 10.4% elo% vs. random_no_suicide, avg. reward: 1453.749, 2.309 sec/game, 16.8 min. total, 580.2 MB
zoology_jogging v7 553 games, 469254 moves, e=0.535, loss: 18643766.4, -, 10.3% elo% vs. random_no_suicide, avg. reward: 1454.949, 2.328 sec/game, 16.9 min. total, 580.7 MB
zoology_jogging v7 554 games, 470276 moves, e=0.534, loss: 19495133.7, -, 10.1% elo% vs. random_no_suicide, avg. reward: 1461.050, 2.321 sec/game, 16.9 min. total, 580.7 MB
zoology_jogging v7 555 games, 471314 moves, e=0.533, loss: 19525383.4, -, 9.9% elo% vs. random_no_suicide, avg. reward: 1459.916, 2.315 sec/game, 17.0 min. total, 580.2 MB
zoology_jogging v7 556 games, 472526 moves, e=0.532, loss: 20283839.7, -, 9.8% elo% vs. random_no_suicide, avg. reward: 1460.975, 2.347 sec/game, 17.0 min. total, 580.9 MB
zoology_jogging v7 557 games, 473514 moves, e=0.531, loss: 19780939.7, -, 9.6% elo% vs. random_no_suicide, avg. reward: 1468.212, 2.340 sec/game, 17.0 min. total, 581.3 MB
zoology_jogging v7 558 games, 474627 moves, e=0.530, loss: 20119710.0, -, 9.5% elo% vs. random_no_suicide, avg. reward: 1479.675, 2.368 sec/game, 17.1 min. total, 581.2 MB
zoology_jogging v7 559 games, 475669 moves, e=0.529, loss: 20186185.9, -, 9.3% elo% vs. random_no_suicide, avg. reward: 1483.063, 2.395 sec/game, 17.1 min. total, 581.7 MB
zoology_jogging v7 560 games, 476607 moves, e=0.528, loss: 19306775.6, -, 9.2% elo% vs. random_no_suicide, avg. reward: 1502.170, 2.386 sec/game, 17.2 min. total, 582.9 MB
zoology_jogging v7 561 games, 477630 moves, e=0.527, loss: 20074530.5, -, 9.0% elo% vs. random_no_suicide, avg. reward: 1500.213, 2.396 sec/game, 17.2 min. total, 582.9 MB
zoology_jogging v7 562 games, 478630 moves, e=0.526, loss: 19608807.3, -, 8.9% elo% vs. random_no_suicide, avg. reward: 1492.039, 2.400 sec/game, 17.2 min. total, 583.1 MB
zoology_jogging v7 563 games, 479586 moves, e=0.525, loss: 18843110.6, -, 8.8% elo% vs. random_no_suicide, avg. reward: 1537.582, 2.393 sec/game, 17.3 min. total, 583.3 MB
zoology_jogging v7 564 games, 480658 moves, e=0.524, loss: 21255832.7, -, 8.6% elo% vs. random_no_suicide, avg. reward: 1535.386, 2.419 sec/game, 17.3 min. total, 583.5 MB
zoology_jogging v7 565 games, 481726 moves, e=0.523, loss: 22050444.2, -, 8.5% elo% vs. random_no_suicide, avg. reward: 1518.737, 2.426 sec/game, 17.4 min. total, 583.6 MB
zoology_jogging v7 566 games, 482722 moves, e=0.522, loss: 22312904.0, -, 8.4% elo% vs. random_no_suicide, avg. reward: 1508.084, 2.443 sec/game, 17.4 min. total, 583.4 MB
zoology_jogging v7 567 games, 483683 moves, e=0.521, loss: 21960095.4, -, 8.3% elo% vs. random_no_suicide, avg. reward: 1504.175, 2.418 sec/game, 17.4 min. total, 583.7 MB
zoology_jogging v7 568 games, 484652 moves, e=0.520, loss: 21864274.2, -, 8.1% elo% vs. random_no_suicide, avg. reward: 1495.864, 2.423 sec/game, 17.5 min. total, 584.2 MB
zoology_jogging v7 569 games, 485677 moves, e=0.519, loss: 22200212.6, -, 8.0% elo% vs. random_no_suicide, avg. reward: 1496.211, 2.429 sec/game, 17.5 min. total, 586.2 MB
zoology_jogging v7 570 games, 486608 moves, e=0.518, loss: 21054172.3, -, 7.9% elo% vs. random_no_suicide, avg. reward: 1496.670, 2.391 sec/game, 17.6 min. total, 585.5 MB
zoology_jogging v7 571 games, 487617 moves, e=0.517, loss: 20484236.0, -, 7.8% elo% vs. random_no_suicide, avg. reward: 1484.939, 2.388 sec/game, 17.6 min. total, 585.9 MB
zoology_jogging v7 572 games, 488764 moves, e=0.516, loss: 21048634.6, -, 7.7% elo% vs. random_no_suicide, avg. reward: 1476.289, 2.399 sec/game, 17.6 min. total, 586.0 MB
