corny_hush v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.8 MB
corny_hush v3 100 games, 72531 moves, e=0.928, loss: 4.7, -, 9.9% elo% vs. random_no_suicide, avg. reward: -8.401, 1.490 sec/game, 2.2 min. total, 479.3 MB
corny_hush v4 101 games, 73223 moves, e=0.928, loss: 4.4, -, 47.7% elo% vs. random_no_suicide, avg. reward: -8.393, 1.502 sec/game, 2.2 min. total, 479.0 MB
corny_hush v4 102 games, 73923 moves, e=0.927, loss: 4.4, -, 45.5% elo% vs. random_no_suicide, avg. reward: -8.397, 1.506 sec/game, 2.2 min. total, 479.4 MB
corny_hush v4 103 games, 74727 moves, e=0.926, loss: 4.4, ., 45.7% elo% vs. random_no_suicide, avg. reward: -8.390, 1.520 sec/game, 2.2 min. total, 479.5 MB
corny_hush v4 104 games, 75449 moves, e=0.925, loss: 4.4, -, 43.6% elo% vs. random_no_suicide, avg. reward: -8.392, 1.522 sec/game, 2.3 min. total, 479.6 MB
corny_hush v4 105 games, 76241 moves, e=0.925, loss: 4.3, -, 41.7% elo% vs. random_no_suicide, avg. reward: -8.379, 1.538 sec/game, 2.3 min. total, 480.7 MB
corny_hush v4 106 games, 76982 moves, e=0.924, loss: 4.2, -, 39.8% elo% vs. random_no_suicide, avg. reward: -8.382, 1.540 sec/game, 2.3 min. total, 482.2 MB
corny_hush v4 107 games, 77905 moves, e=0.923, loss: 4.3, -, 38.1% elo% vs. random_no_suicide, avg. reward: -8.367, 1.561 sec/game, 2.3 min. total, 482.3 MB
corny_hush v4 108 games, 78712 moves, e=0.922, loss: 4.3, -, 36.4% elo% vs. random_no_suicide, avg. reward: -8.360, 1.576 sec/game, 2.4 min. total, 482.3 MB
corny_hush v4 109 games, 79559 moves, e=0.921, loss: 4.0, -, 34.9% elo% vs. random_no_suicide, avg. reward: -8.339, 1.588 sec/game, 2.4 min. total, 482.2 MB
corny_hush v4 110 games, 80307 moves, e=0.920, loss: 3.6, -, 33.4% elo% vs. random_no_suicide, avg. reward: -8.332, 1.589 sec/game, 2.4 min. total, 482.1 MB
corny_hush v4 111 games, 80926 moves, e=0.920, loss: 3.9, -, 32.1% elo% vs. random_no_suicide, avg. reward: -8.349, 1.577 sec/game, 2.4 min. total, 482.6 MB
corny_hush v4 112 games, 81733 moves, e=0.919, loss: 4.5, -, 30.8% elo% vs. random_no_suicide, avg. reward: -8.334, 1.579 sec/game, 2.5 min. total, 482.8 MB
corny_hush v4 113 games, 82596 moves, e=0.918, loss: 4.2, -, 29.6% elo% vs. random_no_suicide, avg. reward: -8.332, 1.599 sec/game, 2.5 min. total, 482.9 MB
corny_hush v4 114 games, 83310 moves, e=0.918, loss: 4.1, -, 28.5% elo% vs. random_no_suicide, avg. reward: -8.343, 1.585 sec/game, 2.5 min. total, 483.0 MB
corny_hush v4 115 games, 84266 moves, e=0.917, loss: 3.9, -, 27.4% elo% vs. random_no_suicide, avg. reward: -8.303, 1.621 sec/game, 2.6 min. total, 482.9 MB
corny_hush v4 116 games, 85094 moves, e=0.916, loss: 4.3, -, 26.4% elo% vs. random_no_suicide, avg. reward: -8.294, 1.624 sec/game, 2.6 min. total, 481.6 MB
corny_hush v4 117 games, 85899 moves, e=0.915, loss: 4.2, -, 25.5% elo% vs. random_no_suicide, avg. reward: -8.285, 1.639 sec/game, 2.6 min. total, 484.3 MB
corny_hush v4 118 games, 86759 moves, e=0.914, loss: 4.1, -, 24.6% elo% vs. random_no_suicide, avg. reward: -8.272, 1.641 sec/game, 2.6 min. total, 484.3 MB
corny_hush v4 119 games, 87669 moves, e=0.913, loss: 4.2, -, 23.8% elo% vs. random_no_suicide, avg. reward: -8.257, 1.666 sec/game, 2.7 min. total, 484.4 MB
corny_hush v4 120 games, 88431 moves, e=0.912, loss: 4.2, -, 23.0% elo% vs. random_no_suicide, avg. reward: -8.235, 1.668 sec/game, 2.7 min. total, 484.4 MB
corny_hush v4 121 games, 89068 moves, e=0.912, loss: 4.4, -, 22.3% elo% vs. random_no_suicide, avg. reward: -8.248, 1.658 sec/game, 2.7 min. total, 484.6 MB
corny_hush v4 122 games, 89836 moves, e=0.911, loss: 4.4, -, 21.6% elo% vs. random_no_suicide, avg. reward: -8.220, 1.670 sec/game, 2.8 min. total, 484.6 MB
corny_hush v4 123 games, 90471 moves, e=0.910, loss: 4.4, -, 20.9% elo% vs. random_no_suicide, avg. reward: -8.215, 1.656 sec/game, 2.8 min. total, 484.9 MB
corny_hush v4 124 games, 91193 moves, e=0.910, loss: 4.3, -, 20.3% elo% vs. random_no_suicide, avg. reward: -8.215, 1.657 sec/game, 2.8 min. total, 485.8 MB
corny_hush v4 125 games, 91973 moves, e=0.909, loss: 4.0, -, 19.7% elo% vs. random_no_suicide, avg. reward: -8.202, 1.657 sec/game, 2.8 min. total, 487.9 MB
corny_hush v4 126 games, 92718 moves, e=0.908, loss: 4.3, -, 19.1% elo% vs. random_no_suicide, avg. reward: -8.198, 1.662 sec/game, 2.9 min. total, 488.2 MB
corny_hush v4 127 games, 93529 moves, e=0.907, loss: 4.2, -, 18.6% elo% vs. random_no_suicide, avg. reward: -8.195, 1.662 sec/game, 2.9 min. total, 489.3 MB
corny_hush v4 128 games, 94290 moves, e=0.907, loss: 4.4, -, 18.1% elo% vs. random_no_suicide, avg. reward: -8.188, 1.666 sec/game, 2.9 min. total, 489.2 MB
corny_hush v4 129 games, 95002 moves, e=0.906, loss: 4.5, -, 17.6% elo% vs. random_no_suicide, avg. reward: -8.184, 1.663 sec/game, 3.0 min. total, 489.3 MB
corny_hush v4 130 games, 95837 moves, e=0.905, loss: 4.6, -, 17.1% elo% vs. random_no_suicide, avg. reward: -8.170, 1.675 sec/game, 3.0 min. total, 489.5 MB
corny_hush v4 131 games, 96612 moves, e=0.904, loss: 4.7, -, 16.7% elo% vs. random_no_suicide, avg. reward: -8.166, 1.697 sec/game, 3.0 min. total, 489.6 MB
corny_hush v4 132 games, 97371 moves, e=0.904, loss: 4.8, -, 16.2% elo% vs. random_no_suicide, avg. reward: -8.157, 1.705 sec/game, 3.0 min. total, 489.3 MB
corny_hush v4 133 games, 98153 moves, e=0.903, loss: 4.6, -, 15.8% elo% vs. random_no_suicide, avg. reward: -8.159, 1.698 sec/game, 3.1 min. total, 489.6 MB
corny_hush v4 134 games, 98923 moves, e=0.902, loss: 4.6, -, 15.5% elo% vs. random_no_suicide, avg. reward: -8.154, 1.722 sec/game, 3.1 min. total, 489.6 MB
corny_hush v4 135 games, 99702 moves, e=0.901, loss: 4.7, -, 15.1% elo% vs. random_no_suicide, avg. reward: -8.143, 1.702 sec/game, 3.1 min. total, 490.0 MB
corny_hush v4 136 games, 100419 moves, e=0.901, loss: 4.9, -, 14.7% elo% vs. random_no_suicide, avg. reward: -8.149, 1.703 sec/game, 3.2 min. total, 490.8 MB
