suffix_guts v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.7 MB
suffix_guts v4 116 games, 84888 moves, e=0.916, loss: 33621.0, -, 25.4% elo% vs. random_no_suicide, avg. reward: 24.668, 1.733 sec/game, 2.9 min. total, 516.5 MB
suffix_guts v4 117 games, 85646 moves, e=0.915, loss: 33492.4, -, 24.5% elo% vs. random_no_suicide, avg. reward: 24.674, 1.733 sec/game, 2.9 min. total, 517.0 MB
suffix_guts v4 118 games, 86454 moves, e=0.914, loss: 28685.5, -, 23.7% elo% vs. random_no_suicide, avg. reward: 25.183, 1.734 sec/game, 2.9 min. total, 517.2 MB
suffix_guts v4 119 games, 87282 moves, e=0.914, loss: 35181.0, -, 22.9% elo% vs. random_no_suicide, avg. reward: 25.349, 1.759 sec/game, 3.0 min. total, 517.7 MB
suffix_guts v4 120 games, 87984 moves, e=0.913, loss: 41326.4, -, 22.2% elo% vs. random_no_suicide, avg. reward: 25.349, 1.762 sec/game, 3.0 min. total, 518.5 MB
suffix_guts v4 121 games, 88679 moves, e=0.912, loss: 43106.4, -, 21.5% elo% vs. random_no_suicide, avg. reward: 25.201, 1.767 sec/game, 3.0 min. total, 519.7 MB
suffix_guts v4 122 games, 89376 moves, e=0.912, loss: 38429.3, -, 20.8% elo% vs. random_no_suicide, avg. reward: 25.630, 1.749 sec/game, 3.0 min. total, 518.6 MB
suffix_guts v4 123 games, 90138 moves, e=0.911, loss: 40218.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: 25.726, 1.754 sec/game, 3.1 min. total, 518.7 MB
suffix_guts v4 124 games, 91005 moves, e=0.910, loss: 42277.3, -, 19.6% elo% vs. random_no_suicide, avg. reward: 25.226, 1.757 sec/game, 3.1 min. total, 519.9 MB
suffix_guts v4 125 games, 91723 moves, e=0.909, loss: 43681.4, -, 19.1% elo% vs. random_no_suicide, avg. reward: 25.666, 1.758 sec/game, 3.1 min. total, 519.9 MB
suffix_guts v4 126 games, 92464 moves, e=0.908, loss: 40878.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: 25.158, 1.767 sec/game, 3.2 min. total, 519.5 MB
suffix_guts v4 127 games, 93299 moves, e=0.908, loss: 42282.1, -, 18.0% elo% vs. random_no_suicide, avg. reward: 24.919, 1.787 sec/game, 3.2 min. total, 519.7 MB
suffix_guts v4 128 games, 94125 moves, e=0.907, loss: 38976.3, -, 17.5% elo% vs. random_no_suicide, avg. reward: 24.735, 1.805 sec/game, 3.2 min. total, 519.7 MB
suffix_guts v4 129 games, 94912 moves, e=0.906, loss: 41962.6, -, 17.1% elo% vs. random_no_suicide, avg. reward: 24.869, 1.819 sec/game, 3.3 min. total, 522.0 MB
suffix_guts v4 130 games, 95743 moves, e=0.905, loss: 39500.1, -, 16.6% elo% vs. random_no_suicide, avg. reward: 24.878, 1.806 sec/game, 3.3 min. total, 521.4 MB
suffix_guts v4 131 games, 96490 moves, e=0.904, loss: 38451.2, -, 16.2% elo% vs. random_no_suicide, avg. reward: 24.906, 1.807 sec/game, 3.3 min. total, 521.4 MB
suffix_guts v4 132 games, 97261 moves, e=0.904, loss: 38631.9, -, 15.8% elo% vs. random_no_suicide, avg. reward: 24.901, 1.821 sec/game, 3.4 min. total, 521.4 MB
suffix_guts v4 133 games, 97994 moves, e=0.903, loss: 38654.8, -, 15.4% elo% vs. random_no_suicide, avg. reward: 25.751, 1.807 sec/game, 3.4 min. total, 520.1 MB
