subarctic_cranberry v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.5 MB
subarctic_cranberry v3 114 games, 82339 moves, e=0.918, loss: 5.1, +, 35.5% elo% vs. v1, avg. reward: -9.750, 1.574 sec/game, 2.6 min. total, 439.4 MB
subarctic_cranberry v3 115 games, 83083 moves, e=0.918, loss: 4.9, -, 34.0% elo% vs. v1, avg. reward: -9.728, 1.593 sec/game, 2.6 min. total, 440.5 MB
subarctic_cranberry v3 116 games, 83827 moves, e=0.917, loss: 4.8, -, 32.6% elo% vs. v1, avg. reward: -9.708, 1.591 sec/game, 2.6 min. total, 440.1 MB
subarctic_cranberry v3 117 games, 84586 moves, e=0.916, loss: 4.7, -, 31.3% elo% vs. v1, avg. reward: -9.714, 1.578 sec/game, 2.7 min. total, 440.3 MB
subarctic_cranberry v3 118 games, 85259 moves, e=0.916, loss: 4.7, -, 30.1% elo% vs. v1, avg. reward: -9.720, 1.579 sec/game, 2.7 min. total, 440.6 MB
subarctic_cranberry v3 119 games, 86077 moves, e=0.915, loss: 4.7, +, 32.9% elo% vs. v1, avg. reward: -9.700, 1.595 sec/game, 2.7 min. total, 440.5 MB
subarctic_cranberry v3 120 games, 86799 moves, e=0.914, loss: 4.6, +, 35.7% elo% vs. v1, avg. reward: -9.694, 1.612 sec/game, 2.7 min. total, 441.0 MB
subarctic_cranberry v3 121 games, 87499 moves, e=0.913, loss: 4.8, +, 38.4% elo% vs. v1, avg. reward: -9.690, 1.610 sec/game, 2.8 min. total, 441.1 MB
subarctic_cranberry v3 122 games, 88159 moves, e=0.913, loss: 4.8, ., 38.9% elo% vs. v1, avg. reward: -9.694, 1.598 sec/game, 2.8 min. total, 440.4 MB
subarctic_cranberry v3 123 games, 88774 moves, e=0.912, loss: 4.9, -, 37.2% elo% vs. v1, avg. reward: -9.709, 1.589 sec/game, 2.8 min. total, 442.4 MB
subarctic_cranberry v3 124 games, 89528 moves, e=0.911, loss: 4.9, ., 37.8% elo% vs. v1, avg. reward: -9.700, 1.589 sec/game, 2.8 min. total, 444.2 MB
subarctic_cranberry v3 125 games, 90283 moves, e=0.911, loss: 5.0, +, 40.5% elo% vs. v1, avg. reward: -9.700, 1.589 sec/game, 2.9 min. total, 443.8 MB
subarctic_cranberry v3 126 games, 90962 moves, e=0.910, loss: 5.1, +, 43.2% elo% vs. v1, avg. reward: -9.704, 1.570 sec/game, 2.9 min. total, 444.2 MB
subarctic_cranberry v3 127 games, 91667 moves, e=0.909, loss: 5.1, +, 45.8% elo% vs. v1, avg. reward: -9.677, 1.568 sec/game, 2.9 min. total, 444.2 MB
subarctic_cranberry v3 128 games, 92363 moves, e=0.909, loss: 5.3, +, 48.3% elo% vs. v1, avg. reward: -9.684, 1.560 sec/game, 2.9 min. total, 444.4 MB
subarctic_cranberry v3 129 games, 93058 moves, e=0.908, loss: 5.0, -, 46.0% elo% vs. v1, avg. reward: -9.699, 1.558 sec/game, 3.0 min. total, 444.3 MB
subarctic_cranberry v3 130 games, 93775 moves, e=0.907, loss: 5.2, -, 43.9% elo% vs. v1, avg. reward: -9.696, 1.561 sec/game, 3.0 min. total, 444.1 MB
subarctic_cranberry v3 131 games, 94444 moves, e=0.907, loss: 5.4, -, 42.0% elo% vs. v1, avg. reward: -9.679, 1.549 sec/game, 3.0 min. total, 444.5 MB
subarctic_cranberry v3 132 games, 95214 moves, e=0.906, loss: 5.4, -, 40.1% elo% vs. v1, avg. reward: -9.683, 1.539 sec/game, 3.0 min. total, 445.5 MB
subarctic_cranberry v3 133 games, 95864 moves, e=0.905, loss: 5.4, -, 38.3% elo% vs. v1, avg. reward: -9.703, 1.538 sec/game, 3.1 min. total, 447.0 MB
subarctic_cranberry v3 134 games, 96589 moves, e=0.904, loss: 5.5, -, 36.7% elo% vs. v1, avg. reward: -9.710, 1.539 sec/game, 3.1 min. total, 449.1 MB
subarctic_cranberry v3 135 games, 97360 moves, e=0.904, loss: 5.6, +, 39.4% elo% vs. v1, avg. reward: -9.709, 1.536 sec/game, 3.1 min. total, 447.2 MB
subarctic_cranberry v3 136 games, 98217 moves, e=0.903, loss: 5.6, -, 37.7% elo% vs. v1, avg. reward: -9.681, 1.562 sec/game, 3.2 min. total, 447.4 MB
subarctic_cranberry v3 137 games, 99003 moves, e=0.902, loss: 5.6, -, 36.1% elo% vs. v1, avg. reward: -9.650, 1.567 sec/game, 3.2 min. total, 447.4 MB
subarctic_cranberry v3 138 games, 99799 moves, e=0.901, loss: 5.8, -, 34.6% elo% vs. v1, avg. reward: -9.642, 1.569 sec/game, 3.2 min. total, 447.5 MB
subarctic_cranberry v3 139 games, 100579 moves, e=0.900, loss: 5.5, -, 33.1% elo% vs. v1, avg. reward: -9.621, 1.568 sec/game, 3.2 min. total, 447.6 MB
subarctic_cranberry v3 140 games, 101296 moves, e=0.900, loss: 5.4, +, 35.9% elo% vs. v1, avg. reward: -9.628, 1.564 sec/game, 3.3 min. total, 447.5 MB
subarctic_cranberry v3 141 games, 102213 moves, e=0.899, loss: 4.9, -, 34.4% elo% vs. v1, avg. reward: -9.603, 1.591 sec/game, 3.3 min. total, 447.4 MB
subarctic_cranberry v3 142 games, 103008 moves, e=0.898, loss: 5.0, -, 33.0% elo% vs. v1, avg. reward: -9.587, 1.608 sec/game, 3.3 min. total, 449.3 MB
subarctic_cranberry v3 143 games, 103705 moves, e=0.897, loss: 5.1, -, 31.7% elo% vs. v1, avg. reward: -9.600, 1.622 sec/game, 3.4 min. total, 449.0 MB
subarctic_cranberry v3 144 games, 104476 moves, e=0.897, loss: 5.1, -, 30.4% elo% vs. v1, avg. reward: -9.586, 1.625 sec/game, 3.4 min. total, 448.4 MB
subarctic_cranberry v3 145 games, 105235 moves, e=0.896, loss: 5.1, ., 31.2% elo% vs. v1, avg. reward: -9.577, 1.632 sec/game, 3.4 min. total, 448.8 MB
subarctic_cranberry v3 146 games, 105975 moves, e=0.895, loss: 4.9, -, 30.0% elo% vs. v1, avg. reward: -9.579, 1.633 sec/game, 3.4 min. total, 448.7 MB
subarctic_cranberry v3 147 games, 106763 moves, e=0.894, loss: 5.2, -, 28.8% elo% vs. v1, avg. reward: -9.567, 1.648 sec/game, 3.5 min. total, 449.0 MB
subarctic_cranberry v3 148 games, 107431 moves, e=0.894, loss: 5.7, +, 31.6% elo% vs. v1, avg. reward: -9.581, 1.642 sec/game, 3.5 min. total, 449.1 MB
subarctic_cranberry v3 149 games, 108288 moves, e=0.893, loss: 5.8, -, 30.3% elo% vs. v1, avg. reward: -9.559, 1.659 sec/game, 3.5 min. total, 449.2 MB
