sanding_take v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
sanding_take v4 102 games, 74552 moves, e=0.926, loss: 2179.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: 26.281, 1.545 sec/game, 2.3 min. total, 448.6 MB
sanding_take v4 103 games, 75334 moves, e=0.925, loss: 2271.8, +, 48.0% elo% vs. random_no_suicide, avg. reward: 26.274, 1.551 sec/game, 2.3 min. total, 449.2 MB
sanding_take v4 104 games, 76158 moves, e=0.925, loss: 2276.8, -, 45.8% elo% vs. random_no_suicide, avg. reward: 26.258, 1.564 sec/game, 2.3 min. total, 450.5 MB
sanding_take v4 105 games, 76864 moves, e=0.924, loss: 2226.6, -, 43.7% elo% vs. random_no_suicide, avg. reward: 26.253, 1.576 sec/game, 2.4 min. total, 452.0 MB
sanding_take v4 106 games, 77716 moves, e=0.923, loss: 2334.2, -, 41.8% elo% vs. random_no_suicide, avg. reward: 26.243, 1.617 sec/game, 2.4 min. total, 452.1 MB
sanding_take v4 107 games, 78508 moves, e=0.922, loss: 2406.6, -, 39.9% elo% vs. random_no_suicide, avg. reward: 26.251, 1.638 sec/game, 2.4 min. total, 452.0 MB
sanding_take v4 108 games, 79290 moves, e=0.922, loss: 2258.3, -, 38.1% elo% vs. random_no_suicide, avg. reward: 26.275, 1.616 sec/game, 2.5 min. total, 452.1 MB
sanding_take v4 109 games, 80001 moves, e=0.921, loss: 2282.7, -, 36.5% elo% vs. random_no_suicide, avg. reward: 26.265, 1.616 sec/game, 2.5 min. total, 451.7 MB
sanding_take v4 110 games, 80859 moves, e=0.920, loss: 2246.1, -, 35.0% elo% vs. random_no_suicide, avg. reward: 26.249, 1.631 sec/game, 2.5 min. total, 451.8 MB
sanding_take v4 111 games, 81753 moves, e=0.919, loss: 2256.1, -, 33.5% elo% vs. random_no_suicide, avg. reward: 26.251, 1.643 sec/game, 2.5 min. total, 451.7 MB
sanding_take v4 112 games, 82534 moves, e=0.918, loss: 2122.5, -, 32.1% elo% vs. random_no_suicide, avg. reward: 26.258, 1.643 sec/game, 2.6 min. total, 452.8 MB
sanding_take v4 113 games, 83285 moves, e=0.918, loss: 2165.3, -, 30.9% elo% vs. random_no_suicide, avg. reward: 26.250, 1.650 sec/game, 2.6 min. total, 452.9 MB
sanding_take v4 114 games, 84053 moves, e=0.917, loss: 2182.9, -, 29.7% elo% vs. random_no_suicide, avg. reward: 26.233, 1.645 sec/game, 2.6 min. total, 453.2 MB
sanding_take v4 115 games, 84771 moves, e=0.916, loss: 1924.1, -, 28.5% elo% vs. random_no_suicide, avg. reward: 26.241, 1.659 sec/game, 2.6 min. total, 453.5 MB
sanding_take v4 116 games, 85520 moves, e=0.915, loss: 1977.7, -, 27.5% elo% vs. random_no_suicide, avg. reward: 26.230, 1.652 sec/game, 2.7 min. total, 452.6 MB
sanding_take v4 117 games, 86315 moves, e=0.915, loss: 2016.9, -, 26.5% elo% vs. random_no_suicide, avg. reward: 26.257, 1.663 sec/game, 2.7 min. total, 453.5 MB
sanding_take v4 118 games, 87045 moves, e=0.914, loss: 2283.5, -, 25.5% elo% vs. random_no_suicide, avg. reward: 26.256, 1.664 sec/game, 2.7 min. total, 453.4 MB
sanding_take v4 119 games, 87957 moves, e=0.913, loss: 2090.9, -, 24.7% elo% vs. random_no_suicide, avg. reward: 26.236, 1.678 sec/game, 2.8 min. total, 453.3 MB
sanding_take v4 120 games, 88719 moves, e=0.912, loss: 2254.4, -, 23.8% elo% vs. random_no_suicide, avg. reward: 26.241, 1.682 sec/game, 2.8 min. total, 453.5 MB
sanding_take v4 121 games, 89364 moves, e=0.912, loss: 2278.8, -, 23.0% elo% vs. random_no_suicide, avg. reward: 26.245, 1.641 sec/game, 2.8 min. total, 453.6 MB
sanding_take v4 122 games, 90154 moves, e=0.911, loss: 2174.3, -, 22.3% elo% vs. random_no_suicide, avg. reward: 26.260, 1.604 sec/game, 2.8 min. total, 453.8 MB
sanding_take v4 123 games, 90885 moves, e=0.910, loss: 2353.6, -, 21.6% elo% vs. random_no_suicide, avg. reward: 26.262, 1.602 sec/game, 2.9 min. total, 454.0 MB
sanding_take v4 124 games, 91612 moves, e=0.909, loss: 2424.2, -, 20.9% elo% vs. random_no_suicide, avg. reward: 26.268, 1.580 sec/game, 2.9 min. total, 454.1 MB
sanding_take v4 125 games, 92314 moves, e=0.909, loss: 2377.1, -, 20.3% elo% vs. random_no_suicide, avg. reward: 26.253, 1.574 sec/game, 2.9 min. total, 455.2 MB
