subfloor_cuddly v3 216 games, 110834 moves, e=0.890, loss: 8.6, +, 65.2% elo% vs. guard_bot, avg. reward: -9.922, 2.930 sec/game, 1.9 min. total, 761.0 MB
subfloor_cuddly v3 218 games, 111854 moves, e=0.889, loss: 8.2, +, 66.7% elo% vs. guard_bot, avg. reward: -9.897, 2.863 sec/game, 2.0 min. total, 761.9 MB
subfloor_cuddly v3 220 games, 112943 moves, e=0.888, loss: 8.1, +, 68.0% elo% vs. guard_bot, avg. reward: -9.845, 2.886 sec/game, 2.1 min. total, 761.5 MB
subfloor_cuddly v3 222 games, 113970 moves, e=0.887, loss: 7.7, +, 69.3% elo% vs. guard_bot, avg. reward: -9.845, 2.853 sec/game, 2.2 min. total, 762.1 MB
subfloor_cuddly v3 224 games, 115182 moves, e=0.886, loss: 7.5, +, 70.5% elo% vs. guard_bot, avg. reward: -9.826, 2.845 sec/game, 2.3 min. total, 762.9 MB
subfloor_cuddly v4 226 games, 116273 moves, e=0.885, loss: 7.2, -, 49.9% elo% vs. random_no_suicide, avg. reward: -9.810, 2.902 sec/game, 2.4 min. total, 764.3 MB
subfloor_cuddly v4 228 games, 117318 moves, e=0.884, loss: 7.1, -, 47.6% elo% vs. random_no_suicide, avg. reward: -9.838, 2.862 sec/game, 2.5 min. total, 764.6 MB
subfloor_cuddly v4 230 games, 118393 moves, e=0.883, loss: 7.1, -, 45.4% elo% vs. random_no_suicide, avg. reward: -9.831, 2.844 sec/game, 2.6 min. total, 766.1 MB
subfloor_cuddly v4 232 games, 119549 moves, e=0.882, loss: 6.9, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.802, 2.851 sec/game, 2.7 min. total, 765.8 MB
subfloor_cuddly v4 234 games, 120489 moves, e=0.881, loss: 6.5, -, 41.4% elo% vs. random_no_suicide, avg. reward: -9.806, 2.840 sec/game, 2.8 min. total, 766.2 MB
subfloor_cuddly v4 236 games, 121542 moves, e=0.880, loss: 6.5, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.815, 2.834 sec/game, 2.9 min. total, 766.4 MB
subfloor_cuddly v4 238 games, 122627 moves, e=0.879, loss: 6.4, -, 37.8% elo% vs. random_no_suicide, avg. reward: -9.810, 2.881 sec/game, 3.0 min. total, 766.8 MB
subfloor_cuddly v4 240 games, 123722 moves, e=0.878, loss: 6.0, -, 36.2% elo% vs. random_no_suicide, avg. reward: -9.842, 2.869 sec/game, 3.1 min. total, 767.4 MB
subfloor_cuddly v4 242 games, 124773 moves, e=0.876, loss: 6.0, -, 34.7% elo% vs. random_no_suicide, avg. reward: -9.855, 2.876 sec/game, 3.2 min. total, 767.4 MB
subfloor_cuddly v4 244 games, 125816 moves, e=0.875, loss: 5.9, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.851, 2.854 sec/game, 3.3 min. total, 769.7 MB
subfloor_cuddly v4 246 games, 126971 moves, e=0.874, loss: 5.9, -, 31.9% elo% vs. random_no_suicide, avg. reward: -9.839, 2.869 sec/game, 3.4 min. total, 770.7 MB
subfloor_cuddly v4 248 games, 128145 moves, e=0.873, loss: 5.7, -, 30.6% elo% vs. random_no_suicide, avg. reward: -9.795, 2.934 sec/game, 3.5 min. total, 770.3 MB
subfloor_cuddly v4 250 games, 129233 moves, e=0.872, loss: 5.5, -, 29.5% elo% vs. random_no_suicide, avg. reward: -9.777, 2.944 sec/game, 3.6 min. total, 770.8 MB
subfloor_cuddly v4 252 games, 130335 moves, e=0.871, loss: 5.5, +, 32.2% elo% vs. random_no_suicide, avg. reward: -9.765, 2.950 sec/game, 3.7 min. total, 770.6 MB
subfloor_cuddly v4 254 games, 131578 moves, e=0.870, loss: 5.5, -, 30.9% elo% vs. random_no_suicide, avg. reward: -9.705, 3.002 sec/game, 3.8 min. total, 770.6 MB
subfloor_cuddly v4 256 games, 132621 moves, e=0.869, loss: 5.4, -, 29.7% elo% vs. random_no_suicide, avg. reward: -9.673, 3.037 sec/game, 3.9 min. total, 770.9 MB
subfloor_cuddly v4 258 games, 133715 moves, e=0.868, loss: 5.4, -, 28.6% elo% vs. random_no_suicide, avg. reward: -9.682, 2.995 sec/game, 4.0 min. total, 772.1 MB
subfloor_cuddly v4 260 games, 134776 moves, e=0.867, loss: 5.2, -, 27.5% elo% vs. random_no_suicide, avg. reward: -9.660, 2.984 sec/game, 4.1 min. total, 772.1 MB
