remix_overdress v2 113 games, 81162 moves, e=0.920, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.998, 0.342 sec/game, 0.5 min. total, 604.6 MB
remix_overdress v2 114 games, 81862 moves, e=0.919, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.994, 0.339 sec/game, 0.5 min. total, 606.4 MB
remix_overdress v2 115 games, 82595 moves, e=0.918, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.991, 0.341 sec/game, 0.5 min. total, 608.4 MB
remix_overdress v2 116 games, 83371 moves, e=0.917, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.975, 0.342 sec/game, 0.5 min. total, 610.4 MB
remix_overdress v2 117 games, 84005 moves, e=0.917, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.987, 0.338 sec/game, 0.6 min. total, 612.1 MB
remix_overdress v2 118 games, 84649 moves, e=0.916, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.002, 0.340 sec/game, 0.6 min. total, 613.7 MB
remix_overdress v2 119 games, 85241 moves, e=0.916, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.000, 0.339 sec/game, 0.6 min. total, 615.5 MB
remix_overdress v2 120 games, 85997 moves, e=0.915, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.987, 0.342 sec/game, 0.6 min. total, 617.9 MB
remix_overdress v2 121 games, 86682 moves, e=0.914, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.981, 0.340 sec/game, 0.6 min. total, 621.0 MB
remix_overdress v2 122 games, 87429 moves, e=0.913, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.973, 0.340 sec/game, 0.6 min. total, 624.5 MB
remix_overdress v2 123 games, 88198 moves, e=0.913, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.962, 0.339 sec/game, 0.6 min. total, 628.7 MB
remix_overdress v2 124 games, 88938 moves, e=0.912, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.953, 0.338 sec/game, 0.6 min. total, 632.5 MB
remix_overdress v2 125 games, 89802 moves, e=0.911, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.937, 0.341 sec/game, 0.6 min. total, 636.6 MB
remix_overdress v2 126 games, 90476 moves, e=0.910, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.929, 0.336 sec/game, 0.6 min. total, 640.4 MB
remix_overdress v2 127 games, 91263 moves, e=0.910, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.915, 0.338 sec/game, 0.6 min. total, 643.6 MB
remix_overdress v2 128 games, 91901 moves, e=0.909, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.927, 0.342 sec/game, 0.6 min. total, 645.2 MB
remix_overdress v2 129 games, 92726 moves, e=0.908, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.921, 0.346 sec/game, 0.6 min. total, 646.3 MB
remix_overdress v2 130 games, 93399 moves, e=0.908, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.927, 0.348 sec/game, 0.6 min. total, 647.7 MB
remix_overdress v2 131 games, 94076 moves, e=0.907, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.938, 0.352 sec/game, 0.6 min. total, 649.4 MB
remix_overdress v2 132 games, 94840 moves, e=0.906, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.948, 0.352 sec/game, 0.6 min. total, 651.3 MB
remix_overdress v2 133 games, 95673 moves, e=0.905, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.936, 0.363 sec/game, 0.7 min. total, 653.3 MB
remix_overdress v2 134 games, 96451 moves, e=0.905, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.926, 0.368 sec/game, 0.7 min. total, 655.3 MB
remix_overdress v2 135 games, 97250 moves, e=0.904, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.917, 0.369 sec/game, 0.7 min. total, 657.4 MB
remix_overdress v2 136 games, 97973 moves, e=0.903, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.918, 0.368 sec/game, 0.7 min. total, 659.3 MB
remix_overdress v2 137 games, 98799 moves, e=0.902, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.892, 0.373 sec/game, 0.7 min. total, 661.5 MB
remix_overdress v2 138 games, 99455 moves, e=0.902, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.899, 0.375 sec/game, 0.7 min. total, 663.3 MB
remix_overdress v2 139 games, 100231 moves, e=0.901, loss: 71.1, ., 50.0% elo% vs. v0, avg. reward: -9.857, 0.494 sec/game, 0.7 min. total, 716.9 MB
remix_overdress v2 140 games, 100938 moves, e=0.900, loss: 53.9, ., 50.0% elo% vs. v0, avg. reward: -9.840, 0.702 sec/game, 0.8 min. total, 720.0 MB
remix_overdress v2 141 games, 101626 moves, e=0.899, loss: 35.7, +, 52.3% elo% vs. v0, avg. reward: -9.833, 0.920 sec/game, 0.9 min. total, 720.3 MB
remix_overdress v2 142 games, 102433 moves, e=0.899, loss: 19.6, +, 54.5% elo% vs. v0, avg. reward: -9.816, 1.218 sec/game, 1.0 min. total, 721.3 MB
remix_overdress v2 143 games, 103236 moves, e=0.898, loss: 11.8, +, 56.6% elo% vs. v0, avg. reward: -9.790, 1.489 sec/game, 1.1 min. total, 722.3 MB
remix_overdress v2 144 games, 104001 moves, e=0.897, loss: 7.6, +, 58.5% elo% vs. v0, avg. reward: -9.788, 1.745 sec/game, 1.2 min. total, 724.4 MB
remix_overdress v2 145 games, 104830 moves, e=0.896, loss: 5.4, +, 60.4% elo% vs. v0, avg. reward: -9.766, 1.993 sec/game, 1.3 min. total, 724.9 MB
remix_overdress v2 146 games, 105709 moves, e=0.895, loss: 4.3, +, 62.1% elo% vs. v0, avg. reward: -9.744, 2.296 sec/game, 1.4 min. total, 724.5 MB
remix_overdress v2 147 games, 106498 moves, e=0.895, loss: 3.7, +, 63.7% elo% vs. v0, avg. reward: -9.734, 2.592 sec/game, 1.5 min. total, 723.7 MB
remix_overdress v2 148 games, 107230 moves, e=0.894, loss: 3.4, +, 65.2% elo% vs. v0, avg. reward: -9.711, 2.800 sec/game, 1.6 min. total, 724.2 MB
remix_overdress v2 149 games, 108027 moves, e=0.893, loss: 3.4, +, 66.7% elo% vs. v0, avg. reward: -9.702, 3.048 sec/game, 1.6 min. total, 724.2 MB
remix_overdress v2 150 games, 108762 moves, e=0.892, loss: 3.3, +, 68.0% elo% vs. v0, avg. reward: -9.695, 3.299 sec/game, 1.7 min. total, 724.9 MB
remix_overdress v2 151 games, 109525 moves, e=0.892, loss: 3.2, +, 69.3% elo% vs. v0, avg. reward: -9.678, 3.562 sec/game, 1.8 min. total, 725.0 MB
remix_overdress v2 152 games, 110195 moves, e=0.891, loss: 3.2, +, 70.5% elo% vs. v0, avg. reward: -9.663, 3.768 sec/game, 1.9 min. total, 725.7 MB
remix_overdress v3 153 games, 110915 moves, e=0.890, loss: 3.3, +, 54.5% elo% vs. v2, avg. reward: -9.647, 4.007 sec/game, 2.0 min. total, 795.2 MB
remix_overdress v3 154 games, 111681 moves, e=0.889, loss: 3.3, +, 56.6% elo% vs. v2, avg. reward: -9.647, 4.298 sec/game, 2.1 min. total, 798.4 MB
remix_overdress v3 155 games, 112434 moves, e=0.889, loss: 3.2, +, 58.5% elo% vs. v2, avg. reward: -9.637, 4.572 sec/game, 2.2 min. total, 801.5 MB
remix_overdress v3 156 games, 113223 moves, e=0.888, loss: 3.2, +, 60.4% elo% vs. v2, avg. reward: -9.634, 4.830 sec/game, 2.3 min. total, 802.2 MB
remix_overdress v3 157 games, 113893 moves, e=0.887, loss: 3.2, +, 62.1% elo% vs. v2, avg. reward: -9.651, 5.044 sec/game, 2.4 min. total, 803.9 MB
remix_overdress v3 158 games, 114688 moves, e=0.886, loss: 3.1, +, 63.7% elo% vs. v2, avg. reward: -9.635, 5.340 sec/game, 2.5 min. total, 802.3 MB
remix_overdress v3 159 games, 115496 moves, e=0.886, loss: 3.0, +, 65.2% elo% vs. v2, avg. reward: -9.624, 5.473 sec/game, 2.6 min. total, 802.9 MB
remix_overdress v3 160 games, 116317 moves, e=0.885, loss: 3.0, +, 66.7% elo% vs. v2, avg. reward: -9.607, 5.516 sec/game, 2.6 min. total, 803.6 MB
remix_overdress v3 161 games, 117026 moves, e=0.884, loss: 2.9, +, 68.0% elo% vs. v2, avg. reward: -9.583, 5.547 sec/game, 2.7 min. total, 803.9 MB
