enrich_mushiness v2 118 games, 73399 moves, e=0.927, loss: nan, +, 48.8% elo% vs. v0, avg. reward: -10.483, 0.594 sec/game, 0.9 min. total, 686.1 MB
enrich_mushiness v2 120 games, 74397 moves, e=0.926, loss: nan, -, 46.6% elo% vs. v0, avg. reward: -10.504, 0.669 sec/game, 0.9 min. total, 694.4 MB
enrich_mushiness v2 121 games, 75112 moves, e=0.926, loss: nan, -, 44.5% elo% vs. v0, avg. reward: -10.501, 0.669 sec/game, 1.0 min. total, 698.6 MB
enrich_mushiness v2 123 games, 76106 moves, e=0.925, loss: nan, -, 42.5% elo% vs. v0, avg. reward: -10.518, 0.667 sec/game, 1.0 min. total, 702.4 MB
enrich_mushiness v2 124 games, 76816 moves, e=0.924, loss: nan, +, 45.1% elo% vs. v0, avg. reward: -10.482, 0.582 sec/game, 1.0 min. total, 704.7 MB
enrich_mushiness v2 126 games, 77919 moves, e=0.923, loss: nan, -, 43.0% elo% vs. v0, avg. reward: -10.462, 0.678 sec/game, 1.0 min. total, 709.1 MB
enrich_mushiness v2 128 games, 78920 moves, e=0.922, loss: nan, ., 43.3% elo% vs. v0, avg. reward: -10.470, 0.701 sec/game, 1.0 min. total, 713.0 MB
enrich_mushiness v2 129 games, 79627 moves, e=0.921, loss: nan, -, 41.4% elo% vs. v0, avg. reward: -10.473, 0.620 sec/game, 1.0 min. total, 715.9 MB
enrich_mushiness v2 130 games, 80302 moves, e=0.921, loss: nan, ., 41.8% elo% vs. v0, avg. reward: -10.484, 0.620 sec/game, 1.0 min. total, 718.6 MB
enrich_mushiness v2 131 games, 81112 moves, e=0.920, loss: nan, -, 39.9% elo% vs. v0, avg. reward: -10.460, 0.626 sec/game, 1.0 min. total, 721.8 MB
enrich_mushiness v2 132 games, 81798 moves, e=0.919, loss: nan, ., 40.4% elo% vs. v0, avg. reward: -10.447, 0.623 sec/game, 1.1 min. total, 724.6 MB
enrich_mushiness v2 133 games, 82534 moves, e=0.918, loss: nan, +, 43.0% elo% vs. v0, avg. reward: -10.444, 0.625 sec/game, 1.1 min. total, 727.8 MB
enrich_mushiness v2 135 games, 83425 moves, e=0.917, loss: nan, -, 41.1% elo% vs. v0, avg. reward: -10.454, 0.625 sec/game, 1.1 min. total, 731.4 MB
enrich_mushiness v2 136 games, 84170 moves, e=0.917, loss: nan, ., 41.5% elo% vs. v0, avg. reward: -10.439, 0.551 sec/game, 1.1 min. total, 735.0 MB
enrich_mushiness v2 138 games, 85095 moves, e=0.916, loss: nan, -, 39.6% elo% vs. v0, avg. reward: -10.470, 0.574 sec/game, 1.1 min. total, 740.5 MB
enrich_mushiness v2 139 games, 85919 moves, e=0.915, loss: nan, ., 40.1% elo% vs. v0, avg. reward: -10.450, 0.578 sec/game, 1.1 min. total, 746.1 MB
enrich_mushiness v2 140 games, 86719 moves, e=0.914, loss: nan, -, 38.3% elo% vs. v0, avg. reward: -10.437, 0.507 sec/game, 1.1 min. total, 751.3 MB
enrich_mushiness v2 141 games, 87422 moves, e=0.913, loss: nan, +, 41.1% elo% vs. v0, avg. reward: -10.443, 0.508 sec/game, 1.1 min. total, 755.5 MB
