facial_putdown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
facial_putdown v2 103 games, 74839 moves, e=0.926, loss: 218.1, -, 43.4% elo% vs. v0, avg. reward: 0.343, 1.830 sec/game, 2.5 min. total, 424.6 MB
facial_putdown v2 104 games, 75604 moves, e=0.925, loss: 219.5, ., 43.7% elo% vs. v0, avg. reward: 0.328, 1.845 sec/game, 2.6 min. total, 425.1 MB
facial_putdown v2 105 games, 76440 moves, e=0.924, loss: 226.1, +, 46.3% elo% vs. v0, avg. reward: 0.360, 1.877 sec/game, 2.6 min. total, 425.3 MB
facial_putdown v2 106 games, 77114 moves, e=0.924, loss: 229.3, +, 48.8% elo% vs. v0, avg. reward: 0.320, 1.884 sec/game, 2.6 min. total, 425.4 MB
facial_putdown v2 107 games, 77875 moves, e=0.923, loss: 235.6, +, 51.1% elo% vs. v0, avg. reward: 0.363, 1.888 sec/game, 2.7 min. total, 426.1 MB
facial_putdown v2 108 games, 78600 moves, e=0.922, loss: 231.6, +, 53.4% elo% vs. v0, avg. reward: 0.371, 1.889 sec/game, 2.7 min. total, 428.1 MB
facial_putdown v2 109 games, 79343 moves, e=0.921, loss: 231.5, +, 55.5% elo% vs. v0, avg. reward: 0.363, 1.836 sec/game, 2.7 min. total, 428.1 MB
facial_putdown v2 110 games, 80011 moves, e=0.921, loss: 227.7, -, 53.0% elo% vs. v0, avg. reward: 0.285, 1.839 sec/game, 2.7 min. total, 428.7 MB
facial_putdown v2 111 games, 80800 moves, e=0.920, loss: 234.4, +, 55.1% elo% vs. v0, avg. reward: 0.313, 1.819 sec/game, 2.8 min. total, 428.9 MB
facial_putdown v2 112 games, 81640 moves, e=0.919, loss: 225.9, +, 57.2% elo% vs. v0, avg. reward: 0.305, 1.801 sec/game, 2.8 min. total, 428.8 MB
facial_putdown v2 113 games, 82427 moves, e=0.918, loss: 228.5, +, 59.1% elo% vs. v0, avg. reward: 0.306, 1.784 sec/game, 2.8 min. total, 428.9 MB
facial_putdown v2 114 games, 83238 moves, e=0.918, loss: 236.1, +, 60.9% elo% vs. v0, avg. reward: 0.363, 1.789 sec/game, 2.9 min. total, 428.2 MB
facial_putdown v2 115 games, 84021 moves, e=0.917, loss: 234.7, -, 58.2% elo% vs. v0, avg. reward: 0.387, 1.786 sec/game, 2.9 min. total, 428.7 MB
facial_putdown v2 116 games, 84874 moves, e=0.916, loss: 231.4, +, 60.0% elo% vs. v0, avg. reward: 0.408, 1.800 sec/game, 2.9 min. total, 429.2 MB
facial_putdown v2 117 games, 85603 moves, e=0.915, loss: 232.9, ., 59.6% elo% vs. v0, avg. reward: 0.438, 1.785 sec/game, 3.0 min. total, 429.2 MB
facial_putdown v2 118 games, 86262 moves, e=0.915, loss: 238.7, -, 56.9% elo% vs. v0, avg. reward: 0.395, 1.748 sec/game, 3.0 min. total, 430.1 MB
facial_putdown v2 119 games, 86975 moves, e=0.914, loss: 241.1, +, 58.9% elo% vs. v0, avg. reward: 0.335, 1.744 sec/game, 3.0 min. total, 431.3 MB
facial_putdown v2 120 games, 87726 moves, e=0.913, loss: 249.1, +, 60.7% elo% vs. v0, avg. reward: 0.393, 1.748 sec/game, 3.0 min. total, 432.0 MB
facial_putdown v2 121 games, 88382 moves, e=0.913, loss: 246.3, -, 58.0% elo% vs. v0, avg. reward: 0.362, 1.723 sec/game, 3.1 min. total, 431.9 MB
facial_putdown v2 122 games, 89184 moves, e=0.912, loss: 252.4, +, 59.9% elo% vs. v0, avg. reward: 0.367, 1.730 sec/game, 3.1 min. total, 431.9 MB
facial_putdown v2 123 games, 90057 moves, e=0.911, loss: 251.9, +, 61.6% elo% vs. v0, avg. reward: 0.367, 1.752 sec/game, 3.1 min. total, 431.9 MB
facial_putdown v2 124 games, 90860 moves, e=0.910, loss: 243.8, -, 58.9% elo% vs. v0, avg. reward: 0.367, 1.745 sec/game, 3.2 min. total, 432.4 MB
facial_putdown v2 125 games, 91671 moves, e=0.909, loss: 243.1, -, 56.3% elo% vs. v0, avg. reward: 0.294, 1.725 sec/game, 3.2 min. total, 432.0 MB
facial_putdown v2 126 games, 92381 moves, e=0.909, loss: 244.1, +, 58.2% elo% vs. v0, avg. reward: 0.300, 1.722 sec/game, 3.2 min. total, 432.2 MB
facial_putdown v2 127 games, 93252 moves, e=0.908, loss: 228.6, +, 60.1% elo% vs. v0, avg. reward: 0.307, 1.723 sec/game, 3.2 min. total, 432.5 MB
facial_putdown v2 128 games, 94003 moves, e=0.907, loss: 235.5, +, 61.8% elo% vs. v0, avg. reward: 0.334, 1.720 sec/game, 3.3 min. total, 433.2 MB
facial_putdown v2 129 games, 94752 moves, e=0.906, loss: 236.3, +, 63.5% elo% vs. v0, avg. reward: 0.341, 1.726 sec/game, 3.3 min. total, 434.7 MB
facial_putdown v2 130 games, 95651 moves, e=0.905, loss: 237.7, +, 65.0% elo% vs. v0, avg. reward: 0.411, 1.740 sec/game, 3.3 min. total, 436.4 MB
facial_putdown v2 131 games, 96385 moves, e=0.905, loss: 233.9, +, 66.5% elo% vs. v0, avg. reward: 0.478, 1.731 sec/game, 3.3 min. total, 436.0 MB
facial_putdown v2 132 games, 97069 moves, e=0.904, loss: 230.1, +, 67.8% elo% vs. v0, avg. reward: 0.480, 1.706 sec/game, 3.4 min. total, 436.3 MB
facial_putdown v2 133 games, 97791 moves, e=0.903, loss: 225.1, +, 69.1% elo% vs. v0, avg. reward: 0.555, 1.688 sec/game, 3.4 min. total, 436.6 MB
facial_putdown v2 134 games, 98576 moves, e=0.902, loss: 228.0, +, 70.3% elo% vs. v0, avg. reward: 0.562, 1.671 sec/game, 3.4 min. total, 436.0 MB
facial_putdown v3 135 games, 99419 moves, e=0.902, loss: 239.6, +, 50.1% elo% vs. v2, avg. reward: 0.584, 1.661 sec/game, 3.4 min. total, 496.7 MB
facial_putdown v3 136 games, 100240 moves, e=0.901, loss: 233.0, ., 50.1% elo% vs. v2, avg. reward: 0.600, 1.655 sec/game, 3.5 min. total, 497.4 MB
facial_putdown v3 137 games, 101143 moves, e=0.900, loss: 238.7, +, 52.4% elo% vs. v2, avg. reward: 0.617, 1.680 sec/game, 3.5 min. total, 498.1 MB
facial_putdown v3 138 games, 101928 moves, e=0.899, loss: 233.9, +, 54.6% elo% vs. v2, avg. reward: 0.687, 1.685 sec/game, 3.5 min. total, 500.8 MB
facial_putdown v3 139 games, 102613 moves, e=0.898, loss: 233.5, -, 52.1% elo% vs. v2, avg. reward: 0.664, 1.664 sec/game, 3.6 min. total, 501.8 MB
