reflux_snowflake v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.2 MB
reflux_snowflake v3 106 games, 76669 moves, e=0.924, loss: 110.3, -, 11.1% elo% vs. random_no_suicide, avg. reward: 3.545, 1.486 sec/game, 2.3 min. total, 455.0 MB
reflux_snowflake v3 107 games, 77400 moves, e=0.923, loss: 114.8, -, 10.9% elo% vs. random_no_suicide, avg. reward: 3.544, 1.470 sec/game, 2.3 min. total, 455.1 MB
reflux_snowflake v3 108 games, 78223 moves, e=0.923, loss: 118.6, -, 10.7% elo% vs. random_no_suicide, avg. reward: 3.552, 1.481 sec/game, 2.3 min. total, 455.3 MB
reflux_snowflake v3 109 games, 78929 moves, e=0.922, loss: 126.0, -, 10.5% elo% vs. random_no_suicide, avg. reward: 3.547, 1.483 sec/game, 2.4 min. total, 454.7 MB
reflux_snowflake v3 110 games, 79716 moves, e=0.921, loss: 123.5, -, 10.4% elo% vs. random_no_suicide, avg. reward: 3.546, 1.490 sec/game, 2.4 min. total, 455.3 MB
reflux_snowflake v3 111 games, 80580 moves, e=0.920, loss: 130.5, -, 10.2% elo% vs. random_no_suicide, avg. reward: 3.541, 1.517 sec/game, 2.4 min. total, 457.5 MB
reflux_snowflake v3 112 games, 81349 moves, e=0.919, loss: 124.2, -, 10.0% elo% vs. random_no_suicide, avg. reward: 3.544, 1.544 sec/game, 2.5 min. total, 457.0 MB
reflux_snowflake v3 113 games, 82054 moves, e=0.919, loss: 129.1, -, 9.9% elo% vs. random_no_suicide, avg. reward: 3.543, 1.545 sec/game, 2.5 min. total, 457.0 MB
reflux_snowflake v3 114 games, 82792 moves, e=0.918, loss: 130.8, -, 9.7% elo% vs. random_no_suicide, avg. reward: 3.538, 1.543 sec/game, 2.5 min. total, 457.3 MB
reflux_snowflake v3 115 games, 83516 moves, e=0.917, loss: 132.7, -, 9.5% elo% vs. random_no_suicide, avg. reward: 3.537, 1.567 sec/game, 2.5 min. total, 456.9 MB
reflux_snowflake v3 116 games, 84275 moves, e=0.917, loss: 127.1, -, 9.4% elo% vs. random_no_suicide, avg. reward: 3.544, 1.577 sec/game, 2.6 min. total, 457.3 MB
reflux_snowflake v3 117 games, 85053 moves, e=0.916, loss: 124.3, -, 9.2% elo% vs. random_no_suicide, avg. reward: 3.543, 1.582 sec/game, 2.6 min. total, 457.3 MB
reflux_snowflake v3 118 games, 85858 moves, e=0.915, loss: 121.9, -, 9.1% elo% vs. random_no_suicide, avg. reward: 3.537, 1.592 sec/game, 2.6 min. total, 456.8 MB
reflux_snowflake v3 119 games, 86608 moves, e=0.914, loss: 121.9, -, 9.0% elo% vs. random_no_suicide, avg. reward: 3.534, 1.609 sec/game, 2.7 min. total, 457.4 MB
reflux_snowflake v3 120 games, 87443 moves, e=0.913, loss: 124.5, -, 8.8% elo% vs. random_no_suicide, avg. reward: 3.529, 1.624 sec/game, 2.7 min. total, 457.4 MB
reflux_snowflake v3 121 games, 88208 moves, e=0.913, loss: 132.2, -, 8.7% elo% vs. random_no_suicide, avg. reward: 3.534, 1.642 sec/game, 2.7 min. total, 457.7 MB
reflux_snowflake v3 122 games, 88943 moves, e=0.912, loss: 133.9, -, 8.6% elo% vs. random_no_suicide, avg. reward: 3.528, 1.636 sec/game, 2.7 min. total, 457.8 MB
reflux_snowflake v3 123 games, 89622 moves, e=0.911, loss: 137.1, -, 8.4% elo% vs. random_no_suicide, avg. reward: 3.517, 1.638 sec/game, 2.8 min. total, 458.2 MB
