cherub_squatting v3 272 games, 118140 moves, e=0.883, loss: 5.8, +, 67.2% elo% vs. random_bot, avg. reward: -13.245, 4.724 sec/game, 3.3 min. total, 708.0 MB
cherub_squatting v3 274 games, 119467 moves, e=0.882, loss: 5.6, +, 68.5% elo% vs. random_bot, avg. reward: -13.095, 4.836 sec/game, 3.5 min. total, 708.6 MB
cherub_squatting v3 276 games, 120771 moves, e=0.880, loss: 5.7, +, 69.8% elo% vs. random_bot, avg. reward: -13.013, 4.840 sec/game, 3.6 min. total, 710.4 MB
cherub_squatting v3 278 games, 121879 moves, e=0.879, loss: 5.6, +, 70.9% elo% vs. random_bot, avg. reward: -12.894, 4.619 sec/game, 3.8 min. total, 712.8 MB
cherub_squatting v4 280 games, 123087 moves, e=0.878, loss: 5.4, +, 54.5% elo% vs. guard_bot, avg. reward: -12.757, 4.659 sec/game, 3.9 min. total, 768.8 MB
cherub_squatting v4 282 games, 124278 moves, e=0.877, loss: 5.4, +, 56.6% elo% vs. guard_bot, avg. reward: -12.659, 4.657 sec/game, 4.1 min. total, 770.1 MB
cherub_squatting v4 284 games, 125628 moves, e=0.876, loss: 5.5, +, 58.5% elo% vs. guard_bot, avg. reward: -12.544, 4.612 sec/game, 4.2 min. total, 770.9 MB
cherub_squatting v4 286 games, 126784 moves, e=0.874, loss: 5.4, +, 60.4% elo% vs. guard_bot, avg. reward: -12.446, 4.508 sec/game, 4.4 min. total, 771.6 MB
cherub_squatting v4 288 games, 127991 moves, e=0.873, loss: 5.2, +, 62.1% elo% vs. guard_bot, avg. reward: -12.338, 4.509 sec/game, 4.5 min. total, 773.4 MB
cherub_squatting v4 290 games, 129237 moves, e=0.872, loss: 5.1, +, 63.7% elo% vs. guard_bot, avg. reward: -12.200, 4.529 sec/game, 4.7 min. total, 773.9 MB
cherub_squatting v4 292 games, 130434 moves, e=0.871, loss: 5.2, +, 65.2% elo% vs. guard_bot, avg. reward: -12.082, 4.540 sec/game, 4.8 min. total, 774.4 MB
cherub_squatting v4 294 games, 131646 moves, e=0.870, loss: 5.0, +, 66.7% elo% vs. guard_bot, avg. reward: -11.989, 4.431 sec/game, 4.9 min. total, 774.3 MB
cherub_squatting v4 296 games, 132782 moves, e=0.869, loss: 5.1, +, 68.0% elo% vs. guard_bot, avg. reward: -11.905, 4.365 sec/game, 5.1 min. total, 774.7 MB
cherub_squatting v4 298 games, 134027 moves, e=0.867, loss: 5.1, +, 69.3% elo% vs. guard_bot, avg. reward: -11.791, 4.344 sec/game, 5.2 min. total, 775.6 MB
cherub_squatting v4 300 games, 135025 moves, e=0.866, loss: 5.0, +, 70.5% elo% vs. guard_bot, avg. reward: -11.697, 4.220 sec/game, 5.3 min. total, 777.2 MB
cherub_squatting v5 302 games, 136297 moves, e=0.865, loss: 4.9, -, 49.9% elo% vs. random_no_suicide, avg. reward: -11.587, 4.250 sec/game, 5.5 min. total, 779.2 MB
cherub_squatting v5 304 games, 137531 moves, e=0.864, loss: 4.8, -, 47.6% elo% vs. random_no_suicide, avg. reward: -11.436, 4.203 sec/game, 5.6 min. total, 781.8 MB
cherub_squatting v5 306 games, 138706 moves, e=0.863, loss: 4.8, -, 45.4% elo% vs. random_no_suicide, avg. reward: -11.265, 4.200 sec/game, 5.8 min. total, 783.7 MB
cherub_squatting v5 308 games, 139882 moves, e=0.862, loss: 4.6, -, 43.4% elo% vs. random_no_suicide, avg. reward: -11.141, 4.193 sec/game, 5.9 min. total, 786.3 MB
cherub_squatting v5 310 games, 140973 moves, e=0.860, loss: 4.7, -, 41.4% elo% vs. random_no_suicide, avg. reward: -11.031, 4.146 sec/game, 6.0 min. total, 785.6 MB
