keenness_detonator v4 129 games, 93959 moves, e=0.907, loss: 16.8, -, 43.2% elo% vs. random_no_suicide, avg. reward: -7.811, 1.857 sec/game, 3.5 min. total, 494.4 MB
keenness_detonator v4 130 games, 94666 moves, e=0.906, loss: 17.5, +, 45.8% elo% vs. random_no_suicide, avg. reward: -7.804, 1.860 sec/game, 3.6 min. total, 490.8 MB
keenness_detonator v4 131 games, 95478 moves, e=0.905, loss: 17.9, -, 43.7% elo% vs. random_no_suicide, avg. reward: -7.779, 1.859 sec/game, 3.6 min. total, 491.2 MB
keenness_detonator v4 132 games, 96142 moves, e=0.905, loss: 17.9, -, 41.7% elo% vs. random_no_suicide, avg. reward: -7.791, 1.860 sec/game, 3.6 min. total, 494.3 MB
keenness_detonator v4 133 games, 96933 moves, e=0.904, loss: 17.8, -, 39.9% elo% vs. random_no_suicide, avg. reward: -7.765, 1.861 sec/game, 3.7 min. total, 495.0 MB
keenness_detonator v4 134 games, 97740 moves, e=0.903, loss: 18.3, -, 38.1% elo% vs. random_no_suicide, avg. reward: -7.751, 1.858 sec/game, 3.7 min. total, 493.3 MB
keenness_detonator v4 135 games, 98616 moves, e=0.902, loss: 17.2, -, 36.5% elo% vs. random_no_suicide, avg. reward: -7.740, 1.860 sec/game, 3.7 min. total, 493.3 MB
keenness_detonator v4 136 games, 99318 moves, e=0.902, loss: 17.8, -, 34.9% elo% vs. random_no_suicide, avg. reward: -7.752, 1.831 sec/game, 3.8 min. total, 497.0 MB
keenness_detonator v4 137 games, 100019 moves, e=0.901, loss: 17.8, -, 33.5% elo% vs. random_no_suicide, avg. reward: -7.765, 1.845 sec/game, 3.8 min. total, 493.7 MB
keenness_detonator v4 138 games, 100737 moves, e=0.900, loss: 17.0, +, 36.3% elo% vs. random_no_suicide, avg. reward: -7.750, 1.850 sec/game, 3.8 min. total, 493.8 MB
keenness_detonator v4 139 games, 101530 moves, e=0.899, loss: 17.2, -, 34.7% elo% vs. random_no_suicide, avg. reward: -7.743, 1.854 sec/game, 3.9 min. total, 494.1 MB
keenness_detonator v4 140 games, 102275 moves, e=0.899, loss: 18.1, -, 33.3% elo% vs. random_no_suicide, avg. reward: -7.745, 1.865 sec/game, 3.9 min. total, 496.5 MB
keenness_detonator v4 141 games, 103011 moves, e=0.898, loss: 18.2, -, 32.0% elo% vs. random_no_suicide, avg. reward: -7.747, 1.854 sec/game, 3.9 min. total, 494.3 MB
keenness_detonator v4 142 games, 103852 moves, e=0.897, loss: 18.7, -, 30.7% elo% vs. random_no_suicide, avg. reward: -7.715, 1.861 sec/game, 4.0 min. total, 498.6 MB
keenness_detonator v4 143 games, 104716 moves, e=0.896, loss: 18.7, -, 29.5% elo% vs. random_no_suicide, avg. reward: -7.685, 1.885 sec/game, 4.0 min. total, 498.5 MB
keenness_detonator v4 144 games, 105543 moves, e=0.896, loss: 17.8, -, 28.4% elo% vs. random_no_suicide, avg. reward: -7.668, 1.884 sec/game, 4.0 min. total, 495.2 MB
keenness_detonator v4 145 games, 106402 moves, e=0.895, loss: 17.6, +, 31.1% elo% vs. random_no_suicide, avg. reward: -7.635, 1.899 sec/game, 4.1 min. total, 495.2 MB
keenness_detonator v4 146 games, 107210 moves, e=0.894, loss: 18.1, -, 29.9% elo% vs. random_no_suicide, avg. reward: -7.642, 1.905 sec/game, 4.1 min. total, 495.3 MB
keenness_detonator v4 147 games, 108009 moves, e=0.893, loss: 18.1, -, 28.8% elo% vs. random_no_suicide, avg. reward: -7.631, 1.886 sec/game, 4.1 min. total, 498.6 MB
keenness_detonator v4 148 games, 108829 moves, e=0.892, loss: 17.0, -, 27.7% elo% vs. random_no_suicide, avg. reward: -7.624, 1.917 sec/game, 4.2 min. total, 498.6 MB
keenness_detonator v4 149 games, 109581 moves, e=0.892, loss: 17.4, -, 26.7% elo% vs. random_no_suicide, avg. reward: -7.630, 1.920 sec/game, 4.2 min. total, 498.8 MB
keenness_detonator v4 150 games, 110377 moves, e=0.891, loss: 18.3, -, 25.7% elo% vs. random_no_suicide, avg. reward: -7.638, 1.930 sec/game, 4.2 min. total, 498.6 MB
