unlaced_neglector v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
unlaced_neglector v3 85 games, 61668 moves, e=0.939, loss: 223.2, -, 51.5% elo% vs. v2, avg. reward: 0.337, 1.707 sec/game, 2.0 min. total, 494.9 MB
unlaced_neglector v3 86 games, 62470 moves, e=0.938, loss: 216.0, +, 53.7% elo% vs. v2, avg. reward: 0.340, 1.710 sec/game, 2.0 min. total, 495.0 MB
unlaced_neglector v3 87 games, 63095 moves, e=0.938, loss: 210.1, +, 55.8% elo% vs. v2, avg. reward: 0.316, 1.683 sec/game, 2.0 min. total, 495.8 MB
unlaced_neglector v3 88 games, 63741 moves, e=0.937, loss: 209.8, -, 53.3% elo% vs. v2, avg. reward: 0.269, 1.657 sec/game, 2.1 min. total, 495.9 MB
unlaced_neglector v3 89 games, 64501 moves, e=0.936, loss: 205.5, -, 50.8% elo% vs. v2, avg. reward: 0.309, 1.655 sec/game, 2.1 min. total, 496.0 MB
unlaced_neglector v3 90 games, 65289 moves, e=0.935, loss: 200.7, -, 48.5% elo% vs. v2, avg. reward: 0.320, 1.675 sec/game, 2.1 min. total, 495.4 MB
unlaced_neglector v3 91 games, 65975 moves, e=0.935, loss: 212.9, -, 46.3% elo% vs. v2, avg. reward: 0.297, 1.677 sec/game, 2.2 min. total, 495.6 MB
unlaced_neglector v3 92 games, 66768 moves, e=0.934, loss: 212.5, +, 48.7% elo% vs. v2, avg. reward: 0.373, 1.679 sec/game, 2.2 min. total, 496.6 MB
unlaced_neglector v3 93 games, 67385 moves, e=0.933, loss: 220.4, -, 46.5% elo% vs. v2, avg. reward: 0.323, 1.670 sec/game, 2.2 min. total, 497.9 MB
unlaced_neglector v3 94 games, 68152 moves, e=0.933, loss: 220.6, ., 46.7% elo% vs. v2, avg. reward: 0.337, 1.686 sec/game, 2.2 min. total, 498.8 MB
unlaced_neglector v3 95 games, 68879 moves, e=0.932, loss: 217.1, +, 49.1% elo% vs. v2, avg. reward: 0.340, 1.691 sec/game, 2.3 min. total, 498.3 MB
unlaced_neglector v3 96 games, 69751 moves, e=0.931, loss: 218.1, +, 51.5% elo% vs. v2, avg. reward: 0.375, 1.707 sec/game, 2.3 min. total, 498.3 MB
unlaced_neglector v3 97 games, 70524 moves, e=0.930, loss: 226.2, -, 49.1% elo% vs. v2, avg. reward: 0.358, 1.706 sec/game, 2.3 min. total, 498.9 MB
unlaced_neglector v3 98 games, 71300 moves, e=0.929, loss: 226.9, +, 51.4% elo% vs. v2, avg. reward: 0.339, 1.710 sec/game, 2.4 min. total, 499.4 MB
unlaced_neglector v3 99 games, 72077 moves, e=0.929, loss: 222.0, -, 49.1% elo% vs. v2, avg. reward: 0.358, 1.696 sec/game, 2.4 min. total, 498.8 MB
unlaced_neglector v3 100 games, 72720 moves, e=0.928, loss: 229.2, -, 46.8% elo% vs. v2, avg. reward: 0.324, 1.709 sec/game, 2.4 min. total, 499.2 MB
unlaced_neglector v3 101 games, 73337 moves, e=0.927, loss: 228.5, -, 44.7% elo% vs. v2, avg. reward: 0.358, 1.685 sec/game, 2.4 min. total, 498.9 MB
