wiring_happiest v4 127 games, 92772 moves, e=0.908, loss: 4.1, -, 18.0% elo% vs. random_no_suicide, avg. reward: -8.282, 1.600 sec/game, 2.7 min. total, 486.2 MB
wiring_happiest v4 128 games, 93588 moves, e=0.907, loss: 4.0, -, 17.5% elo% vs. random_no_suicide, avg. reward: -8.255, 1.609 sec/game, 2.7 min. total, 486.2 MB
wiring_happiest v4 129 games, 94402 moves, e=0.907, loss: 3.9, -, 17.1% elo% vs. random_no_suicide, avg. reward: -8.225, 1.619 sec/game, 2.8 min. total, 486.3 MB
wiring_happiest v4 130 games, 95123 moves, e=0.906, loss: 3.9, -, 16.6% elo% vs. random_no_suicide, avg. reward: -8.221, 1.604 sec/game, 2.8 min. total, 486.1 MB
wiring_happiest v4 131 games, 95855 moves, e=0.905, loss: 3.9, -, 16.2% elo% vs. random_no_suicide, avg. reward: -8.220, 1.591 sec/game, 2.8 min. total, 491.2 MB
wiring_happiest v4 132 games, 96610 moves, e=0.904, loss: 4.0, -, 15.8% elo% vs. random_no_suicide, avg. reward: -8.228, 1.599 sec/game, 2.8 min. total, 491.8 MB
wiring_happiest v4 133 games, 97418 moves, e=0.904, loss: 3.9, -, 15.4% elo% vs. random_no_suicide, avg. reward: -8.233, 1.619 sec/game, 2.9 min. total, 489.2 MB
wiring_happiest v4 134 games, 98181 moves, e=0.903, loss: 3.9, -, 15.1% elo% vs. random_no_suicide, avg. reward: -8.227, 1.610 sec/game, 2.9 min. total, 489.0 MB
wiring_happiest v4 135 games, 98899 moves, e=0.902, loss: 3.9, -, 14.7% elo% vs. random_no_suicide, avg. reward: -8.231, 1.595 sec/game, 2.9 min. total, 491.1 MB
wiring_happiest v4 136 games, 99715 moves, e=0.901, loss: 3.9, -, 14.4% elo% vs. random_no_suicide, avg. reward: -8.211, 1.586 sec/game, 2.9 min. total, 491.2 MB
wiring_happiest v4 137 games, 100325 moves, e=0.901, loss: 4.2, -, 14.0% elo% vs. random_no_suicide, avg. reward: -8.235, 1.565 sec/game, 2.9 min. total, 491.3 MB
wiring_happiest v4 138 games, 101124 moves, e=0.900, loss: 4.2, -, 13.7% elo% vs. random_no_suicide, avg. reward: -8.226, 1.548 sec/game, 3.0 min. total, 489.4 MB
wiring_happiest v4 139 games, 101870 moves, e=0.899, loss: 4.2, -, 13.4% elo% vs. random_no_suicide, avg. reward: -8.223, 1.503 sec/game, 3.0 min. total, 489.3 MB
wiring_happiest v4 140 games, 102631 moves, e=0.898, loss: 4.3, -, 13.1% elo% vs. random_no_suicide, avg. reward: -8.219, 1.506 sec/game, 3.0 min. total, 489.6 MB
wiring_happiest v4 141 games, 103499 moves, e=0.898, loss: 4.2, -, 12.9% elo% vs. random_no_suicide, avg. reward: -8.199, 1.512 sec/game, 3.1 min. total, 489.7 MB
wiring_happiest v4 142 games, 104151 moves, e=0.897, loss: 4.5, -, 12.6% elo% vs. random_no_suicide, avg. reward: -8.206, 1.504 sec/game, 3.1 min. total, 489.9 MB
wiring_happiest v4 143 games, 104947 moves, e=0.896, loss: 4.2, -, 12.4% elo% vs. random_no_suicide, avg. reward: -8.195, 1.524 sec/game, 3.1 min. total, 490.5 MB
wiring_happiest v4 144 games, 105568 moves, e=0.895, loss: 4.3, -, 12.1% elo% vs. random_no_suicide, avg. reward: -8.211, 1.527 sec/game, 3.1 min. total, 494.3 MB
wiring_happiest v4 145 games, 106297 moves, e=0.895, loss: 4.4, -, 11.9% elo% vs. random_no_suicide, avg. reward: -8.221, 1.538 sec/game, 3.2 min. total, 490.3 MB
wiring_happiest v4 146 games, 107003 moves, e=0.894, loss: 4.6, -, 11.7% elo% vs. random_no_suicide, avg. reward: -8.223, 1.534 sec/game, 3.2 min. total, 490.2 MB
wiring_happiest v4 147 games, 107787 moves, e=0.893, loss: 4.5, -, 11.4% elo% vs. random_no_suicide, avg. reward: -8.226, 1.566 sec/game, 3.2 min. total, 490.4 MB
wiring_happiest v4 148 games, 108543 moves, e=0.893, loss: 4.4, -, 11.2% elo% vs. random_no_suicide, avg. reward: -8.218, 1.559 sec/game, 3.3 min. total, 490.4 MB
wiring_happiest v4 149 games, 109399 moves, e=0.892, loss: 4.4, -, 11.0% elo% vs. random_no_suicide, avg. reward: -8.212, 1.586 sec/game, 3.3 min. total, 490.4 MB
