borough_erupt v2 124 games, 91100 moves, e=0.910, loss: nan, +, 56.5% elo% vs. v0, avg. reward: -9.502, 0.404 sec/game, 0.7 min. total, 640.1 MB
borough_erupt v2 125 games, 91898 moves, e=0.909, loss: nan, ., 56.2% elo% vs. v0, avg. reward: -9.493, 0.410 sec/game, 0.7 min. total, 642.3 MB
borough_erupt v2 126 games, 92707 moves, e=0.908, loss: nan, ., 55.9% elo% vs. v0, avg. reward: -9.476, 0.410 sec/game, 0.7 min. total, 644.3 MB
borough_erupt v2 127 games, 93546 moves, e=0.907, loss: nan, ., 55.6% elo% vs. v0, avg. reward: -9.472, 0.414 sec/game, 0.7 min. total, 646.4 MB
borough_erupt v2 128 games, 94195 moves, e=0.907, loss: nan, ., 55.4% elo% vs. v0, avg. reward: -9.484, 0.415 sec/game, 0.7 min. total, 648.2 MB
borough_erupt v2 129 games, 94894 moves, e=0.906, loss: nan, +, 57.4% elo% vs. v0, avg. reward: -9.479, 0.415 sec/game, 0.7 min. total, 650.2 MB
borough_erupt v2 130 games, 95605 moves, e=0.905, loss: nan, -, 54.8% elo% vs. v0, avg. reward: -9.456, 0.416 sec/game, 0.7 min. total, 651.9 MB
borough_erupt v2 131 games, 96390 moves, e=0.905, loss: nan, -, 52.3% elo% vs. v0, avg. reward: -9.463, 0.419 sec/game, 0.7 min. total, 654.2 MB
borough_erupt v2 132 games, 97208 moves, e=0.904, loss: nan, +, 54.5% elo% vs. v0, avg. reward: -9.452, 0.422 sec/game, 0.7 min. total, 656.9 MB
borough_erupt v2 133 games, 97976 moves, e=0.903, loss: nan, -, 52.0% elo% vs. v0, avg. reward: -9.429, 0.425 sec/game, 0.7 min. total, 660.8 MB
borough_erupt v2 134 games, 98757 moves, e=0.902, loss: nan, ., 51.9% elo% vs. v0, avg. reward: -9.415, 0.423 sec/game, 0.7 min. total, 665.0 MB
borough_erupt v2 135 games, 99486 moves, e=0.902, loss: nan, +, 54.1% elo% vs. v0, avg. reward: -9.412, 0.427 sec/game, 0.7 min. total, 669.3 MB
borough_erupt v2 136 games, 100212 moves, e=0.901, loss: 61.7, +, 56.2% elo% vs. v0, avg. reward: -9.414, 0.504 sec/game, 0.8 min. total, 722.8 MB
borough_erupt v2 137 games, 101118 moves, e=0.900, loss: 46.3, ., 55.9% elo% vs. v0, avg. reward: -9.394, 0.850 sec/game, 0.9 min. total, 724.3 MB
borough_erupt v2 138 games, 101990 moves, e=0.899, loss: 28.3, ., 55.6% elo% vs. v0, avg. reward: -9.372, 1.186 sec/game, 1.0 min. total, 725.5 MB
borough_erupt v2 139 games, 102739 moves, e=0.898, loss: 19.3, -, 53.1% elo% vs. v0, avg. reward: -9.347, 1.486 sec/game, 1.1 min. total, 725.8 MB
borough_erupt v2 140 games, 103557 moves, e=0.897, loss: 13.5, -, 50.7% elo% vs. v0, avg. reward: -9.336, 1.829 sec/game, 1.2 min. total, 725.6 MB
borough_erupt v2 141 games, 104344 moves, e=0.897, loss: 11.0, +, 52.9% elo% vs. v0, avg. reward: -9.314, 2.108 sec/game, 1.3 min. total, 725.9 MB
borough_erupt v2 142 games, 105129 moves, e=0.896, loss: 9.5, -, 50.5% elo% vs. v0, avg. reward: -9.308, 2.402 sec/game, 1.5 min. total, 726.0 MB
borough_erupt v2 143 games, 105953 moves, e=0.895, loss: 8.7, +, 52.8% elo% vs. v0, avg. reward: -9.289, 2.687 sec/game, 1.6 min. total, 726.1 MB
borough_erupt v2 144 games, 106851 moves, e=0.894, loss: 8.3, -, 50.3% elo% vs. v0, avg. reward: -9.244, 3.018 sec/game, 1.7 min. total, 726.1 MB
borough_erupt v2 145 games, 107613 moves, e=0.893, loss: 8.0, +, 52.6% elo% vs. v0, avg. reward: -9.241, 3.294 sec/game, 1.8 min. total, 726.6 MB
borough_erupt v2 146 games, 108308 moves, e=0.893, loss: 7.9, +, 54.8% elo% vs. v0, avg. reward: -9.260, 3.575 sec/game, 1.9 min. total, 726.6 MB
borough_erupt v2 147 games, 109162 moves, e=0.892, loss: 7.6, +, 56.8% elo% vs. v0, avg. reward: -9.240, 3.853 sec/game, 2.0 min. total, 727.1 MB
borough_erupt v2 148 games, 109822 moves, e=0.891, loss: 7.7, +, 58.8% elo% vs. v0, avg. reward: -9.267, 4.092 sec/game, 2.1 min. total, 726.6 MB
borough_erupt v2 149 games, 110661 moves, e=0.890, loss: 7.5, +, 60.6% elo% vs. v0, avg. reward: -9.264, 4.421 sec/game, 2.2 min. total, 726.6 MB
borough_erupt v2 150 games, 111578 moves, e=0.890, loss: 7.4, +, 62.3% elo% vs. v0, avg. reward: -9.238, 4.755 sec/game, 2.3 min. total, 726.8 MB
borough_erupt v2 151 games, 112344 moves, e=0.889, loss: 7.4, +, 63.9% elo% vs. v0, avg. reward: -9.235, 5.053 sec/game, 2.4 min. total, 727.4 MB
borough_erupt v2 152 games, 113131 moves, e=0.888, loss: 7.5, +, 65.5% elo% vs. v0, avg. reward: -9.235, 5.339 sec/game, 2.5 min. total, 726.9 MB
borough_erupt v2 153 games, 114069 moves, e=0.887, loss: 7.1, +, 66.9% elo% vs. v0, avg. reward: -9.206, 5.720 sec/game, 2.6 min. total, 728.2 MB
borough_erupt v2 154 games, 114736 moves, e=0.886, loss: 7.0, +, 68.2% elo% vs. v0, avg. reward: -9.219, 5.930 sec/game, 2.7 min. total, 729.8 MB
borough_erupt v2 155 games, 115494 moves, e=0.886, loss: 7.0, +, 69.5% elo% vs. v0, avg. reward: -9.220, 6.188 sec/game, 2.8 min. total, 732.0 MB
borough_erupt v2 156 games, 116267 moves, e=0.885, loss: 6.9, +, 70.7% elo% vs. v0, avg. reward: -9.215, 6.368 sec/game, 2.9 min. total, 731.8 MB
borough_erupt v3 157 games, 117109 moves, e=0.884, loss: 6.8, -, 49.9% elo% vs. v2, avg. reward: -9.212, 6.358 sec/game, 3.0 min. total, 798.4 MB
borough_erupt v3 158 games, 117788 moves, e=0.883, loss: 6.7, +, 52.2% elo% vs. v2, avg. reward: -9.212, 6.346 sec/game, 3.1 min. total, 799.2 MB
borough_erupt v3 159 games, 118567 moves, e=0.883, loss: 6.6, +, 54.4% elo% vs. v2, avg. reward: -9.214, 6.348 sec/game, 3.2 min. total, 802.1 MB
borough_erupt v3 160 games, 119360 moves, e=0.882, loss: 6.4, +, 56.5% elo% vs. v2, avg. reward: -9.220, 6.302 sec/game, 3.3 min. total, 801.2 MB
borough_erupt v3 161 games, 120173 moves, e=0.881, loss: 6.2, +, 58.4% elo% vs. v2, avg. reward: -9.209, 6.321 sec/game, 3.5 min. total, 802.4 MB
