utmost_conform v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.8 MB
utmost_conform v4 113 games, 82797 moves, e=0.918, loss: 6.0, +, 40.2% elo% vs. random_no_suicide, avg. reward: -9.595, 1.675 sec/game, 2.7 min. total, 487.9 MB
utmost_conform v4 114 games, 83593 moves, e=0.917, loss: 5.8, -, 38.4% elo% vs. random_no_suicide, avg. reward: -9.584, 1.687 sec/game, 2.8 min. total, 488.3 MB
utmost_conform v4 115 games, 84277 moves, e=0.917, loss: 5.9, -, 36.7% elo% vs. random_no_suicide, avg. reward: -9.585, 1.671 sec/game, 2.8 min. total, 492.6 MB
utmost_conform v4 116 games, 85010 moves, e=0.916, loss: 5.6, +, 39.5% elo% vs. random_no_suicide, avg. reward: -9.586, 1.672 sec/game, 2.8 min. total, 490.6 MB
utmost_conform v4 117 games, 85801 moves, e=0.915, loss: 5.6, +, 42.2% elo% vs. random_no_suicide, avg. reward: -9.582, 1.671 sec/game, 2.9 min. total, 492.0 MB
utmost_conform v4 118 games, 86574 moves, e=0.914, loss: 5.6, +, 44.8% elo% vs. random_no_suicide, avg. reward: -9.582, 1.675 sec/game, 2.9 min. total, 492.0 MB
utmost_conform v4 119 games, 87378 moves, e=0.913, loss: 5.5, ., 45.0% elo% vs. random_no_suicide, avg. reward: -9.558, 1.684 sec/game, 2.9 min. total, 490.9 MB
utmost_conform v4 120 games, 88185 moves, e=0.913, loss: 5.4, ., 45.3% elo% vs. random_no_suicide, avg. reward: -9.544, 1.697 sec/game, 2.9 min. total, 490.9 MB
utmost_conform v4 121 games, 88899 moves, e=0.912, loss: 5.5, -, 43.2% elo% vs. random_no_suicide, avg. reward: -9.544, 1.683 sec/game, 3.0 min. total, 491.0 MB
utmost_conform v4 122 games, 89639 moves, e=0.911, loss: 5.6, +, 45.8% elo% vs. random_no_suicide, avg. reward: -9.549, 1.683 sec/game, 3.0 min. total, 490.9 MB
utmost_conform v4 123 games, 90286 moves, e=0.911, loss: 5.7, -, 43.7% elo% vs. random_no_suicide, avg. reward: -9.571, 1.670 sec/game, 3.0 min. total, 491.3 MB
utmost_conform v4 124 games, 91021 moves, e=0.910, loss: 5.6, +, 46.3% elo% vs. random_no_suicide, avg. reward: -9.557, 1.692 sec/game, 3.1 min. total, 492.3 MB
utmost_conform v4 125 games, 91719 moves, e=0.909, loss: 6.1, -, 44.2% elo% vs. random_no_suicide, avg. reward: -9.544, 1.694 sec/game, 3.1 min. total, 493.3 MB
utmost_conform v4 126 games, 92462 moves, e=0.908, loss: 6.1, +, 46.7% elo% vs. random_no_suicide, avg. reward: -9.559, 1.707 sec/game, 3.1 min. total, 493.0 MB
utmost_conform v4 127 games, 93282 moves, e=0.908, loss: 5.9, +, 49.2% elo% vs. random_no_suicide, avg. reward: -9.554, 1.718 sec/game, 3.1 min. total, 493.2 MB
utmost_conform v4 128 games, 93990 moves, e=0.907, loss: 5.7, -, 46.9% elo% vs. random_no_suicide, avg. reward: -9.541, 1.720 sec/game, 3.2 min. total, 493.2 MB
utmost_conform v4 129 games, 94755 moves, e=0.906, loss: 5.5, +, 49.3% elo% vs. random_no_suicide, avg. reward: -9.535, 1.736 sec/game, 3.2 min. total, 494.5 MB
utmost_conform v4 130 games, 95619 moves, e=0.905, loss: 5.5, +, 51.7% elo% vs. random_no_suicide, avg. reward: -9.495, 1.751 sec/game, 3.2 min. total, 493.7 MB
utmost_conform v4 131 games, 96483 moves, e=0.904, loss: 5.6, +, 53.9% elo% vs. random_no_suicide, avg. reward: -9.477, 1.756 sec/game, 3.3 min. total, 494.1 MB
utmost_conform v4 132 games, 97174 moves, e=0.904, loss: 5.6, +, 56.0% elo% vs. random_no_suicide, avg. reward: -9.477, 1.761 sec/game, 3.3 min. total, 495.1 MB
utmost_conform v4 133 games, 97997 moves, e=0.903, loss: 5.6, -, 53.4% elo% vs. random_no_suicide, avg. reward: -9.476, 1.764 sec/game, 3.3 min. total, 495.0 MB
utmost_conform v4 134 games, 98857 moves, e=0.902, loss: 5.7, -, 51.0% elo% vs. random_no_suicide, avg. reward: -9.473, 1.772 sec/game, 3.4 min. total, 495.2 MB
