demanding_wow v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.9 MB
demanding_wow v3 116 games, 82416 moves, e=0.918, loss: 6.2, -, 51.7% elo% vs. v2, avg. reward: -2.978, 2.257 sec/game, 3.5 min. total, 458.5 MB
demanding_wow v3 117 games, 83158 moves, e=0.918, loss: 5.5, -, 49.3% elo% vs. v2, avg. reward: -2.977, 2.218 sec/game, 3.6 min. total, 461.9 MB
demanding_wow v3 118 games, 83864 moves, e=0.917, loss: 5.4, +, 51.7% elo% vs. v2, avg. reward: -2.980, 2.133 sec/game, 3.6 min. total, 461.3 MB
demanding_wow v3 119 games, 84567 moves, e=0.916, loss: 5.9, -, 49.3% elo% vs. v2, avg. reward: -2.981, 2.124 sec/game, 3.6 min. total, 464.3 MB
demanding_wow v3 120 games, 85380 moves, e=0.915, loss: 5.5, +, 51.6% elo% vs. v2, avg. reward: -2.978, 2.069 sec/game, 3.7 min. total, 463.5 MB
demanding_wow v3 121 games, 86134 moves, e=0.915, loss: 5.5, +, 53.8% elo% vs. v2, avg. reward: -2.982, 2.037 sec/game, 3.7 min. total, 461.7 MB
demanding_wow v3 122 games, 86890 moves, e=0.914, loss: 5.3, -, 51.4% elo% vs. v2, avg. reward: -2.975, 2.079 sec/game, 3.8 min. total, 464.1 MB
demanding_wow v3 123 games, 87540 moves, e=0.913, loss: 4.8, +, 53.6% elo% vs. v2, avg. reward: -2.971, 2.084 sec/game, 3.8 min. total, 465.2 MB
demanding_wow v3 124 games, 88216 moves, e=0.913, loss: 4.7, +, 55.7% elo% vs. v2, avg. reward: -2.969, 2.077 sec/game, 3.8 min. total, 468.4 MB
demanding_wow v3 125 games, 88968 moves, e=0.912, loss: 4.9, ., 55.5% elo% vs. v2, avg. reward: -2.970, 2.075 sec/game, 3.9 min. total, 470.4 MB
demanding_wow v3 126 games, 89763 moves, e=0.911, loss: 4.4, +, 57.5% elo% vs. v2, avg. reward: -2.969, 2.093 sec/game, 3.9 min. total, 470.2 MB
demanding_wow v3 127 games, 90524 moves, e=0.910, loss: 4.8, -, 54.9% elo% vs. v2, avg. reward: -2.965, 2.085 sec/game, 3.9 min. total, 468.7 MB
