agreeable_scroll v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
agreeable_scroll v4 106 games, 77389 moves, e=0.923, loss: 9.1, -, 45.1% elo% vs. random_no_suicide, avg. reward: -12.893, 1.202 sec/game, 1.8 min. total, 449.4 MB
agreeable_scroll v4 107 games, 78210 moves, e=0.923, loss: 9.3, +, 47.7% elo% vs. random_no_suicide, avg. reward: -12.872, 1.210 sec/game, 1.8 min. total, 448.6 MB
agreeable_scroll v4 108 games, 78949 moves, e=0.922, loss: 9.1, +, 50.1% elo% vs. random_no_suicide, avg. reward: -12.865, 1.193 sec/game, 1.8 min. total, 452.4 MB
agreeable_scroll v4 109 games, 79620 moves, e=0.921, loss: 9.4, -, 47.8% elo% vs. random_no_suicide, avg. reward: -12.864, 1.199 sec/game, 1.9 min. total, 450.2 MB
agreeable_scroll v4 110 games, 80460 moves, e=0.920, loss: 8.9, +, 50.2% elo% vs. random_no_suicide, avg. reward: -12.813, 1.214 sec/game, 1.9 min. total, 450.2 MB
agreeable_scroll v4 111 games, 81211 moves, e=0.920, loss: 8.6, +, 52.5% elo% vs. random_no_suicide, avg. reward: -12.792, 1.232 sec/game, 1.9 min. total, 450.8 MB
agreeable_scroll v4 112 games, 81891 moves, e=0.919, loss: 8.9, +, 54.6% elo% vs. random_no_suicide, avg. reward: -12.796, 1.230 sec/game, 1.9 min. total, 450.1 MB
agreeable_scroll v4 113 games, 82671 moves, e=0.918, loss: 8.6, -, 52.1% elo% vs. random_no_suicide, avg. reward: -12.781, 1.238 sec/game, 1.9 min. total, 451.0 MB
agreeable_scroll v4 114 games, 83441 moves, e=0.917, loss: 8.7, -, 49.7% elo% vs. random_no_suicide, avg. reward: -12.766, 1.243 sec/game, 2.0 min. total, 449.7 MB
agreeable_scroll v4 115 games, 84277 moves, e=0.917, loss: 8.5, ., 49.7% elo% vs. random_no_suicide, avg. reward: -12.745, 1.257 sec/game, 2.0 min. total, 451.1 MB
agreeable_scroll v4 116 games, 85038 moves, e=0.916, loss: 7.6, -, 47.5% elo% vs. random_no_suicide, avg. reward: -12.726, 1.259 sec/game, 2.0 min. total, 450.0 MB
agreeable_scroll v4 117 games, 85826 moves, e=0.915, loss: 7.7, -, 45.3% elo% vs. random_no_suicide, avg. reward: -12.720, 1.273 sec/game, 2.0 min. total, 450.0 MB
agreeable_scroll v4 118 games, 86540 moves, e=0.914, loss: 7.4, +, 47.8% elo% vs. random_no_suicide, avg. reward: -12.710, 1.270 sec/game, 2.0 min. total, 451.6 MB
agreeable_scroll v4 119 games, 87343 moves, e=0.914, loss: 7.0, -, 45.6% elo% vs. random_no_suicide, avg. reward: -12.689, 1.262 sec/game, 2.1 min. total, 452.6 MB
agreeable_scroll v4 120 games, 88118 moves, e=0.913, loss: 7.2, +, 48.1% elo% vs. random_no_suicide, avg. reward: -12.692, 1.254 sec/game, 2.1 min. total, 453.7 MB
agreeable_scroll v4 121 games, 88762 moves, e=0.912, loss: 7.5, +, 50.5% elo% vs. random_no_suicide, avg. reward: -12.725, 1.254 sec/game, 2.1 min. total, 451.4 MB
agreeable_scroll v4 122 games, 89514 moves, e=0.911, loss: 8.2, -, 48.2% elo% vs. random_no_suicide, avg. reward: -12.720, 1.257 sec/game, 2.1 min. total, 452.1 MB
agreeable_scroll v4 123 games, 90301 moves, e=0.911, loss: 8.7, -, 46.0% elo% vs. random_no_suicide, avg. reward: -12.699, 1.269 sec/game, 2.2 min. total, 452.2 MB
agreeable_scroll v4 124 games, 90954 moves, e=0.910, loss: 7.9, -, 43.9% elo% vs. random_no_suicide, avg. reward: -12.691, 1.266 sec/game, 2.2 min. total, 451.9 MB
agreeable_scroll v4 125 games, 91733 moves, e=0.909, loss: 8.7, -, 41.9% elo% vs. random_no_suicide, avg. reward: -12.682, 1.272 sec/game, 2.2 min. total, 451.9 MB
agreeable_scroll v4 126 games, 92453 moves, e=0.908, loss: 8.5, -, 40.0% elo% vs. random_no_suicide, avg. reward: -12.680, 1.278 sec/game, 2.2 min. total, 452.2 MB
agreeable_scroll v4 127 games, 93112 moves, e=0.908, loss: 8.4, +, 42.7% elo% vs. random_no_suicide, avg. reward: -12.675, 1.264 sec/game, 2.2 min. total, 453.6 MB
agreeable_scroll v4 128 games, 94032 moves, e=0.907, loss: 8.1, +, 45.3% elo% vs. random_no_suicide, avg. reward: -12.624, 1.291 sec/game, 2.3 min. total, 454.6 MB
agreeable_scroll v4 129 games, 94786 moves, e=0.906, loss: 8.5, +, 47.8% elo% vs. random_no_suicide, avg. reward: -12.634, 1.289 sec/game, 2.3 min. total, 451.9 MB
agreeable_scroll v4 130 games, 95556 moves, e=0.905, loss: 8.0, +, 50.2% elo% vs. random_no_suicide, avg. reward: -12.629, 1.295 sec/game, 2.3 min. total, 452.0 MB
agreeable_scroll v4 131 games, 96182 moves, e=0.905, loss: 8.3, +, 52.5% elo% vs. random_no_suicide, avg. reward: -12.674, 1.281 sec/game, 2.3 min. total, 453.2 MB
agreeable_scroll v4 132 games, 97005 moves, e=0.904, loss: 7.6, +, 54.7% elo% vs. random_no_suicide, avg. reward: -12.640, 1.286 sec/game, 2.3 min. total, 452.0 MB
agreeable_scroll v4 133 games, 97756 moves, e=0.903, loss: 8.5, +, 56.7% elo% vs. random_no_suicide, avg. reward: -12.636, 1.280 sec/game, 2.4 min. total, 454.3 MB
agreeable_scroll v4 134 games, 98576 moves, e=0.902, loss: 9.3, -, 54.1% elo% vs. random_no_suicide, avg. reward: -12.608, 1.288 sec/game, 2.4 min. total, 454.8 MB
agreeable_scroll v4 135 games, 99309 moves, e=0.902, loss: 9.0, +, 56.2% elo% vs. random_no_suicide, avg. reward: -12.610, 1.271 sec/game, 2.4 min. total, 453.0 MB
agreeable_scroll v4 136 games, 99975 moves, e=0.901, loss: 8.2, +, 58.2% elo% vs. random_no_suicide, avg. reward: -12.619, 1.299 sec/game, 2.4 min. total, 453.4 MB
agreeable_scroll v4 137 games, 100610 moves, e=0.900, loss: 8.0, -, 55.6% elo% vs. random_no_suicide, avg. reward: -12.638, 1.289 sec/game, 2.5 min. total, 454.8 MB
agreeable_scroll v4 138 games, 101259 moves, e=0.900, loss: 8.2, -, 53.0% elo% vs. random_no_suicide, avg. reward: -12.667, 1.281 sec/game, 2.5 min. total, 453.7 MB
agreeable_scroll v4 139 games, 102016 moves, e=0.899, loss: 8.2, +, 55.2% elo% vs. random_no_suicide, avg. reward: -12.690, 1.277 sec/game, 2.5 min. total, 455.1 MB
agreeable_scroll v4 140 games, 102713 moves, e=0.898, loss: 8.0, +, 57.2% elo% vs. random_no_suicide, avg. reward: -12.692, 1.263 sec/game, 2.5 min. total, 455.9 MB
agreeable_scroll v4 141 games, 103448 moves, e=0.898, loss: 8.5, -, 54.6% elo% vs. random_no_suicide, avg. reward: -12.698, 1.269 sec/game, 2.5 min. total, 456.0 MB
agreeable_scroll v4 142 games, 104260 moves, e=0.897, loss: 7.6, +, 56.7% elo% vs. random_no_suicide, avg. reward: -12.672, 1.263 sec/game, 2.6 min. total, 456.0 MB
agreeable_scroll v4 143 games, 105001 moves, e=0.896, loss: 8.5, +, 58.6% elo% vs. random_no_suicide, avg. reward: -12.671, 1.257 sec/game, 2.6 min. total, 456.9 MB
agreeable_scroll v4 144 games, 105773 moves, e=0.895, loss: 8.0, +, 60.5% elo% vs. random_no_suicide, avg. reward: -12.658, 1.263 sec/game, 2.6 min. total, 455.2 MB
