anyplace_passage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
anyplace_passage v9 593 games, 562582 moves, e=0.443, loss: 66.8, -, 6.0% elo% vs. simple_bot, avg. reward: 0.064, 3.350 sec/game, 19.9 min. total, 644.8 MB
anyplace_passage v9 594 games, 564198 moves, e=0.441, loss: 72.3, -, 6.0% elo% vs. simple_bot, avg. reward: 0.088, 3.349 sec/game, 20.0 min. total, 644.6 MB
anyplace_passage v9 595 games, 565830 moves, e=0.440, loss: 76.5, -, 5.9% elo% vs. simple_bot, avg. reward: 0.098, 3.349 sec/game, 20.0 min. total, 644.7 MB
anyplace_passage v9 596 games, 567453 moves, e=0.438, loss: 81.0, -, 5.8% elo% vs. simple_bot, avg. reward: 0.131, 3.360 sec/game, 20.1 min. total, 646.3 MB
anyplace_passage v9 597 games, 569082 moves, e=0.437, loss: 88.1, -, 5.8% elo% vs. simple_bot, avg. reward: 0.149, 3.366 sec/game, 20.2 min. total, 646.6 MB
anyplace_passage v9 598 games, 570840 moves, e=0.435, loss: 76.9, -, 5.7% elo% vs. simple_bot, avg. reward: 0.183, 3.381 sec/game, 20.2 min. total, 646.6 MB
anyplace_passage v9 599 games, 572249 moves, e=0.433, loss: 71.6, -, 5.7% elo% vs. simple_bot, avg. reward: 0.179, 3.366 sec/game, 20.3 min. total, 646.6 MB
anyplace_passage v9 600 games, 573894 moves, e=0.432, loss: 67.3, -, 5.6% elo% vs. simple_bot, avg. reward: 0.200, 3.363 sec/game, 20.3 min. total, 647.4 MB
anyplace_passage v10 601 games, 575550 moves, e=0.430, loss: 64.8, -, 47.7% elo% vs. simple_bot, avg. reward: 0.217, 3.356 sec/game, 20.4 min. total, 647.8 MB
anyplace_passage v10 602 games, 577004 moves, e=0.429, loss: 71.1, -, 45.5% elo% vs. simple_bot, avg. reward: 0.233, 3.369 sec/game, 20.4 min. total, 647.8 MB
anyplace_passage v10 603 games, 578585 moves, e=0.427, loss: 75.7, -, 43.4% elo% vs. simple_bot, avg. reward: 0.251, 3.362 sec/game, 20.5 min. total, 646.5 MB
anyplace_passage v10 604 games, 580019 moves, e=0.426, loss: 70.5, -, 41.5% elo% vs. simple_bot, avg. reward: 0.259, 3.360 sec/game, 20.5 min. total, 648.1 MB
anyplace_passage v10 605 games, 581542 moves, e=0.424, loss: 72.7, -, 39.6% elo% vs. simple_bot, avg. reward: 0.264, 3.348 sec/game, 20.6 min. total, 647.5 MB
anyplace_passage v10 606 games, 583126 moves, e=0.423, loss: 84.8, -, 37.9% elo% vs. simple_bot, avg. reward: 0.274, 3.338 sec/game, 20.7 min. total, 651.3 MB
anyplace_passage v10 607 games, 584680 moves, e=0.421, loss: 83.3, -, 36.3% elo% vs. simple_bot, avg. reward: 0.280, 3.335 sec/game, 20.7 min. total, 651.2 MB
anyplace_passage v10 608 games, 586438 moves, e=0.419, loss: 78.7, -, 34.8% elo% vs. simple_bot, avg. reward: 0.287, 3.342 sec/game, 20.8 min. total, 651.5 MB
anyplace_passage v10 609 games, 588168 moves, e=0.418, loss: 72.3, -, 33.3% elo% vs. simple_bot, avg. reward: 0.313, 3.365 sec/game, 20.8 min. total, 652.0 MB
anyplace_passage v10 610 games, 589764 moves, e=0.416, loss: 75.2, -, 32.0% elo% vs. simple_bot, avg. reward: 0.318, 3.365 sec/game, 20.9 min. total, 652.4 MB
anyplace_passage v10 611 games, 591641 moves, e=0.414, loss: 80.3, -, 30.7% elo% vs. simple_bot, avg. reward: 0.342, 3.416 sec/game, 21.0 min. total, 653.7 MB
anyplace_passage v10 612 games, 593194 moves, e=0.413, loss: 75.1, -, 29.5% elo% vs. simple_bot, avg. reward: 0.354, 3.404 sec/game, 21.0 min. total, 653.3 MB
anyplace_passage v10 613 games, 595027 moves, e=0.411, loss: 65.5, -, 28.4% elo% vs. simple_bot, avg. reward: 0.368, 3.460 sec/game, 21.1 min. total, 653.7 MB
anyplace_passage v10 614 games, 596826 moves, e=0.409, loss: 60.8, -, 27.3% elo% vs. simple_bot, avg. reward: 0.380, 3.494 sec/game, 21.2 min. total, 653.8 MB
anyplace_passage v10 615 games, 598498 moves, e=0.407, loss: 60.6, -, 26.4% elo% vs. simple_bot, avg. reward: 0.405, 3.509 sec/game, 21.2 min. total, 653.8 MB
anyplace_passage v10 616 games, 600445 moves, e=0.406, loss: 52.3, -, 25.4% elo% vs. simple_bot, avg. reward: 0.434, 3.539 sec/game, 21.3 min. total, 654.6 MB
anyplace_passage v10 617 games, 602362 moves, e=0.404, loss: 46.4, -, 24.5% elo% vs. simple_bot, avg. reward: 0.459, 3.573 sec/game, 21.3 min. total, 654.2 MB
anyplace_passage v10 618 games, 604173 moves, e=0.402, loss: 53.7, -, 23.7% elo% vs. simple_bot, avg. reward: 0.476, 3.598 sec/game, 21.4 min. total, 654.6 MB
anyplace_passage v10 619 games, 605980 moves, e=0.400, loss: 49.6, -, 22.9% elo% vs. simple_bot, avg. reward: 0.500, 3.642 sec/game, 21.5 min. total, 654.6 MB
anyplace_passage v10 620 games, 607783 moves, e=0.398, loss: 57.9, -, 22.2% elo% vs. simple_bot, avg. reward: 0.523, 3.654 sec/game, 21.5 min. total, 657.0 MB
anyplace_passage v10 621 games, 609613 moves, e=0.396, loss: 55.9, -, 21.5% elo% vs. simple_bot, avg. reward: 0.548, 3.664 sec/game, 21.6 min. total, 656.4 MB
anyplace_passage v10 622 games, 611338 moves, e=0.395, loss: 52.0, -, 20.8% elo% vs. simple_bot, avg. reward: 0.557, 3.703 sec/game, 21.7 min. total, 656.5 MB
anyplace_passage v10 623 games, 612827 moves, e=0.393, loss: 51.4, -, 20.2% elo% vs. simple_bot, avg. reward: 0.565, 3.691 sec/game, 21.7 min. total, 656.5 MB
anyplace_passage v10 624 games, 614545 moves, e=0.392, loss: 44.4, -, 19.6% elo% vs. simple_bot, avg. reward: 0.574, 3.736 sec/game, 21.8 min. total, 656.6 MB
anyplace_passage v10 625 games, 616423 moves, e=0.390, loss: 33.8, -, 19.1% elo% vs. simple_bot, avg. reward: 0.595, 3.764 sec/game, 21.9 min. total, 658.7 MB
anyplace_passage v10 626 games, 618635 moves, e=0.388, loss: 36.3, -, 18.5% elo% vs. simple_bot, avg. reward: 0.618, 3.853 sec/game, 21.9 min. total, 661.1 MB
anyplace_passage v10 627 games, 620581 moves, e=0.386, loss: 41.3, -, 18.0% elo% vs. simple_bot, avg. reward: 0.636, 3.897 sec/game, 22.0 min. total, 659.9 MB
anyplace_passage v10 628 games, 622246 moves, e=0.384, loss: 41.4, -, 17.5% elo% vs. simple_bot, avg. reward: 0.648, 3.886 sec/game, 22.1 min. total, 662.1 MB
anyplace_passage v10 629 games, 623884 moves, e=0.382, loss: 45.9, -, 17.1% elo% vs. simple_bot, avg. reward: 0.662, 3.874 sec/game, 22.1 min. total, 663.9 MB
anyplace_passage v10 630 games, 625802 moves, e=0.380, loss: 60.4, -, 16.6% elo% vs. simple_bot, avg. reward: 0.686, 3.917 sec/game, 22.2 min. total, 663.6 MB
anyplace_passage v10 631 games, 627503 moves, e=0.379, loss: 46.3, -, 16.2% elo% vs. simple_bot, avg. reward: 0.711, 3.879 sec/game, 22.3 min. total, 662.9 MB
anyplace_passage v10 632 games, 629823 moves, e=0.376, loss: 49.9, -, 15.8% elo% vs. simple_bot, avg. reward: 0.734, 3.960 sec/game, 22.3 min. total, 660.7 MB
anyplace_passage v10 633 games, 631613 moves, e=0.375, loss: 58.1, -, 15.4% elo% vs. simple_bot, avg. reward: 0.754, 3.950 sec/game, 22.4 min. total, 661.1 MB
anyplace_passage v10 634 games, 633199 moves, e=0.373, loss: 64.5, -, 15.1% elo% vs. simple_bot, avg. reward: 0.758, 3.940 sec/game, 22.5 min. total, 662.1 MB
anyplace_passage v10 635 games, 634753 moves, e=0.372, loss: 62.2, -, 14.7% elo% vs. simple_bot, avg. reward: 0.785, 3.943 sec/game, 22.5 min. total, 661.0 MB
anyplace_passage v10 636 games, 636371 moves, e=0.370, loss: 73.4, -, 14.4% elo% vs. simple_bot, avg. reward: 0.796, 3.926 sec/game, 22.6 min. total, 661.1 MB
anyplace_passage v10 637 games, 637713 moves, e=0.369, loss: 86.9, -, 14.0% elo% vs. simple_bot, avg. reward: 0.792, 3.900 sec/game, 22.6 min. total, 661.1 MB
anyplace_passage v10 638 games, 639465 moves, e=0.367, loss: 107.2, -, 13.7% elo% vs. simple_bot, avg. reward: 0.819, 3.892 sec/game, 22.7 min. total, 663.6 MB
anyplace_passage v10 639 games, 641188 moves, e=0.365, loss: 112.0, -, 13.4% elo% vs. simple_bot, avg. reward: 0.838, 3.907 sec/game, 22.8 min. total, 664.5 MB
anyplace_passage v10 640 games, 642686 moves, e=0.364, loss: 114.4, -, 13.1% elo% vs. simple_bot, avg. reward: 0.846, 3.906 sec/game, 22.8 min. total, 663.9 MB
anyplace_passage v10 641 games, 644307 moves, e=0.362, loss: 125.4, -, 12.9% elo% vs. simple_bot, avg. reward: 0.874, 3.922 sec/game, 22.9 min. total, 664.4 MB
anyplace_passage v10 642 games, 646026 moves, e=0.360, loss: 128.2, -, 12.6% elo% vs. simple_bot, avg. reward: 0.885, 3.934 sec/game, 23.0 min. total, 665.0 MB
anyplace_passage v10 643 games, 647786 moves, e=0.359, loss: 116.6, -, 12.4% elo% vs. simple_bot, avg. reward: 0.896, 3.976 sec/game, 23.1 min. total, 666.5 MB
anyplace_passage v10 644 games, 649754 moves, e=0.357, loss: 102.8, -, 12.1% elo% vs. simple_bot, avg. reward: 0.917, 4.011 sec/game, 23.1 min. total, 667.7 MB
anyplace_passage v10 645 games, 651597 moves, e=0.355, loss: 95.2, -, 11.9% elo% vs. simple_bot, avg. reward: 0.939, 4.039 sec/game, 23.2 min. total, 667.8 MB
anyplace_passage v10 646 games, 653450 moves, e=0.353, loss: 81.1, -, 11.7% elo% vs. simple_bot, avg. reward: 0.954, 4.016 sec/game, 23.3 min. total, 668.2 MB
anyplace_passage v10 647 games, 655275 moves, e=0.351, loss: 61.6, -, 11.4% elo% vs. simple_bot, avg. reward: 0.974, 4.020 sec/game, 23.3 min. total, 668.2 MB
anyplace_passage v10 648 games, 656886 moves, e=0.350, loss: 64.8, -, 11.2% elo% vs. simple_bot, avg. reward: 0.993, 4.036 sec/game, 23.4 min. total, 666.7 MB
anyplace_passage v10 649 games, 658392 moves, e=0.348, loss: 75.1, -, 11.0% elo% vs. simple_bot, avg. reward: 1.004, 4.045 sec/game, 23.5 min. total, 669.4 MB
anyplace_passage v10 650 games, 659930 moves, e=0.347, loss: 92.9, -, 10.8% elo% vs. simple_bot, avg. reward: 1.011, 4.022 sec/game, 23.5 min. total, 668.6 MB
anyplace_passage v10 651 games, 661934 moves, e=0.345, loss: 91.4, -, 10.6% elo% vs. simple_bot, avg. reward: 1.035, 4.070 sec/game, 23.6 min. total, 670.2 MB
anyplace_passage v10 652 games, 663656 moves, e=0.343, loss: 88.0, -, 10.4% elo% vs. simple_bot, avg. reward: 1.052, 4.017 sec/game, 23.7 min. total, 669.7 MB
anyplace_passage v10 653 games, 665586 moves, e=0.341, loss: 75.2, -, 10.3% elo% vs. simple_bot, avg. reward: 1.071, 4.032 sec/game, 23.7 min. total, 672.5 MB
anyplace_passage v10 654 games, 667544 moves, e=0.339, loss: 52.7, -, 10.1% elo% vs. simple_bot, avg. reward: 1.094, 4.091 sec/game, 23.8 min. total, 672.4 MB
anyplace_passage v10 655 games, 669273 moves, e=0.337, loss: 42.7, -, 9.9% elo% vs. simple_bot, avg. reward: 1.111, 4.103 sec/game, 23.9 min. total, 671.2 MB
anyplace_passage v10 656 games, 671232 moves, e=0.335, loss: 37.1, -, 9.8% elo% vs. simple_bot, avg. reward: 1.130, 4.152 sec/game, 24.0 min. total, 673.3 MB
anyplace_passage v10 657 games, 672973 moves, e=0.334, loss: 30.8, -, 9.6% elo% vs. simple_bot, avg. reward: 1.135, 4.185 sec/game, 24.0 min. total, 673.0 MB
anyplace_passage v10 658 games, 674557 moves, e=0.332, loss: 46.9, -, 9.5% elo% vs. simple_bot, avg. reward: 1.142, 4.170 sec/game, 24.1 min. total, 675.0 MB
anyplace_passage v10 659 games, 676363 moves, e=0.330, loss: 71.8, -, 9.3% elo% vs. simple_bot, avg. reward: 1.157, 4.187 sec/game, 24.2 min. total, 672.7 MB
anyplace_passage v10 660 games, 678289 moves, e=0.328, loss: 66.9, -, 9.2% elo% vs. simple_bot, avg. reward: 1.170, 4.201 sec/game, 24.2 min. total, 675.3 MB
anyplace_passage v10 661 games, 680062 moves, e=0.327, loss: 75.6, -, 9.0% elo% vs. simple_bot, avg. reward: 1.175, 4.177 sec/game, 24.3 min. total, 675.7 MB
anyplace_passage v10 662 games, 681818 moves, e=0.325, loss: 83.8, -, 8.9% elo% vs. simple_bot, avg. reward: 1.180, 4.158 sec/game, 24.4 min. total, 675.8 MB
anyplace_passage v10 663 games, 683739 moves, e=0.323, loss: 84.6, -, 8.8% elo% vs. simple_bot, avg. reward: 1.197, 4.154 sec/game, 24.4 min. total, 674.7 MB
anyplace_passage v10 664 games, 685495 moves, e=0.321, loss: 80.1, -, 8.6% elo% vs. simple_bot, avg. reward: 1.210, 4.115 sec/game, 24.5 min. total, 676.5 MB
anyplace_passage v10 665 games, 687244 moves, e=0.320, loss: 81.3, -, 8.5% elo% vs. simple_bot, avg. reward: 1.216, 4.101 sec/game, 24.6 min. total, 676.7 MB
anyplace_passage v10 666 games, 688949 moves, e=0.318, loss: 65.7, -, 8.4% elo% vs. simple_bot, avg. reward: 1.223, 4.054 sec/game, 24.6 min. total, 675.8 MB
anyplace_passage v10 667 games, 690781 moves, e=0.316, loss: 66.6, -, 8.3% elo% vs. simple_bot, avg. reward: 1.240, 4.042 sec/game, 24.7 min. total, 675.4 MB
anyplace_passage v10 668 games, 692608 moves, e=0.314, loss: 58.0, -, 8.1% elo% vs. simple_bot, avg. reward: 1.253, 4.058 sec/game, 24.8 min. total, 677.9 MB
anyplace_passage v10 669 games, 694561 moves, e=0.312, loss: 51.3, -, 8.0% elo% vs. simple_bot, avg. reward: 1.267, 4.086 sec/game, 24.8 min. total, 678.7 MB
anyplace_passage v10 670 games, 696548 moves, e=0.310, loss: 47.0, -, 7.9% elo% vs. simple_bot, avg. reward: 1.275, 4.113 sec/game, 24.9 min. total, 677.2 MB
anyplace_passage v10 671 games, 698203 moves, e=0.309, loss: 44.9, -, 7.8% elo% vs. simple_bot, avg. reward: 1.282, 4.074 sec/game, 25.0 min. total, 678.8 MB
anyplace_passage v10 672 games, 699996 moves, e=0.307, loss: 60.4, -, 7.7% elo% vs. simple_bot, avg. reward: 1.304, 4.068 sec/game, 25.0 min. total, 681.2 MB
anyplace_passage v10 673 games, 701791 moves, e=0.305, loss: 49.0, -, 7.6% elo% vs. simple_bot, avg. reward: 1.317, 4.056 sec/game, 25.1 min. total, 679.8 MB
anyplace_passage v10 674 games, 703207 moves, e=0.304, loss: 63.9, -, 7.5% elo% vs. simple_bot, avg. reward: 1.312, 3.983 sec/game, 25.2 min. total, 679.6 MB
anyplace_passage v10 675 games, 704982 moves, e=0.302, loss: 79.6, -, 7.4% elo% vs. simple_bot, avg. reward: 1.323, 3.983 sec/game, 25.2 min. total, 678.3 MB
anyplace_passage v10 676 games, 706433 moves, e=0.301, loss: 87.4, -, 7.3% elo% vs. simple_bot, avg. reward: 1.321, 3.910 sec/game, 25.3 min. total, 679.7 MB
anyplace_passage v10 677 games, 708296 moves, e=0.299, loss: 93.6, -, 7.2% elo% vs. simple_bot, avg. reward: 1.335, 3.888 sec/game, 25.3 min. total, 680.2 MB
anyplace_passage v10 678 games, 710143 moves, e=0.297, loss: 85.1, -, 7.2% elo% vs. simple_bot, avg. reward: 1.344, 3.896 sec/game, 25.4 min. total, 681.1 MB
anyplace_passage v10 679 games, 712093 moves, e=0.295, loss: 85.5, -, 7.1% elo% vs. simple_bot, avg. reward: 1.356, 3.899 sec/game, 25.5 min. total, 682.1 MB
anyplace_passage v10 680 games, 713828 moves, e=0.293, loss: 90.5, -, 7.0% elo% vs. simple_bot, avg. reward: 1.361, 3.892 sec/game, 25.5 min. total, 683.3 MB
anyplace_passage v10 681 games, 716069 moves, e=0.291, loss: 74.6, -, 6.9% elo% vs. simple_bot, avg. reward: 1.370, 3.963 sec/game, 25.6 min. total, 686.2 MB
anyplace_passage v10 682 games, 718104 moves, e=0.289, loss: 50.9, -, 6.8% elo% vs. simple_bot, avg. reward: 1.391, 3.987 sec/game, 25.7 min. total, 688.6 MB
anyplace_passage v10 683 games, 720207 moves, e=0.287, loss: 48.6, -, 6.7% elo% vs. simple_bot, avg. reward: 1.405, 4.002 sec/game, 25.8 min. total, 690.5 MB
anyplace_passage v10 684 games, 722079 moves, e=0.285, loss: 59.7, -, 6.7% elo% vs. simple_bot, avg. reward: 1.412, 4.006 sec/game, 25.8 min. total, 690.0 MB
anyplace_passage v10 685 games, 723967 moves, e=0.283, loss: 49.1, -, 6.6% elo% vs. simple_bot, avg. reward: 1.426, 4.001 sec/game, 25.9 min. total, 688.4 MB
anyplace_passage v10 686 games, 725819 moves, e=0.281, loss: 51.1, -, 6.5% elo% vs. simple_bot, avg. reward: 1.432, 4.012 sec/game, 26.0 min. total, 688.4 MB
anyplace_passage v10 687 games, 728138 moves, e=0.279, loss: 53.6, -, 6.4% elo% vs. simple_bot, avg. reward: 1.447, 4.056 sec/game, 26.0 min. total, 690.1 MB
anyplace_passage v10 688 games, 730213 moves, e=0.277, loss: 41.0, -, 6.4% elo% vs. simple_bot, avg. reward: 1.460, 4.079 sec/game, 26.1 min. total, 689.6 MB
anyplace_passage v10 689 games, 732565 moves, e=0.275, loss: 27.9, -, 6.3% elo% vs. simple_bot, avg. reward: 1.481, 4.164 sec/game, 26.2 min. total, 691.2 MB
