anyplace_passage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
anyplace_passage v4 124 games, 90295 moves, e=0.911, loss: 53.8, -, 32.3% elo% vs. random_no_suicide, avg. reward: -5.014, 1.485 sec/game, 2.6 min. total, 493.2 MB
anyplace_passage v4 125 games, 91077 moves, e=0.910, loss: 55.1, +, 35.1% elo% vs. random_no_suicide, avg. reward: -5.003, 1.483 sec/game, 2.7 min. total, 493.6 MB
anyplace_passage v4 126 games, 91822 moves, e=0.909, loss: 56.1, -, 33.6% elo% vs. random_no_suicide, avg. reward: -4.989, 1.495 sec/game, 2.7 min. total, 498.5 MB
anyplace_passage v4 127 games, 92625 moves, e=0.908, loss: 57.2, -, 32.3% elo% vs. random_no_suicide, avg. reward: -4.980, 1.505 sec/game, 2.7 min. total, 494.0 MB
anyplace_passage v4 128 games, 93258 moves, e=0.908, loss: 56.8, -, 31.0% elo% vs. random_no_suicide, avg. reward: -4.982, 1.491 sec/game, 2.7 min. total, 494.3 MB
anyplace_passage v4 129 games, 94046 moves, e=0.907, loss: 57.8, ., 31.7% elo% vs. random_no_suicide, avg. reward: -4.972, 1.490 sec/game, 2.8 min. total, 494.1 MB
anyplace_passage v4 130 games, 94851 moves, e=0.906, loss: 54.8, -, 30.5% elo% vs. random_no_suicide, avg. reward: -4.960, 1.495 sec/game, 2.8 min. total, 494.0 MB
anyplace_passage v4 131 games, 95591 moves, e=0.905, loss: 57.5, -, 29.3% elo% vs. random_no_suicide, avg. reward: -4.948, 1.495 sec/game, 2.8 min. total, 498.7 MB
anyplace_passage v4 132 games, 96410 moves, e=0.905, loss: 58.5, -, 28.2% elo% vs. random_no_suicide, avg. reward: -4.939, 1.495 sec/game, 2.8 min. total, 494.4 MB
anyplace_passage v4 133 games, 97173 moves, e=0.904, loss: 60.0, -, 27.2% elo% vs. random_no_suicide, avg. reward: -4.946, 1.508 sec/game, 2.9 min. total, 499.0 MB
anyplace_passage v4 134 games, 97798 moves, e=0.903, loss: 59.6, +, 29.9% elo% vs. random_no_suicide, avg. reward: -4.961, 1.494 sec/game, 2.9 min. total, 494.9 MB
anyplace_passage v4 135 games, 98552 moves, e=0.902, loss: 59.7, ., 30.7% elo% vs. random_no_suicide, avg. reward: -4.953, 1.487 sec/game, 2.9 min. total, 496.9 MB
anyplace_passage v4 136 games, 99429 moves, e=0.902, loss: 57.0, -, 29.5% elo% vs. random_no_suicide, avg. reward: -4.939, 1.502 sec/game, 2.9 min. total, 501.4 MB
anyplace_passage v4 137 games, 100205 moves, e=0.901, loss: 58.9, -, 28.4% elo% vs. random_no_suicide, avg. reward: -4.923, 1.504 sec/game, 3.0 min. total, 501.8 MB
anyplace_passage v4 138 games, 100974 moves, e=0.900, loss: 58.1, +, 31.1% elo% vs. random_no_suicide, avg. reward: -4.920, 1.506 sec/game, 3.0 min. total, 497.4 MB
anyplace_passage v4 139 games, 101706 moves, e=0.899, loss: 58.3, -, 29.9% elo% vs. random_no_suicide, avg. reward: -4.905, 1.517 sec/game, 3.0 min. total, 497.5 MB
anyplace_passage v4 140 games, 102441 moves, e=0.899, loss: 57.9, -, 28.8% elo% vs. random_no_suicide, avg. reward: -4.899, 1.508 sec/game, 3.0 min. total, 497.5 MB
anyplace_passage v4 141 games, 103178 moves, e=0.898, loss: 60.1, +, 31.5% elo% vs. random_no_suicide, avg. reward: -4.890, 1.508 sec/game, 3.1 min. total, 498.1 MB
anyplace_passage v4 142 games, 103936 moves, e=0.897, loss: 60.9, -, 30.3% elo% vs. random_no_suicide, avg. reward: -4.886, 1.520 sec/game, 3.1 min. total, 498.0 MB
anyplace_passage v4 143 games, 104742 moves, e=0.896, loss: 61.3, -, 29.1% elo% vs. random_no_suicide, avg. reward: -4.880, 1.523 sec/game, 3.1 min. total, 498.1 MB
anyplace_passage v4 144 games, 105463 moves, e=0.896, loss: 61.5, -, 28.0% elo% vs. random_no_suicide, avg. reward: -4.878, 1.517 sec/game, 3.2 min. total, 497.4 MB
anyplace_passage v4 145 games, 106200 moves, e=0.895, loss: 60.4, -, 27.0% elo% vs. random_no_suicide, avg. reward: -4.876, 1.515 sec/game, 3.2 min. total, 502.4 MB
