wasp_emote v4 218 games, 120042 moves, e=0.881, loss: 7.0, +, 65.2% elo% vs. guard_bot, avg. reward: -9.438, 129.315 sec/game, 108.4 min. total, 764.4 MB
wasp_emote v4 220 games, 121146 moves, e=0.880, loss: 6.7, +, 66.6% elo% vs. guard_bot, avg. reward: -9.410, 129.419 sec/game, 108.5 min. total, 764.9 MB
wasp_emote v4 222 games, 122390 moves, e=0.879, loss: 6.3, +, 68.0% elo% vs. guard_bot, avg. reward: -9.365, 3.567 sec/game, 108.7 min. total, 766.3 MB
wasp_emote v4 224 games, 123645 moves, e=0.878, loss: 6.4, +, 69.2% elo% vs. guard_bot, avg. reward: -9.369, 3.582 sec/game, 108.8 min. total, 767.5 MB
wasp_emote v4 226 games, 124906 moves, e=0.876, loss: 6.7, +, 70.4% elo% vs. guard_bot, avg. reward: -9.346, 3.754 sec/game, 109.0 min. total, 768.9 MB
wasp_emote v5 228 games, 126082 moves, e=0.875, loss: 6.6, +, 54.5% elo% vs. random_no_suicide, avg. reward: -9.331, 3.751 sec/game, 109.1 min. total, 771.6 MB
wasp_emote v5 230 games, 127225 moves, e=0.874, loss: 6.4, -, 52.0% elo% vs. random_no_suicide, avg. reward: -9.328, 3.734 sec/game, 109.2 min. total, 774.6 MB
wasp_emote v5 232 games, 128334 moves, e=0.873, loss: 6.2, +, 54.2% elo% vs. random_no_suicide, avg. reward: -9.318, 3.705 sec/game, 109.3 min. total, 775.1 MB
wasp_emote v5 234 games, 129499 moves, e=0.872, loss: 6.2, +, 56.3% elo% vs. random_no_suicide, avg. reward: -9.303, 3.695 sec/game, 109.4 min. total, 775.3 MB
wasp_emote v5 236 games, 130512 moves, e=0.871, loss: 6.3, +, 58.2% elo% vs. random_no_suicide, avg. reward: -9.292, 3.685 sec/game, 109.5 min. total, 776.2 MB
wasp_emote v5 238 games, 131597 moves, e=0.870, loss: 6.5, +, 60.1% elo% vs. random_no_suicide, avg. reward: -9.308, 3.633 sec/game, 109.6 min. total, 779.9 MB
wasp_emote v5 240 games, 132734 moves, e=0.869, loss: 6.0, +, 61.9% elo% vs. random_no_suicide, avg. reward: -9.277, 3.484 sec/game, 109.7 min. total, 778.2 MB
wasp_emote v5 242 games, 133842 moves, e=0.867, loss: 6.1, +, 63.5% elo% vs. random_no_suicide, avg. reward: -9.275, 3.206 sec/game, 109.8 min. total, 779.2 MB
wasp_emote v5 244 games, 134818 moves, e=0.867, loss: 5.9, +, 65.0% elo% vs. random_no_suicide, avg. reward: -9.319, 3.038 sec/game, 109.8 min. total, 778.5 MB
wasp_emote v5 246 games, 136111 moves, e=0.865, loss: 5.6, +, 66.5% elo% vs. random_no_suicide, avg. reward: -9.284, 2.937 sec/game, 110.0 min. total, 778.3 MB
wasp_emote v5 248 games, 137241 moves, e=0.864, loss: 5.5, +, 67.9% elo% vs. random_no_suicide, avg. reward: -9.283, 2.871 sec/game, 110.0 min. total, 778.3 MB
wasp_emote v5 250 games, 138435 moves, e=0.863, loss: 5.4, +, 69.1% elo% vs. random_no_suicide, avg. reward: -9.239, 2.888 sec/game, 110.1 min. total, 780.8 MB
wasp_emote v5 252 games, 139572 moves, e=0.862, loss: 5.4, +, 70.3% elo% vs. random_no_suicide, avg. reward: -9.240, 2.885 sec/game, 110.2 min. total, 780.3 MB
wasp_emote v6 254 games, 140655 moves, e=0.861, loss: 5.3, -, 49.9% elo% vs. simple_bot, avg. reward: -9.240, 2.837 sec/game, 110.3 min. total, 781.7 MB
wasp_emote v6 256 games, 141733 moves, e=0.860, loss: 5.0, -, 47.6% elo% vs. simple_bot, avg. reward: -9.253, 2.851 sec/game, 110.4 min. total, 786.5 MB
wasp_emote v6 258 games, 142712 moves, e=0.859, loss: 5.1, -, 45.4% elo% vs. simple_bot, avg. reward: -9.247, 2.798 sec/game, 110.5 min. total, 786.7 MB
wasp_emote v6 260 games, 143840 moves, e=0.858, loss: 5.2, -, 43.4% elo% vs. simple_bot, avg. reward: -9.239, 2.824 sec/game, 110.6 min. total, 787.0 MB
wasp_emote v6 262 games, 144949 moves, e=0.857, loss: 5.2, -, 41.4% elo% vs. simple_bot, avg. reward: -9.243, 2.824 sec/game, 110.7 min. total, 787.4 MB
wasp_emote v6 264 games, 146136 moves, e=0.855, loss: 5.1, -, 39.6% elo% vs. simple_bot, avg. reward: -9.242, 2.863 sec/game, 110.8 min. total, 787.3 MB
wasp_emote v6 266 games, 147258 moves, e=0.854, loss: 5.1, -, 37.8% elo% vs. simple_bot, avg. reward: -9.211, 2.830 sec/game, 110.9 min. total, 787.7 MB
wasp_emote v6 268 games, 148421 moves, e=0.853, loss: 5.2, -, 36.2% elo% vs. simple_bot, avg. reward: -9.214, 2.840 sec/game, 111.0 min. total, 788.0 MB
wasp_emote v6 270 games, 149566 moves, e=0.852, loss: 5.3, -, 34.7% elo% vs. simple_bot, avg. reward: -9.219, 2.843 sec/game, 111.1 min. total, 789.1 MB
wasp_emote v6 272 games, 150688 moves, e=0.851, loss: 5.2, -, 33.3% elo% vs. simple_bot, avg. reward: -9.213, 2.841 sec/game, 111.2 min. total, 791.3 MB
wasp_emote v6 274 games, 151836 moves, e=0.850, loss: 5.2, -, 31.9% elo% vs. simple_bot, avg. reward: -9.220, 2.923 sec/game, 111.3 min. total, 792.2 MB
wasp_emote v6 276 games, 153107 moves, e=0.848, loss: 5.1, -, 30.6% elo% vs. simple_bot, avg. reward: -9.207, 3.027 sec/game, 111.4 min. total, 792.8 MB
wasp_emote v6 278 games, 154190 moves, e=0.847, loss: 5.1, -, 29.5% elo% vs. simple_bot, avg. reward: -9.162, 3.102 sec/game, 111.5 min. total, 793.2 MB
wasp_emote v6 280 games, 155349 moves, e=0.846, loss: 5.2, -, 28.3% elo% vs. simple_bot, avg. reward: -9.158, 3.162 sec/game, 111.7 min. total, 794.3 MB
wasp_emote v6 282 games, 156528 moves, e=0.845, loss: 5.2, -, 27.3% elo% vs. simple_bot, avg. reward: -9.159, 3.236 sec/game, 111.8 min. total, 794.4 MB
