annuity_bulge v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.7 MB
annuity_bulge v4 108 games, 77909 moves, e=0.923, loss: 5.7, -, 34.8% elo% vs. random_no_suicide, avg. reward: -10.772, 2.092 sec/game, 3.0 min. total, 485.7 MB
annuity_bulge v4 109 games, 78656 moves, e=0.922, loss: 5.8, -, 33.3% elo% vs. random_no_suicide, avg. reward: -10.762, 2.092 sec/game, 3.0 min. total, 486.9 MB
annuity_bulge v4 110 games, 79333 moves, e=0.921, loss: 5.9, -, 32.0% elo% vs. random_no_suicide, avg. reward: -10.773, 2.081 sec/game, 3.1 min. total, 487.1 MB
annuity_bulge v4 111 games, 79978 moves, e=0.921, loss: 5.9, -, 30.7% elo% vs. random_no_suicide, avg. reward: -10.785, 2.078 sec/game, 3.1 min. total, 487.1 MB
annuity_bulge v4 112 games, 80745 moves, e=0.920, loss: 5.9, +, 33.5% elo% vs. random_no_suicide, avg. reward: -10.780, 2.041 sec/game, 3.1 min. total, 483.8 MB
annuity_bulge v4 113 games, 81542 moves, e=0.919, loss: 5.9, ., 34.2% elo% vs. random_no_suicide, avg. reward: -10.757, 2.039 sec/game, 3.2 min. total, 483.8 MB
annuity_bulge v4 114 games, 82314 moves, e=0.919, loss: 5.9, -, 32.8% elo% vs. random_no_suicide, avg. reward: -10.713, 2.021 sec/game, 3.2 min. total, 483.8 MB
annuity_bulge v4 115 games, 83001 moves, e=0.918, loss: 6.0, -, 31.4% elo% vs. random_no_suicide, avg. reward: -10.713, 1.997 sec/game, 3.2 min. total, 487.7 MB
annuity_bulge v4 116 games, 83821 moves, e=0.917, loss: 5.9, -, 30.2% elo% vs. random_no_suicide, avg. reward: -10.702, 2.006 sec/game, 3.3 min. total, 487.9 MB
annuity_bulge v4 117 games, 84553 moves, e=0.916, loss: 5.9, -, 29.0% elo% vs. random_no_suicide, avg. reward: -10.676, 2.014 sec/game, 3.3 min. total, 489.0 MB
annuity_bulge v4 118 games, 85353 moves, e=0.916, loss: 6.2, ., 29.9% elo% vs. random_no_suicide, avg. reward: -10.667, 1.986 sec/game, 3.3 min. total, 485.7 MB
annuity_bulge v4 119 games, 86132 moves, e=0.915, loss: 6.2, -, 28.7% elo% vs. random_no_suicide, avg. reward: -10.673, 2.003 sec/game, 3.4 min. total, 489.7 MB
annuity_bulge v4 120 games, 86889 moves, e=0.914, loss: 6.0, -, 27.6% elo% vs. random_no_suicide, avg. reward: -10.661, 1.978 sec/game, 3.4 min. total, 488.3 MB
annuity_bulge v4 121 games, 87610 moves, e=0.913, loss: 6.2, -, 26.6% elo% vs. random_no_suicide, avg. reward: -10.669, 1.957 sec/game, 3.4 min. total, 489.7 MB
annuity_bulge v4 122 games, 88366 moves, e=0.913, loss: 6.3, +, 29.4% elo% vs. random_no_suicide, avg. reward: -10.664, 1.948 sec/game, 3.5 min. total, 486.3 MB
annuity_bulge v4 123 games, 89195 moves, e=0.912, loss: 6.1, -, 28.2% elo% vs. random_no_suicide, avg. reward: -10.636, 1.948 sec/game, 3.5 min. total, 489.7 MB
annuity_bulge v4 124 games, 90003 moves, e=0.911, loss: 5.9, -, 27.2% elo% vs. random_no_suicide, avg. reward: -10.613, 1.947 sec/game, 3.5 min. total, 490.2 MB
annuity_bulge v4 125 games, 90845 moves, e=0.910, loss: 6.2, -, 26.2% elo% vs. random_no_suicide, avg. reward: -10.598, 1.951 sec/game, 3.6 min. total, 491.5 MB
annuity_bulge v4 126 games, 91595 moves, e=0.909, loss: 6.1, -, 25.3% elo% vs. random_no_suicide, avg. reward: -10.607, 1.959 sec/game, 3.6 min. total, 487.6 MB
annuity_bulge v4 127 games, 92356 moves, e=0.909, loss: 5.9, -, 24.4% elo% vs. random_no_suicide, avg. reward: -10.592, 1.974 sec/game, 3.6 min. total, 491.0 MB
annuity_bulge v4 128 games, 93187 moves, e=0.908, loss: 6.1, -, 23.6% elo% vs. random_no_suicide, avg. reward: -10.596, 1.993 sec/game, 3.7 min. total, 489.9 MB
annuity_bulge v4 129 games, 93936 moves, e=0.907, loss: 6.0, -, 22.8% elo% vs. random_no_suicide, avg. reward: -10.601, 1.982 sec/game, 3.7 min. total, 489.9 MB
annuity_bulge v4 130 games, 94695 moves, e=0.906, loss: 6.2, -, 22.1% elo% vs. random_no_suicide, avg. reward: -10.591, 1.993 sec/game, 3.7 min. total, 491.2 MB
annuity_bulge v4 131 games, 95512 moves, e=0.905, loss: 6.0, -, 21.4% elo% vs. random_no_suicide, avg. reward: -10.578, 2.014 sec/game, 3.8 min. total, 491.0 MB
annuity_bulge v4 132 games, 96165 moves, e=0.905, loss: 5.9, -, 20.8% elo% vs. random_no_suicide, avg. reward: -10.588, 1.995 sec/game, 3.8 min. total, 491.1 MB
annuity_bulge v4 133 games, 96946 moves, e=0.904, loss: 6.1, -, 20.1% elo% vs. random_no_suicide, avg. reward: -10.579, 1.987 sec/game, 3.8 min. total, 487.8 MB
annuity_bulge v4 134 games, 97859 moves, e=0.903, loss: 5.8, -, 19.5% elo% vs. random_no_suicide, avg. reward: -10.566, 2.005 sec/game, 3.9 min. total, 492.3 MB
annuity_bulge v4 135 games, 98659 moves, e=0.902, loss: 5.8, -, 19.0% elo% vs. random_no_suicide, avg. reward: -10.559, 2.023 sec/game, 3.9 min. total, 490.2 MB
annuity_bulge v4 136 games, 99580 moves, e=0.901, loss: 5.8, -, 18.4% elo% vs. random_no_suicide, avg. reward: -10.531, 2.040 sec/game, 3.9 min. total, 493.5 MB
annuity_bulge v4 137 games, 100419 moves, e=0.901, loss: 6.0, -, 17.9% elo% vs. random_no_suicide, avg. reward: -10.493, 2.053 sec/game, 4.0 min. total, 493.8 MB
annuity_bulge v4 138 games, 101090 moves, e=0.900, loss: 6.0, -, 17.5% elo% vs. random_no_suicide, avg. reward: -10.512, 2.039 sec/game, 4.0 min. total, 494.1 MB
annuity_bulge v4 139 games, 101786 moves, e=0.899, loss: 6.1, -, 17.0% elo% vs. random_no_suicide, avg. reward: -10.523, 2.037 sec/game, 4.0 min. total, 494.0 MB
annuity_bulge v4 140 games, 102531 moves, e=0.898, loss: 5.9, -, 16.6% elo% vs. random_no_suicide, avg. reward: -10.517, 2.039 sec/game, 4.1 min. total, 494.6 MB
annuity_bulge v4 141 games, 103346 moves, e=0.898, loss: 6.0, -, 16.1% elo% vs. random_no_suicide, avg. reward: -10.509, 2.044 sec/game, 4.1 min. total, 493.0 MB
annuity_bulge v4 142 games, 104164 moves, e=0.897, loss: 5.9, -, 15.7% elo% vs. random_no_suicide, avg. reward: -10.498, 2.050 sec/game, 4.1 min. total, 494.4 MB
annuity_bulge v4 143 games, 104908 moves, e=0.896, loss: 5.8, -, 15.4% elo% vs. random_no_suicide, avg. reward: -10.488, 2.050 sec/game, 4.2 min. total, 494.5 MB
annuity_bulge v4 144 games, 105718 moves, e=0.895, loss: 5.9, +, 17.5% elo% vs. random_no_suicide, avg. reward: -10.464, 2.038 sec/game, 4.2 min. total, 492.1 MB
annuity_bulge v4 145 games, 106493 moves, e=0.895, loss: 5.9, -, 17.0% elo% vs. random_no_suicide, avg. reward: -10.467, 2.038 sec/game, 4.2 min. total, 495.5 MB
annuity_bulge v4 146 games, 107291 moves, e=0.894, loss: 5.8, -, 16.6% elo% vs. random_no_suicide, avg. reward: -10.446, 2.045 sec/game, 4.3 min. total, 495.4 MB
