goofball_resource v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
goofball_resource v3 108 games, 78840 moves, e=0.922, loss: 1.0, -, 6.7% elo% vs. random_no_suicide, avg. reward: 0.391, 1.374 sec/game, 2.1 min. total, 448.1 MB
goofball_resource v3 109 games, 79580 moves, e=0.921, loss: 1.1, -, 6.6% elo% vs. random_no_suicide, avg. reward: 0.390, 1.373 sec/game, 2.2 min. total, 449.4 MB
goofball_resource v3 110 games, 80237 moves, e=0.921, loss: 1.1, -, 6.5% elo% vs. random_no_suicide, avg. reward: 0.387, 1.353 sec/game, 2.2 min. total, 449.6 MB
goofball_resource v3 111 games, 80887 moves, e=0.920, loss: 1.1, -, 6.4% elo% vs. random_no_suicide, avg. reward: 0.388, 1.354 sec/game, 2.2 min. total, 450.2 MB
goofball_resource v3 112 games, 81627 moves, e=0.919, loss: 1.2, -, 6.4% elo% vs. random_no_suicide, avg. reward: 0.388, 1.366 sec/game, 2.2 min. total, 449.8 MB
goofball_resource v3 113 games, 82394 moves, e=0.918, loss: 1.2, -, 6.3% elo% vs. random_no_suicide, avg. reward: 0.388, 1.369 sec/game, 2.3 min. total, 450.2 MB
goofball_resource v3 114 games, 83255 moves, e=0.918, loss: 1.2, -, 6.2% elo% vs. random_no_suicide, avg. reward: 0.386, 1.390 sec/game, 2.3 min. total, 450.2 MB
goofball_resource v3 115 games, 83947 moves, e=0.917, loss: 1.2, -, 6.2% elo% vs. random_no_suicide, avg. reward: 0.390, 1.384 sec/game, 2.3 min. total, 450.3 MB
goofball_resource v3 116 games, 84684 moves, e=0.916, loss: 1.2, -, 6.1% elo% vs. random_no_suicide, avg. reward: 0.392, 1.381 sec/game, 2.3 min. total, 450.2 MB
goofball_resource v3 117 games, 85509 moves, e=0.915, loss: 1.1, -, 6.0% elo% vs. random_no_suicide, avg. reward: 0.387, 1.395 sec/game, 2.4 min. total, 450.3 MB
goofball_resource v3 118 games, 86228 moves, e=0.915, loss: 1.2, -, 6.0% elo% vs. random_no_suicide, avg. reward: 0.383, 1.393 sec/game, 2.4 min. total, 450.6 MB
goofball_resource v3 119 games, 86942 moves, e=0.914, loss: 1.2, -, 5.9% elo% vs. random_no_suicide, avg. reward: 0.382, 1.403 sec/game, 2.4 min. total, 451.0 MB
goofball_resource v3 120 games, 87601 moves, e=0.913, loss: 1.2, -, 5.8% elo% vs. random_no_suicide, avg. reward: 0.380, 1.402 sec/game, 2.4 min. total, 452.1 MB
goofball_resource v3 121 games, 88497 moves, e=0.912, loss: 1.1, -, 5.8% elo% vs. random_no_suicide, avg. reward: 0.380, 1.423 sec/game, 2.5 min. total, 452.3 MB
goofball_resource v3 122 games, 89292 moves, e=0.912, loss: 1.1, -, 5.7% elo% vs. random_no_suicide, avg. reward: 0.380, 1.433 sec/game, 2.5 min. total, 452.2 MB
goofball_resource v3 123 games, 89956 moves, e=0.911, loss: 1.1, -, 5.7% elo% vs. random_no_suicide, avg. reward: 0.380, 1.421 sec/game, 2.5 min. total, 452.0 MB
goofball_resource v3 124 games, 90612 moves, e=0.910, loss: 1.1, -, 5.6% elo% vs. random_no_suicide, avg. reward: 0.378, 1.402 sec/game, 2.5 min. total, 451.8 MB
goofball_resource v3 125 games, 91297 moves, e=0.910, loss: 1.2, -, 5.6% elo% vs. random_no_suicide, avg. reward: 0.379, 1.409 sec/game, 2.5 min. total, 452.3 MB
goofball_resource v3 126 games, 92038 moves, e=0.909, loss: 1.1, -, 5.5% elo% vs. random_no_suicide, avg. reward: 0.374, 1.413 sec/game, 2.6 min. total, 452.5 MB
goofball_resource v3 127 games, 92827 moves, e=0.908, loss: 1.2, -, 5.5% elo% vs. random_no_suicide, avg. reward: 0.373, 1.414 sec/game, 2.6 min. total, 452.5 MB
goofball_resource v3 128 games, 93660 moves, e=0.907, loss: 1.1, -, 5.4% elo% vs. random_no_suicide, avg. reward: 0.372, 1.410 sec/game, 2.6 min. total, 452.4 MB
goofball_resource v3 129 games, 94421 moves, e=0.907, loss: 1.2, -, 5.4% elo% vs. random_no_suicide, avg. reward: 0.368, 1.414 sec/game, 2.6 min. total, 452.8 MB
goofball_resource v3 130 games, 95152 moves, e=0.906, loss: 1.1, -, 5.3% elo% vs. random_no_suicide, avg. reward: 0.370, 1.432 sec/game, 2.7 min. total, 452.3 MB
goofball_resource v3 131 games, 95966 moves, e=0.905, loss: 1.1, -, 5.3% elo% vs. random_no_suicide, avg. reward: 0.372, 1.445 sec/game, 2.7 min. total, 453.6 MB
goofball_resource v3 132 games, 96805 moves, e=0.904, loss: 1.2, -, 5.2% elo% vs. random_no_suicide, avg. reward: 0.368, 1.459 sec/game, 2.7 min. total, 454.1 MB
goofball_resource v3 133 games, 97549 moves, e=0.903, loss: 1.2, -, 5.2% elo% vs. random_no_suicide, avg. reward: 0.368, 1.458 sec/game, 2.7 min. total, 453.6 MB
goofball_resource v3 134 games, 98453 moves, e=0.903, loss: 1.2, -, 5.1% elo% vs. random_no_suicide, avg. reward: 0.371, 1.462 sec/game, 2.8 min. total, 454.1 MB
goofball_resource v3 135 games, 99310 moves, e=0.902, loss: 1.3, -, 5.1% elo% vs. random_no_suicide, avg. reward: 0.366, 1.473 sec/game, 2.8 min. total, 454.1 MB
goofball_resource v3 136 games, 100116 moves, e=0.901, loss: 1.3, -, 5.0% elo% vs. random_no_suicide, avg. reward: 0.371, 1.487 sec/game, 2.8 min. total, 454.1 MB
goofball_resource v3 137 games, 100891 moves, e=0.900, loss: 1.3, -, 5.0% elo% vs. random_no_suicide, avg. reward: 0.368, 1.472 sec/game, 2.8 min. total, 453.8 MB
goofball_resource v3 138 games, 101748 moves, e=0.899, loss: 1.3, -, 4.9% elo% vs. random_no_suicide, avg. reward: 0.366, 1.477 sec/game, 2.9 min. total, 454.4 MB
goofball_resource v3 139 games, 102423 moves, e=0.899, loss: 1.3, -, 4.9% elo% vs. random_no_suicide, avg. reward: 0.368, 1.469 sec/game, 2.9 min. total, 454.7 MB
goofball_resource v3 140 games, 103171 moves, e=0.898, loss: 1.3, -, 4.9% elo% vs. random_no_suicide, avg. reward: 0.370, 1.478 sec/game, 2.9 min. total, 455.3 MB
goofball_resource v3 141 games, 104090 moves, e=0.897, loss: 1.2, -, 4.8% elo% vs. random_no_suicide, avg. reward: 0.368, 1.473 sec/game, 2.9 min. total, 457.3 MB
goofball_resource v3 142 games, 104837 moves, e=0.896, loss: 1.3, -, 4.8% elo% vs. random_no_suicide, avg. reward: 0.371, 1.472 sec/game, 3.0 min. total, 457.2 MB
goofball_resource v3 143 games, 105431 moves, e=0.896, loss: 1.2, -, 4.7% elo% vs. random_no_suicide, avg. reward: 0.371, 1.463 sec/game, 3.0 min. total, 457.7 MB
goofball_resource v3 144 games, 106096 moves, e=0.895, loss: 1.3, -, 4.7% elo% vs. random_no_suicide, avg. reward: 0.367, 1.464 sec/game, 3.0 min. total, 457.1 MB
goofball_resource v3 145 games, 106819 moves, e=0.894, loss: 1.3, -, 4.7% elo% vs. random_no_suicide, avg. reward: 0.367, 1.466 sec/game, 3.0 min. total, 457.7 MB
goofball_resource v3 146 games, 107638 moves, e=0.893, loss: 1.3, -, 4.6% elo% vs. random_no_suicide, avg. reward: 0.365, 1.464 sec/game, 3.1 min. total, 457.7 MB
goofball_resource v3 147 games, 108452 moves, e=0.893, loss: 1.3, -, 4.6% elo% vs. random_no_suicide, avg. reward: 0.365, 1.474 sec/game, 3.1 min. total, 457.9 MB
